# II 59
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//fir_SAM.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//fir_SAM/RM1.xml
# vertex;cycle;fu
Constant10;0;0
Constant11;0;0
X;0;0
Constant;0;0
Constant1;0;0
Constant12;0;0
Constant13;0;0
Constant14;0;0
Constant15;0;0
Constant16;0;0
Constant17;0;0
Constant18;0;0
Constant19;0;0
Constant2;0;0
Constant20;0;0
Constant21;0;0
Constant22;0;0
Constant23;0;0
Constant24;0;0
Constant25;0;0
Constant29;0;0
Constant3;0;0
Constant32;0;0
Constant33;0;0
Constant34;0;0
Constant4;0;0
Constant5;0;0
Constant6;0;0
Constant7;0;0
Constant8;0;0
Constant9;0;0
Product;6;0
Product1;5;0
Product10;32;0
Product11;54;0
Product12;49;0
Product13;41;0
Product14;53;0
Product15;51;0
Product16;63;0
Product17;30;0
Product18;71;0
Product19;25;0
Product2;9;0
Product20;52;0
Product21;93;0
Product22;56;0
Product23;109;0
Product24;102;0
Product25;137;0
Product29;97;0
Product3;13;0
Product32;76;0
Product33;58;0
Product34;33;0
Product4;15;0
Product5;24;0
Product6;23;0
Product7;36;0
Product8;35;0
Product9;44;0
Sum10;5;0
Sum25;50;0
Sum11;6;0
Sum12;15;0
Sum13;9;0
Sum14;20;0
Sum15;35;0
Sum16;40;0
Sum17;11;0
Sum18;43;0
Sum19;48;0
Sum2;38;0
Sum20;29;0
Sum21;45;0
Sum22;19;0
Sum23;34;0
Sum24;39;0
Sum1Tree4;31;0
Sum26;25;0
Sum27;55;0
Sum28;53;0
Sum29;14;0
Sum3;24;0
Sum30;54;0
Sum31;58;0
Sum4;49;0
Sum5;44;0
Sum6;30;0
Sum7;1;0
Sum8;0;0
Sum9;4;0
Y;156;0
Sum1Tree0;10;0
Sum1Tree1;16;0
Sum1Tree2;21;0
Sum1Tree3;26;0
Sum1Tree28;151;0
Sum1Tree5;36;0
Sum1Tree6;41;0
Sum1Tree7;46;0
Sum1Tree8;51;0
Sum1Tree9;56;0
Sum1Tree10;61;0
Sum1Tree11;66;0
Sum1Tree12;71;0
Sum1Tree13;76;0
Sum1Tree14;81;0
Sum1Tree15;86;0
Sum1Tree16;91;0
Sum1Tree17;96;0
Sum1Tree18;101;0
Sum1Tree19;106;0
Sum1Tree20;111;0
Sum1Tree21;116;0
Sum1Tree22;121;0
Sum1Tree23;126;0
Sum1Tree24;131;0
Sum1Tree25;136;0
Sum1Tree26;141;0
Sum1Tree27;146;0
