# II 2
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//fir_SHI.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//fir_SHI/RM6.xml
# vertex;cycle;fu
Constant2;0;0
Constant3;0;0
X;0;0
Constant;0;0
Constant1;0;0
Constant4;0;0
Constant5;0;0
Constant6;0;0
Product;6;0
Product1;6;1
Product2;6;2
Product3;6;3
Product4;7;0
Product5;7;1
Product6;7;2
Sum10;0;0
Sum11;0;1
Sum12;0;2
Sum13;1;0
Sum7;1;1
Sum8;1;2
Sum9;0;3
Y;40;0
Sum1Tree0;10;4
Sum1Tree1;15;3
Sum1Tree2;20;5
Sum1Tree3;25;4
Sum1Tree4;30;6
Sum1Tree5;35;5
