# II 22
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//iir_sos16.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//iir_sos16/RM3.xml
# vertex;cycle;fu
Product11;14;0
Product12;27;0
Product13;5;1
In2;0;0
Product;1;0
Product1;1;1
Product10;16;0
Product14;23;2
Product15;12;0
Product16;33;0
Product17;20;0
Product18;53;0
Product19;32;0
Product2;3;0
Product20;64;1
Product21;43;0
Product22;63;0
Product23;46;0
Product24;39;0
Product25;13;0
Product26;46;1
Product27;36;1
Product28;43;1
Product29;21;2
Product3;3;1
Product30;56;1
Product31;51;0
Product32;81;0
Product33;58;2
Product34;94;0
Product35;75;1
Product36;104;1
Product37;92;0
Product38;105;1
Product39;84;0
Product4;11;1
Product40;116;1
Product41;93;2
Product42;141;2
Product43;113;2
Product44;76;1
Product45;145;1
Product46;129;1
Product47;144;2
Product48;128;1
Product49;117;1
Product5;4;1
Product50;95;2
Product51;123;2
Product52;106;2
Product53;127;2
Product54;103;1
Product55;59;2
Product56;134;2
Product57;121;2
Product58;85;2
Product59;66;0
Product6;8;0
Product60;86;2
Product61;74;1
Product62;98;2
Product63;92;2
Sum20;75;0
Product7;8;2
Product8;16;2
Product9;6;2
Sum1;20;0
Sum10;30;0
Sum11;21;0
Sum12;35;0
Sum13;20;1
Sum14;34;0
Sum15;45;0
Sum16;30;1
Sum17;60;0
Sum18;70;0
Sum19;65;1
Sum2;10;0
Sum38;111;1
Sum21;58;0
Sum22;73;0
Sum23;85;0
Sum24;75;1
Sum25;50;0
Sum26;38;1
Sum27;55;0
Sum28;49;0
Sum29;53;2
Sum3;5;1
Sum30;65;2
Sum31;51;1
Sum32;80;1
Sum33;100;1
Sum34;110;0
Sum35;104;2
Sum36;115;2
Sum37;101;1
Sum6;15;0
Sum39;125;1
Sum4;15;2
Sum40;112;0
Sum41;140;2
Sum42;150;0
Sum43;138;1
Sum44;90;1
Sum45;155;2
Sum46;150;1
Sum47;149;0
Sum48;165;1
Sum49;149;1
Sum5;10;1
Sum50;130;2
Sum51;124;2
Sum52;135;0
Sum53;121;2
Sum54;129;1
Sum55;85;2
Sum56;145;2
Sum57;132;1
Sum58;160;2
Sum59;95;2
b13;0;0
b14;0;0
Sum60;88;2
Sum61;91;1
Sum62;105;2
Sum63;92;1
Sum64;120;2
Sum7;25;2
Sum8;12;2
Sum9;40;2
a;0;0
a1;0;0
a10;0;0
a11;0;0
a12;0;0
a13;0;0
a14;0;0
a15;0;0
a2;0;0
a3;0;0
a4;0;0
a5;0;0
a6;0;0
a7;0;0
a8;0;0
a9;0;0
b;0;0
b1;0;0
b10;0;0
b11;0;0
b12;0;0
d4;0;0
d5;0;0
b15;0;0
b2;0;0
b3;0;0
b4;0;0
b5;0;0
b6;0;0
b7;0;0
b8;0;0
b9;0;0
c;0;0
c1;0;0
c10;0;0
c11;0;0
c12;0;0
c13;0;0
c14;0;0
c15;0;0
c2;0;0
c3;0;0
c4;0;0
c5;0;0
c6;0;0
c7;0;0
c8;0;0
c9;0;0
d;0;0
d1;0;0
d10;0;0
d11;0;0
d12;0;0
d13;0;0
d14;0;0
d15;0;0
d2;0;0
d3;0;0
d6;0;0
d7;0;0
d8;0;0
d9;0;0
Out2;170;0
