# II 36
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//mat_inv.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//mat_inv/RM6.xml
# vertex;cycle;fu
Ldiff_UU_del_1;0;0
Ldiff_UV_del_1;0;0
Ldiff_UW_del_1;0;0
Ldiff_VU_del_1;0;0
Ldiff_VV_del_1;0;0
Ldiff_VW_del_1;0;0
Ldiff_WU_del_1;0;0
Ldiff_WV_del_1;0;0
Ldiff_WW_del_1;0;0
R_U;0;0
R_V;0;0
R_W;0;0
Product108;122;0
Product110;124;0
Product109;124;1
Product111;123;0
Product210;122;1
Product310;123;1
Product410;123;2
Product510;124;2
Product610;122;2
Product710;123;3
Product810;124;3
Product910;122;3
Inv_11;126;0
Inv_12;128;0
Inv_13;126;0
Inv_21;128;0
Inv_22;127;0
Inv_23;128;0
Inv_31;126;0
Inv_32;127;0
Inv_33;128;0
Inv_41;126;0
Inv_42;128;0
Inv_43;127;0
Add30;35;0
Add110;83;0
Add101;65;0
Add111;82;0
Add121;52;0
Add131;89;0
Add141;25;0
Add151;117;0
Add16;26;0
Add17;108;0
Add18;29;1
Add19;34;0
Add210;50;0
Add20;44;0
Add21;76;0
Add22;55;0
Add23;67;0
Add24;87;0
Add25;111;0
Add26;13;0
Add27;22;0
Add28;71;1
Add29;115;0
Add31;84;0
Add41;23;0
Add51;99;0
Product114;34;0
Add61;18;0
Add71;56;0
Add81;28;0
Add91;57;0
Product112;3;0
Product113;9;0
Product1010;30;0
Product100;1;0
Product101;3;1
Product102;63;0
Product103;29;0
Product104;31;0
Product105;16;4
Product106;5;0
Product107;7;0
Product291;26;0
Product121;12;0
Product131;29;1
Product141;6;0
Product151;34;1
Product161;9;1
Product171;9;2
Product181;7;1
Product191;17;0
Product211;33;0
Product201;17;1
Product212;17;2
Product221;19;0
Product231;35;0
Product241;2;0
Product251;20;0
Product261;8;0
Product271;6;1
Product281;23;0
Product501;21;0
Product311;38;1
Product301;12;1
Product312;10;0
Product321;28;0
Product331;13;0
Product341;13;1
Product351;8;1
Product361;35;1
Product371;29;2
Product381;18;0
Product391;22;0
Product411;11;0
Product401;22;1
Product412;12;2
Product421;27;1
Product431;24;0
Product441;34;2
Product451;28;1
Product461;36;0
Product471;33;1
Product481;9;3
Product491;15;4
Product511;27;2
Product78;32;0
Product79;35;2
Product512;3;2
Product521;30;1
Product531;22;2
Product54;43;2
Product55;46;1
Product56;21;1
Product57;5;1
Product58;8;2
Product59;2;2
Product611;6;2
Product60;25;0
Product61;19;1
Product62;19;2
Product63;6;3
Product64;28;2
Product65;2;3
Product66;11;1
Product67;5;2
Product68;95;1
Product69;25;1
Product711;25;2
Product70;17;3
Product71;19;3
Product72;20;1
Product73;26;1
Product74;13;2
Product75;20;2
Product76;18;1
Product77;1;1
Add4;43;1
Add112;28;1
Add10;78;0
Product811;24;1
Product80;27;3
Product81;29;3
Product82;22;3
Product83;9;4
Product84;11;2
Product85;21;2
Product86;18;2
Product87;12;3
Product88;5;3
Product89;13;3
Product911;30;2
Product90;33;2
Product91;36;1
Product92;32;1
Product93;21;3
Product94;10;2
Product95;42;4
Product96;24;2
Product97;24;3
Product98;18;3
Product99;11;3
Subtract12;68;0
Subtract1;78;0
Subtract10;77;0
Subtract11;64;0
Subtract2;35;0
Subtract3;31;0
Subtract4;36;0
Subtract5;70;0
Subtract6;66;0
Subtract7;46;0
Subtract8;33;0
Subtract9;39;0
Add32;23;1
Product35;29;4
Product36;4;0
Add11;83;1
Add12;88;1
Add13;93;1
Add14;98;1
Add15;103;1
Add211;33;0
Add3;38;0
Add5;48;1
Add6;53;1
Add7;58;1
Add8;68;0
Add9;73;0
Constant1;0;0
Divide;108;0
Product115;23;2
Product116;30;3
Product10;67;1
Product11;76;1
Product12;26;2
Product13;32;2
Product14;46;3
Product15;26;3
Product16;34;3
Product17;40;2
Product18;23;3
Product19;28;3
Product213;35;3
Product20;32;3
Product21;25;3
Product22;31;2
Product23;35;4
Product24;25;4
Product25;31;3
Product26;40;3
Product27;20;3
Product28;30;4
Product29;34;4
Product3;17;4
Product30;21;4
Product31;28;4
Product32;36;2
Product33;7;3
Product34;19;4
Product37;22;4
Product38;26;4
Product39;7;4
Product4;31;4
Product40;23;4
Product41;33;3
Product42;3;3
Product43;20;4
Product44;24;4
Product45;1;2
Product46;5;4
Product47;11;4
Product48;10;4
Product49;14;4
Product5;69;4
Product50;18;4
Product51;4;4
Product52;8;3
Product53;13;4
Product6;12;4
Product7;27;4
Product8;32;4
Product9;39;4
Subtract;63;0
Add;6;1
Add1;5;0
Add2;5;1
Constant;0;0
Product;2;4
Product1;1;3
Product2;1;4
