# II 10
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//r2_FFT.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//r2_FFT/RM23.xml
# vertex;cycle;fu
x0_re;0;0
x0_im;0;0
x1_re;0;0
x1_im;0;0
x2_re;0;0
x2_im;0;0
x3_re;0;0
x3_im;0;0
x4_re;0;0
x4_im;0;0
x5_re;0;0
x5_im;0;0
x6_re;0;0
x6_im;0;0
x7_re;0;0
x7_im;0;0
x8_re;0;0
x8_im;0;0
x9_re;0;0
x9_im;0;0
x10_re;0;0
x10_im;0;0
x11_re;0;0
x11_im;0;0
x12_re;0;0
x12_im;0;0
x13_re;0;0
x13_im;0;0
x14_re;0;0
x14_im;0;0
x15_re;0;0
x15_im;0;0
y0_re;56;0
y0_im;56;0
y1_re;56;0
y1_im;56;0
y2_re;54;0
y2_im;56;0
y3_re;56;0
y3_im;55;0
y4_re;52;0
y4_im;53;0
y5_re;54;0
y5_im;54;0
y6_re;56;0
y6_im;54;0
y7_re;55;0
y7_im;54;0
y8_re;53;0
y8_im;54;0
y9_re;56;0
y9_im;56;0
y10_re;54;0
y10_im;56;0
y11_re;56;0
y11_im;54;0
y12_re;53;0
y12_im;53;0
y13_re;55;0
y13_im;55;0
y14_re;54;0
y14_im;54;0
Add17;18;0
y15_re;55;0
y15_im;55;0
Add2;1;0
Add11;1;1
Add3;1;2
Add12;3;0
Add4;16;0
Add13;16;1
Add5;19;0
Add14;17;0
Add6;18;1
Add15;18;2
Add7;17;1
Add16;16;2
Add8;17;2
Add27;35;0
Add9;18;3
Add18;18;4
Add10;30;0
Add19;30;1
Add20;34;0
Add110;34;1
Add21;30;2
Add111;30;3
Add22;35;1
Add112;35;2
Add23;2;0
Add113;2;1
Add24;33;1
Add114;33;2
Add25;33;3
Add115;33;4
Add26;32;2
Add116;32;3
Add39;2;4
Add117;35;3
Add28;49;1
Add118;49;2
Add29;47;3
Add119;48;5
Add30;49;3
Add120;51;3
Add31;49;4
Add121;49;5
Add32;47;4
Add122;51;4
Add33;49;6
Add123;49;7
Add34;1;5
Add124;2;5
Add35;51;6
Add125;50;4
Add36;50;5
Add126;49;8
Add37;2;6
Add127;2;7
Add38;5;4
Add128;2;8
Product34;7;0
Subtract5;13;0
Add129;2;9
Add40;1;7
Add130;1;8
Add41;16;3
Add131;16;4
Add42;19;9
Add1;19;10
Add43;10;6
Product4;7;1
Product11;6;0
Product21;6;1
Product31;6;2
Subtract2;11;0
Add44;14;2
Product5;6;3
Product12;8;0
Product22;6;4
Product32;9;0
Subtract3;14;0
Add45;12;10
Product6;8;1
Product13;7;2
Product23;7;3
Product33;7;4
Subtract4;12;0
Add46;13;5
Product7;8;2
Product14;9;1
Product24;9;2
Subtract11;28;0
Add53;27;5
Add47;13;6
Product8;9;3
Product15;9;4
Product25;9;5
Product35;9;6
Subtract6;13;1
Add48;10;7
Product9;6;5
Product16;6;6
Product26;6;7
Product36;6;8
Subtract7;10;0
Add49;13;7
Product10;7;5
Product17;9;7
Product27;9;8
Product37;8;3
Subtract8;12;1
Add50;13;8
Product18;8;4
Product19;9;9
Product28;8;5
Product38;9;10
Subtract9;13;2
Add51;25;5
Product20;21;0
Product110;21;1
Product29;21;2
Product39;21;3
Subtract10;25;0
Add52;28;6
Product30;24;0
Product111;24;1
Product210;24;2
Product310;24;3
Product218;21;4
Product318;21;5
Product40;23;0
Product112;23;1
Product211;23;2
Product311;23;3
Subtract12;27;0
Add54;26;5
Product41;22;0
Product113;22;1
Product212;22;2
Product312;22;3
Subtract13;27;1
Add55;11;9
Product42;7;6
Product114;7;7
Product213;7;8
Product313;7;9
Subtract14;11;1
Add56;27;6
Product43;22;4
Product115;23;4
Product214;22;5
Product314;23;5
Subtract15;27;2
Add57;27;7
Product44;23;6
Product116;23;7
Product215;23;8
Product315;23;9
Subtract16;27;3
Add58;27;8
Product45;23;10
Product117;23;11
Product216;23;12
Product316;23;13
Subtract17;27;4
Add59;28;7
Product46;24;4
Product118;24;5
Product217;24;6
Product317;24;7
Subtract18;28;1
Add60;25;6
Product47;21;6
Product119;21;7
Product57;39;11
Product129;39;12
Product228;40;0
Subtract19;25;1
Add61;28;8
Product48;24;8
Product120;24;9
Product219;24;10
Product319;24;11
Subtract20;28;2
Add62;25;7
Product49;21;8
Product121;21;9
Product220;21;10
Product320;21;11
Subtract21;25;2
Add63;28;9
Product50;24;12
Product122;24;13
Product221;24;14
Product321;24;15
Subtract22;30;1
Add64;25;8
Product51;21;12
Product123;21;13
Product222;21;14
Product322;21;15
Subtract23;25;3
Add65;28;10
Product52;24;16
Product124;24;17
Product223;24;18
Product323;24;19
Subtract24;28;3
Add66;12;11
Product53;6;9
Product125;8;6
Product224;6;10
Product324;9;13
Subtract25;14;1
Add67;27;9
Product54;22;6
Product126;23;14
Product225;22;7
Product325;23;15
Subtract26;27;5
Add68;27;10
Product55;23;16
Product127;23;17
Product226;23;18
Product326;23;19
Subtract27;27;6
Add69;39;11
Product56;35;0
Product128;35;1
Product227;35;2
Product327;35;3
Subtract28;39;0
Add70;44;3
Product69;42;8
Product141;37;10
Product240;38;7
Product340;42;9
Product328;39;14
Subtract29;43;3
Add71;45;9
Product58;35;4
Product130;35;5
Product229;35;6
Product329;35;7
Subtract30;40;2
Add72;46;6
Product59;40;1
Product131;42;10
Product230;42;11
Product330;40;2
Subtract31;44;2
Add73;40;8
Product60;35;8
Product132;35;9
Product231;35;10
Product331;35;11
Subtract32;40;3
Add74;44;4
Product61;40;3
Product133;40;4
Product232;40;5
Product332;39;15
Subtract33;44;3
Add75;46;7
Product62;38;8
Product134;42;12
Product233;42;13
Product333;38;9
Subtract34;42;2
Add76;46;8
Product63;38;10
Product135;42;14
Product234;38;11
Product334;38;12
Subtract35;42;3
Add77;11;10
Product64;7;11
Product136;7;12
Product235;7;13
Product335;7;14
Subtract36;11;2
Add78;43;9
Product65;35;12
Product137;35;13
Product236;35;14
Product336;35;15
Subtract37;39;1
Add79;43;10
Product66;38;13
Product138;38;14
Product237;38;15
Product337;38;16
Subtract38;42;4
Add80;44;5
Product67;40;6
Product139;38;17
Product238;40;7
Product338;40;8
Subtract39;44;4
Add81;44;6
Product68;39;16
Product140;37;15
Product239;40;9
Product339;40;10
Subtract40;44;5
Add82;44;7
Subtract128;48;4
Subtract69;49;2
Subtract129;51;3
Subtract70;49;3
Subtract130;49;4
Subtract41;46;0
Add83;44;8
Product70;42;15
Product142;40;11
Product241;40;12
Product341;42;16
Subtract42;46;1
Add84;44;9
Product71;40;13
Product143;40;14
Product242;40;15
Product342;41;16
Subtract43;45;4
Add85;44;10
Product72;41;17
Product144;39;17
Product243;40;16
Product343;41;18
Subtract44;45;5
Add86;14;11
Product73;10;17
Product145;10;18
Product244;10;19
Product344;9;18
Subtract45;14;6
Add87;11;11
Product74;7;16
Product146;7;17
Product245;7;18
Product345;7;19
Subtract46;11;4
Add88;10;9
Product75;6;11
Product147;6;12
Product246;6;13
Product346;6;14
Subtract47;14;7
Add89;13;11
Product76;9;19
Product148;6;15
Product247;8;18
Product347;8;19
