# II 1
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//splin_pf.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rmIntII/origami//splin_pf/RM5.xml
# vertex;cycle;fu
Const3;0;0
Const4;0;0
Const5;0;0
In1;0;0
Const;0;0
Const1;0;0
Const2;0;0
Const6;0;0
Const7;0;0
Product;1;0
Product1;1;1
Product2;1;2
Product3;1;3
Product4;1;4
Product5;1;5
Product6;1;6
Product7;1;7
Out1;45;0
SumTree0;5;0
SumTree1;10;1
SumTree2;15;2
SumTree3;20;3
SumTree4;25;4
SumTree5;30;5
SumTree6;35;6
SumTree7;40;7
