# II 1.33333
# samples 3
# modulo 4
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//fir_GM.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//fir_GM/RM5.xml
# vertex;sample;cycle;fu
Sum7;0;2;0
Constant3;0;1;0
Product;0;7;0
Product1;0;5;0
X;0;1;0
Constant;0;3;0
Constant1;0;3;0
Constant2;0;3;0
Product2;0;12;0
Product3;0;3;1
Sum8;0;0;0
Sum9;0;3;0
Y;0;26;0
Sum1Tree0;0;11;1
Sum1Tree1;0;16;1
Sum1Tree2;0;21;0
Sum7;1;1;1
Constant3;1;2;0
Product;1;6;0
Product1;1;6;1
X;1;0;0
Constant;1;2;0
Constant1;1;2;0
Constant2;1;2;0
Product2;1;5;1
Product3;1;4;1
Sum8;1;1;2
Sum9;1;0;2
Y;1;25;0
Sum1Tree0;1;10;1
Sum1Tree1;1;15;2
Sum1Tree2;1;20;3
Sum7;2;3;3
Constant3;2;0;0
Product;2;8;2
Product1;2;7;2
X;2;2;0
Constant;2;1;0
Constant1;2;1;0
Constant2;2;1;0
Product2;2;6;2
Product3;2;1;2
Sum8;2;2;2
Sum9;2;1;3
Y;2;27;0
Sum1Tree0;2;12;4
Sum1Tree1;2;17;4
Sum1Tree2;2;22;3
