# II 1.2
# samples 5
# modulo 6
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//fir_GM.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//fir_GM/RM4.xml
# vertex;sample;cycle;fu
Sum7;0;1;0
Constant3;0;0;0
Product;0;9;0
Product1;0;6;0
X;0;0;0
Constant;0;0;0
Constant1;0;0;0
Constant2;0;0;0
Product2;0;8;0
Product3;0;1;0
Sum8;0;0;0
Sum9;0;2;0
Y;0;34;0
Sum1Tree0;0;15;0
Sum1Tree1;0;22;0
Sum1Tree2;0;29;0
Sum7;1;2;1
Constant3;1;1;0
Product;1;10;0
Product1;1;7;1
X;1;1;0
Constant;1;1;0
Constant1;1;1;0
Constant2;1;1;0
Product2;1;9;1
Product3;1;2;1
Sum8;1;1;1
Sum9;1;3;1
Y;1;35;0
Sum1Tree0;1;16;1
Sum1Tree1;1;23;1
Sum1Tree2;1;30;1
Sum7;2;3;2
Constant3;2;2;0
Product;2;11;0
Product1;2;8;2
X;2;2;0
Constant;2;2;0
Constant1;2;2;0
Constant2;2;2;0
Product2;2;10;1
Product3;2;3;2
Sum8;2;2;2
Sum9;2;4;2
Y;2;36;0
Sum1Tree0;2;17;2
Sum1Tree1;2;24;2
Sum1Tree2;2;31;2
Sum7;3;4;3
Constant3;3;3;0
Product;3;12;1
Product1;3;9;3
X;3;3;0
Constant;3;3;0
Constant1;3;3;0
Constant2;3;3;0
Product2;3;11;1
Product3;3;4;2
Sum8;3;3;3
Sum9;3;5;3
Y;3;37;0
Sum1Tree0;3;18;3
Sum1Tree1;3;25;3
Sum1Tree2;3;32;3
Sum7;4;6;4
Constant3;4;5;0
Product;4;14;3
Product1;4;11;2
X;4;5;0
Constant;4;5;0
Constant1;4;5;0
Constant2;4;5;0
Product2;4;13;2
Product3;4;6;2
Sum8;4;5;4
Sum9;4;7;4
Y;4;39;0
Sum1Tree0;4;20;4
Sum1Tree1;4;27;4
Sum1Tree2;4;34;4
