# II 1.33333
# samples 3
# modulo 4
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//fir_GM.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//fir_GM/RM5.xml
# vertex;sample;cycle;fu
Sum7;0;1;0
Constant3;0;0;0
Product;0;6;0
Product1;0;5;0
X;0;0;0
Constant;0;0;0
Constant1;0;0;0
Constant2;0;0;0
Product2;0;8;0
Product3;0;3;0
Sum8;0;0;0
Sum9;0;0;1
Y;0;25;0
Sum1Tree0;0;10;0
Sum1Tree1;0;15;0
Sum1Tree2;0;20;2
Sum7;1;2;1
Constant3;1;1;0
Product;1;7;1
Product1;1;6;1
X;1;1;0
Constant;1;1;0
Constant1;1;1;0
Constant2;1;1;0
Product2;1;9;1
Product3;1;4;1
Sum8;1;1;1
Sum9;1;1;2
Y;1;26;0
Sum1Tree0;1;11;1
Sum1Tree1;1;16;3
Sum1Tree2;1;21;3
Sum7;2;4;4
Constant3;2;3;0
Product;2;9;2
Product1;2;8;2
X;2;3;0
Constant;2;3;0
Constant1;2;3;0
Constant2;2;3;0
Product2;2;11;2
Product3;2;6;2
Sum8;2;3;2
Sum9;2;3;3
Y;2;28;0
Sum1Tree0;2;13;4
Sum1Tree1;2;18;2
Sum1Tree2;2;23;4
