minII;II;Lat;Status;Min;Timeouts
11.8;12;156;OPTIMAL;0.00133333;0
11.8;12;156;OPTIMAL;0.00133333;0
11.8;12;156;OPTIMAL;0.0015;0
11.8;12;156;OPTIMAL;0.0015;0
11.8;12;156;OPTIMAL;0.00116667;0
11.8;12;156;OPTIMAL;0.00133333;0
11.8;12;156;OPTIMAL;0.00133333;0
11.8;12;156;OPTIMAL;0.0015;0
11.8;12;156;OPTIMAL;0.00133333;0
11.8;12;156;OPTIMAL;0.0015;0
11.8;12;156;OPTIMAL;0.0015;0
29.5;30;159;OPTIMAL;0.037;0
11.8;12;156;OPTIMAL;0.0015;0
11.8;12;156;OPTIMAL;0.00116667;0
11.8;12;156;OPTIMAL;0.00133333;0
11.8;12;156;OPTIMAL;0.00133333;0
9.83333;10;158;OPTIMAL;0.005;0
9.83333;10;158;OPTIMAL;0.0035;0
9.83333;10;158;OPTIMAL;0.00516667;0
9.83333;10;158;OPTIMAL;0.0055;0
9.83333;10;158;OPTIMAL;0.005;0
29.5;30;159;OPTIMAL;0.0296667;0
9.83333;10;158;OPTIMAL;0.00516667;0
9.83333;10;158;OPTIMAL;0.00366667;0
9.83333;10;158;OPTIMAL;0.0035;0
9.83333;10;158;OPTIMAL;0.00416667;0
9.83333;10;158;OPTIMAL;0.00433333;0
9.83333;10;158;OPTIMAL;0.004;0
9.83333;10;158;OPTIMAL;0.00383333;0
9.83333;10;158;OPTIMAL;0.00416667;0
9.83333;10;158;OPTIMAL;0.00383333;0
9.83333;10;158;OPTIMAL;0.00583333;0
9.83333;10;158;OPTIMAL;0.0055;0
29.5;30;159;OPTIMAL;0.0396667;0
9.83333;10;158;OPTIMAL;0.00566667;0
9.83333;10;158;OPTIMAL;0.00416667;0
9.83333;10;158;OPTIMAL;0.0045;0
9.83333;10;158;OPTIMAL;0.00383333;0
9.83333;10;158;OPTIMAL;0.006;0
9.83333;10;158;OPTIMAL;0.00366667;0
9.83333;10;158;OPTIMAL;0.0035;0
9.83333;10;158;OPTIMAL;0.00383333;0
9.83333;10;158;OPTIMAL;0.00566667;0
9.83333;10;158;OPTIMAL;0.00383333;0
29.5;30;159;OPTIMAL;0.062;0
9.83333;10;158;OPTIMAL;0.00416667;0
8.42857;9;156;OPTIMAL;0.00116667;0
8.42857;9;156;OPTIMAL;0.001;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000666667;0
8.42857;9;156;OPTIMAL;0.000833333;0
29.5;30;159;OPTIMAL;0.0428333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.001;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.001;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000666667;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
29.5;30;159;OPTIMAL;0.0556667;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000833333;0
8.42857;9;156;OPTIMAL;0.000666667;0
7.5;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
29.5;30;159;OPTIMAL;0.0551667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.0005;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
29.5;30;159;OPTIMAL;0.0313333;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000833333;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000666667;0
29.5;30;159;OPTIMAL;0.0311667;0
7.375;8;156;OPTIMAL;0.000666667;0
7.375;8;156;OPTIMAL;0.000833333;0
7.375;8;156;OPTIMAL;0.000833333;0
7.375;8;156;OPTIMAL;0.000666667;0
