minII;II;Lat;Status;Min;Timeouts
9.83333;9.83333;455;TIMEOUT_FEASIBLE;5.0005;0
9.83333;9.83333;687;TIMEOUT_FEASIBLE;4.998;0
9.83333;9.83333;204;TIMEOUT_FEASIBLE;5.00217;0
9.83333;9.83333;631;TIMEOUT_FEASIBLE;4.99067;0
8.42857;8.42857;162;OPTIMAL;4.02867;0
29.5;29.5;158;OPTIMAL;0.879167;0
29.5;29.5;158;OPTIMAL;0.4435;0
8.42857;8.42857;452;TIMEOUT_FEASIBLE;5.0035;0
8.42857;8.42857;512;TIMEOUT_FEASIBLE;5.011;0
7.375;7.375;454;TIMEOUT_FEASIBLE;5.00267;0
7.5;7.5;157;OPTIMAL;0.00933333;0
7.375;7.375;619;TIMEOUT_FEASIBLE;5.01983;0
19.6667;19.6667;159;OPTIMAL;2.06933;0
7.375;7.375;571;TIMEOUT_FEASIBLE;5.005;0
5.9;5.9;922;TIMEOUT_FEASIBLE;5.00117;0
7.5;7.5;157;OPTIMAL;0.00616667;0
5.36364;5.36364;460;TIMEOUT_FEASIBLE;4.99733;0
5.36364;5.36364;564;TIMEOUT_FEASIBLE;5.00067;0
8.42857;8.42857;277;TIMEOUT_FEASIBLE;4.9495;0
19.6667;19.6667;159;OPTIMAL;0.394667;0
8.42857;8.42857;450;TIMEOUT_FEASIBLE;4.99517;0
5.9;5.9;400;TIMEOUT_FEASIBLE;5.00567;0
4.91667;4.91667;804;TIMEOUT_FEASIBLE;5.00633;0
4.91667;4.91667;621;TIMEOUT_FEASIBLE;4.999;0
4.91667;4.91667;447;TIMEOUT_FEASIBLE;5.00733;0
5.36364;5.36364;566;TIMEOUT_FEASIBLE;5.00183;0
4.91667;4.91667;796;TIMEOUT_FEASIBLE;5.00567;0
4.53846;4.53846;869;TIMEOUT_FEASIBLE;5.0005;0
4.91667;4.91667;625;TIMEOUT_FEASIBLE;5.00733;0
4.91667;4.91667;577;TIMEOUT_FEASIBLE;5.00633;0
4.53846;4.53846;742;TIMEOUT_FEASIBLE;5.006;0
4.53846;4.53846;861;TIMEOUT_FEASIBLE;5.00067;0
7.5;7.5;157;OPTIMAL;0.0153333;0
4.91667;4.91667;594;TIMEOUT_FEASIBLE;4.99883;0
4.21429;4.21429;836;TIMEOUT_FEASIBLE;5.01;0
5.36364;5.36364;591;TIMEOUT_FEASIBLE;5.00717;0
19.6667;19.6667;159;OPTIMAL;2.826;0
29.5;29.5;158;OPTIMAL;0.2185;0
3.33333;3.33333;158;OPTIMAL;0.0225;0
3.75;3.75;159;OPTIMAL;0.215667;0
4.21429;4.21429;1091;TIMEOUT_FEASIBLE;5.00383;0
19.6667;19.6667;159;OPTIMAL;1.38233;0
3.93333;3.93333;853;TIMEOUT_FEASIBLE;5.00917;0
3.93333;3.93333;1031;TIMEOUT_FEASIBLE;5.0105;0
3.6875;3.6875;823;TIMEOUT_FEASIBLE;5.00483;0
3.6875;3.6875;774;TIMEOUT_FEASIBLE;4.97217;0
4.21429;4.21429;1099;TIMEOUT_FEASIBLE;4.96033;0
19.6667;19.6667;159;OPTIMAL;3.4595;0
3.47059;3.47059;773;TIMEOUT_FEASIBLE;5.00333;0
4.28571;4.28571;306;TIMEOUT_FEASIBLE;5.00083;0
3.47059;3.47059;786;TIMEOUT_FEASIBLE;5.01;0
3.47059;3.47059;1125;TIMEOUT_FEASIBLE;5.00067;0
19.6667;19.6667;159;OPTIMAL;0.504333;0
3.47059;3.47059;831;TIMEOUT_FEASIBLE;5.01033;0
3.27778;3.27778;1095;TIMEOUT_FEASIBLE;5.00633;0
3.6875;3.6875;1133;TIMEOUT_FEASIBLE;5.00767;0
4.53846;4.53846;828;TIMEOUT_FEASIBLE;4.99817;0
29.5;29.5;158;OPTIMAL;0.268167;0
9.83333;9.83333;391;TIMEOUT_FEASIBLE;4.99683;0
4.28571;4.28571;162;OPTIMAL;4.896;0
3.10526;3.10526;1138;TIMEOUT_FEASIBLE;5.013;0
4.91667;4.91667;689;TIMEOUT_FEASIBLE;5.007;0
19.6667;19.6667;159;OPTIMAL;3.78283;0
19.6667;19.6667;159;OPTIMAL;1.61617;0
3.75;3.75;159;OPTIMAL;0.326333;0
29.5;29.5;158;OPTIMAL;0.1845;0
4.21429;4.21429;806;TIMEOUT_FEASIBLE;5.00333;0
2.95;2.95;1112;TIMEOUT_FEASIBLE;5.01017;0
2.95;2.95;1188;TIMEOUT_FEASIBLE;5.00383;0
3.10526;3.10526;755;TIMEOUT_FEASIBLE;5.01183;0
11.8;11.8;332;TIMEOUT_FEASIBLE;4.99317;0
14.75;14.75;451;TIMEOUT_FEASIBLE;4.994;0
14.75;14.75;325;TIMEOUT_FEASIBLE;4.96467;0
9.83333;9.83333;450;TIMEOUT_FEASIBLE;5.00317;0
3.10526;3.10526;888;TIMEOUT_FEASIBLE;4.9885;0
29.5;29.5;158;OPTIMAL;0.248667;0
11.8;11.8;452;TIMEOUT_FEASIBLE;5.00133;0
3.93333;3.93333;927;TIMEOUT_FEASIBLE;5.00783;0
4.21429;4.21429;1088;TIMEOUT_FEASIBLE;5.00667;0
3.93333;3.93333;727;TIMEOUT_FEASIBLE;5.0035;0
3.47059;3.47059;711;TIMEOUT_FEASIBLE;5.00833;0
3.93333;3.93333;1032;TIMEOUT_FEASIBLE;5.00183;0
7.375;7.375;411;TIMEOUT_FEASIBLE;5.002;0
8.42857;8.42857;436;TIMEOUT_FEASIBLE;5.01033;0
