# II 3.27778
# samples 18
# modulo 59
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//fir_SAM.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//fir_SAM/RM436.xml
# vertex;sample;cycle;fu
Sum10;0;1;0
Constant10;0;5;0
Constant11;0;13;0
X;0;2;0
Constant;0;2;0
Constant1;0;2;0
Constant12;0;57;0
Constant13;0;7;0
Constant14;0;14;0
Constant15;0;5;0
Constant16;0;17;0
Constant17;0;14;0
Constant18;0;12;0
Constant19;0;16;0
Constant2;0;10;0
Constant20;0;12;0
Constant21;0;18;0
Constant22;0;4;0
Constant23;0;14;0
Constant24;0;11;0
Constant25;0;13;0
Constant29;0;3;0
Constant3;0;2;0
Constant32;0;8;0
Constant33;0;11;0
Constant34;0;2;0
Constant4;0;8;0
Constant5;0;3;0
Constant6;0;2;0
Constant7;0;9;0
Constant8;0;0;0
Constant9;0;16;0
Product;0;67;0
Product1;0;28;0
Product10;0;110;0
Product11;0;131;0
Product12;0;141;0
Product13;0;34;0
Product14;0;208;0
Product15;0;73;0
Product16;0;66;0
Product17;0;58;0
Product18;0;75;0
Product19;0;57;0
Product2;0;11;0
Product20;0;68;0
Product21;0;43;0
Product22;0;49;0
Product23;0;72;1
Product24;0;92;0
Product25;0;69;0
Product29;0;310;0
Product3;0;6;0
Product32;0;244;1
Product33;0;109;0
Product34;0;252;1
Product4;0;20;0
Product5;0;33;1
Product6;0;26;0
Product7;0;54;0
Product8;0;5;0
Product9;0;90;1
Sum25;0;42;0
Sum11;0;1;1
Sum12;0;28;0
Sum13;0;16;0
Sum14;0;0;0
Sum15;0;26;0
Sum16;0;39;0
Sum17;0;46;0
Sum18;0;18;0
Sum19;0;0;1
Sum2;0;37;0
Sum20;0;51;0
Sum21;0;42;1
Sum22;0;15;0
Sum23;0;19;0
Sum24;0;43;0
Sum1Tree4;0;142;0
Sum26;0;34;0
Sum27;0;43;1
Sum28;0;54;0
Sum29;0;36;0
Sum3;0;54;1
Sum30;0;55;0
Sum31;0;50;0
Sum4;0;8;0
Sum5;0;42;2
Sum6;0;35;0
Sum7;0;34;1
Sum8;0;0;2
Sum9;0;5;0
Y;0;748;0
Sum1Tree0;0;75;1
Sum1Tree1;0;95;1
Sum1Tree2;0;113;2
Sum1Tree3;0;129;0
Sum1Tree28;0;602;0
Sum1Tree5;0;161;2
Sum1Tree6;0;166;0
Sum1Tree7;0;219;3
Sum1Tree8;0;226;0
Sum1Tree9;0;274;0
Sum1Tree10;0;309;0
Sum1Tree11;0;315;0
Sum1Tree12;0;328;0
Sum1Tree13;0;345;1
Sum1Tree14;0;373;1
