minII;II;Lat;Status;Min;Timeouts
9.83333;9.83333;296;UNKNOWN;0.00416667;0
9.83333;9.83333;296;UNKNOWN;0.00416667;0
9.83333;9.83333;296;UNKNOWN;0.004;0
9.83333;9.83333;296;UNKNOWN;0.00416667;0
9.83333;9.83333;296;UNKNOWN;0.004;0
9.83333;9.83333;296;UNKNOWN;0.00416667;0
9.83333;9.83333;296;UNKNOWN;0.004;0
8.42857;8.42857;296;UNKNOWN;0.004;0
29.5;29.5;296;UNKNOWN;0.004;0
9.83333;9.83333;296;UNKNOWN;0.00416667;0
8.42857;8.42857;296;UNKNOWN;0.004;0
29.5;29.5;296;UNKNOWN;0.004;0
7.375;7.375;296;UNKNOWN;0.00383333;0
6.55556;6.55556;296;UNKNOWN;0.00416667;0
7.375;7.375;296;UNKNOWN;0.00416667;0
7.375;7.375;296;UNKNOWN;0.00416667;0
8.42857;8.42857;296;UNKNOWN;0.004;0
11.8;11.8;296;UNKNOWN;0.00416667;0
7.375;7.375;296;UNKNOWN;0.00416667;0
7.375;7.375;296;UNKNOWN;0.004;0
29.5;29.5;296;UNKNOWN;0.004;0
6.55556;6.55556;296;UNKNOWN;0.004;0
6.55556;6.55556;296;UNKNOWN;0.004;0
5.9;5.9;296;UNKNOWN;0.004;0
9.83333;9.83333;296;UNKNOWN;0.00416667;0
7.5;7.5;239;UNKNOWN;0.004;0
29.5;29.5;296;UNKNOWN;0.00416667;0
6.55556;6.55556;296;UNKNOWN;0.004;0
5.9;5.9;296;UNKNOWN;0.004;0
29.5;29.5;296;UNKNOWN;0.004;0
5.9;5.9;296;UNKNOWN;0.00383333;0
6.55556;6.55556;296;UNKNOWN;0.00416667;0
5.36364;5.36364;296;UNKNOWN;0.00383333;0
6.55556;6.55556;296;UNKNOWN;0.00416667;0
29.5;29.5;296;UNKNOWN;0.00416667;0
5.36364;5.36364;296;UNKNOWN;0.00416667;0
5.9;5.9;296;UNKNOWN;0.004;0
7.375;7.375;296;UNKNOWN;0.00416667;0
7.375;7.375;296;UNKNOWN;0.004;0
8.42857;8.42857;296;UNKNOWN;0.004;0
11.8;11.8;296;UNKNOWN;0.00416667;0
5.36364;5.36364;296;UNKNOWN;0.004;0
5.9;5.9;296;UNKNOWN;0.004;0
6.55556;6.55556;296;UNKNOWN;0.00383333;0
5.36364;5.36364;296;UNKNOWN;0.004;0
5.36364;5.36364;296;UNKNOWN;0.00416667;0
4.91667;4.91667;296;UNKNOWN;0.004;0
8.42857;8.42857;296;UNKNOWN;0.004;0
7.375;7.375;296;UNKNOWN;0.004;0
4.91667;4.91667;296;UNKNOWN;0.00416667;0
7.375;7.375;296;UNKNOWN;0.004;0
8.42857;8.42857;296;UNKNOWN;0.00383333;0
4.91667;4.91667;296;UNKNOWN;0.00416667;0
11.8;11.8;296;UNKNOWN;0.004;0
4.91667;4.91667;359;UNKNOWN;0.00383333;0
5.9;5.9;296;UNKNOWN;0.004;0
5.9;5.9;296;UNKNOWN;0.004;0
5.36364;5.36364;296;UNKNOWN;0.004;0
5.36364;5.36364;296;UNKNOWN;0.00416667;0
4.53846;4.53846;296;UNKNOWN;0.00383333;0
4.53846;4.53846;296;UNKNOWN;0.00383333;0
8.42857;8.42857;296;UNKNOWN;0.004;0
4.91667;4.91667;296;UNKNOWN;0.00416667;0
7.375;7.375;296;UNKNOWN;0.004;0
6.55556;6.55556;296;UNKNOWN;0.004;0
6.55556;6.55556;296;UNKNOWN;0.004;0
6.55556;6.55556;296;UNKNOWN;0.00566667;0
4.53846;4.53846;296;UNKNOWN;0.004;0
29.5;29.5;296;UNKNOWN;0.004;0
6.55556;6.55556;296;UNKNOWN;0.00416667;0
4.21429;4.21429;296;UNKNOWN;0.0045;0
11.8;11.8;296;UNKNOWN;0.00416667;0
4.91667;4.91667;296;UNKNOWN;0.004;0
4.21429;4.21429;296;UNKNOWN;0.004;0
4.53846;4.53846;296;UNKNOWN;0.004;0
