minII;II;Lat;Status;Min;Timeouts
9.83333;-1;-1;TIMEOUT_INFEASIBLE;4.99567;1
9.83333;-1;-1;TIMEOUT_INFEASIBLE;4.97667;1
9.83333;-1;-1;TIMEOUT_INFEASIBLE;5.0015;1
9.83333;-1;-1;TIMEOUT_INFEASIBLE;5.002;1
8.42857;-1;-1;TIMEOUT_INFEASIBLE;4.99883;1
7.5;-1;-1;TIMEOUT_INFEASIBLE;4.9785;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;5.00167;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;4.99717;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;4.98617;1
29.5;-1;-1;TIMEOUT_INFEASIBLE;4.99983;1
6.55556;-1;-1;TIMEOUT_INFEASIBLE;5.00333;1
4.91667;-1;-1;TIMEOUT_INFEASIBLE;5.00133;1
5.36364;-1;-1;TIMEOUT_INFEASIBLE;4.97483;1
5.36364;-1;-1;TIMEOUT_INFEASIBLE;5.00367;1
5.36364;-1;-1;TIMEOUT_INFEASIBLE;4.996;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;5.002;1
5.36364;-1;-1;TIMEOUT_INFEASIBLE;5.00267;1
8.42857;-1;-1;TIMEOUT_INFEASIBLE;4.9745;1
5.36364;-1;-1;TIMEOUT_INFEASIBLE;5.0015;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;4.99367;1
4.91667;-1;-1;TIMEOUT_INFEASIBLE;4.99083;1
4.53846;-1;-1;TIMEOUT_INFEASIBLE;5.00333;1
4.53846;-1;-1;TIMEOUT_INFEASIBLE;5.00383;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;5.00167;1
29.5;-1;-1;TIMEOUT_INFEASIBLE;4.99933;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;4.998;1
4.53846;-1;-1;TIMEOUT_INFEASIBLE;5.0065;1
7.5;-1;-1;TIMEOUT_INFEASIBLE;4.9915;1
4.53846;-1;-1;TIMEOUT_INFEASIBLE;5.00533;1
4.21429;-1;-1;TIMEOUT_INFEASIBLE;4.988;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;4.99533;1
4.21429;-1;-1;TIMEOUT_INFEASIBLE;5.00583;1
4.21429;-1;-1;TIMEOUT_INFEASIBLE;5.00567;1
7.5;7.5;156;OPTIMAL;1.165;0
4.21429;-1;-1;TIMEOUT_INFEASIBLE;4.999;1
3.6875;-1;-1;TIMEOUT_INFEASIBLE;4.97733;1
19.6667;-1;-1;TIMEOUT_INFEASIBLE;4.99933;1
3.75;-1;-1;TIMEOUT_INFEASIBLE;4.99683;1
3.6875;-1;-1;TIMEOUT_INFEASIBLE;4.998;1
4.91667;-1;-1;TIMEOUT_INFEASIBLE;5.0045;1
7.5;7.5;157;TIMEOUT_FEASIBLE;4.96567;0
3.47059;-1;-1;TIMEOUT_INFEASIBLE;5.007;1
3.47059;-1;-1;TIMEOUT_INFEASIBLE;4.99817;1
3.47059;-1;-1;TIMEOUT_INFEASIBLE;5.005;1
3.27778;-1;-1;TIMEOUT_INFEASIBLE;4.983;1
3.27778;-1;-1;TIMEOUT_INFEASIBLE;5.00417;1
3.27778;-1;-1;TIMEOUT_INFEASIBLE;5.00583;1
4.53846;-1;-1;TIMEOUT_INFEASIBLE;5.005;1
19.6667;-1;-1;TIMEOUT_INFEASIBLE;4.99933;1
3.93333;-1;-1;TIMEOUT_INFEASIBLE;4.9945;1
8.42857;-1;-1;TIMEOUT_INFEASIBLE;4.99983;1
3.47059;-1;-1;TIMEOUT_INFEASIBLE;5.008;1
19.6667;-1;-1;TIMEOUT_INFEASIBLE;4.99283;1
3.27778;-1;-1;TIMEOUT_INFEASIBLE;5.009;1
3.10526;-1;-1;TIMEOUT_INFEASIBLE;4.99767;1
4.28571;-1;-1;TIMEOUT_INFEASIBLE;4.9885;1
4.53846;-1;-1;TIMEOUT_INFEASIBLE;5.00583;1
19.6667;-1;-1;TIMEOUT_INFEASIBLE;4.99467;1
29.5;-1;-1;TIMEOUT_INFEASIBLE;4.99183;1
14.75;-1;-1;TIMEOUT_INFEASIBLE;4.99033;1
14.75;-1;-1;TIMEOUT_INFEASIBLE;5.001;1
14.75;-1;-1;TIMEOUT_INFEASIBLE;4.99983;1
3.27778;-1;-1;TIMEOUT_INFEASIBLE;5.00033;1
3.27778;-1;-1;TIMEOUT_INFEASIBLE;5.00833;1
2.95;-1;-1;TIMEOUT_INFEASIBLE;4.97033;1
4.53846;-1;-1;TIMEOUT_INFEASIBLE;4.982;1
19.6667;-1;-1;TIMEOUT_INFEASIBLE;4.99583;1
2.95;-1;-1;TIMEOUT_INFEASIBLE;5.005;1
2.95;-1;-1;TIMEOUT_INFEASIBLE;5.00767;1
2.95;-1;-1;TIMEOUT_INFEASIBLE;5.0135;1
3.93333;-1;-1;TIMEOUT_INFEASIBLE;5.0065;1
3.10526;-1;-1;TIMEOUT_INFEASIBLE;5.00183;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;4.991;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;5.00233;1
3.10526;-1;-1;TIMEOUT_INFEASIBLE;4.9985;1
19.6667;-1;-1;TIMEOUT_INFEASIBLE;4.99883;1
3.10526;-1;-1;TIMEOUT_INFEASIBLE;5.00133;1
8.42857;-1;-1;TIMEOUT_INFEASIBLE;5.0035;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;5.00067;1
6.55556;-1;-1;TIMEOUT_INFEASIBLE;5.00233;1
3.93333;-1;-1;TIMEOUT_INFEASIBLE;4.99617;1
4.21429;-1;-1;TIMEOUT_INFEASIBLE;4.96167;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;4.994;1
4.21429;-1;-1;TIMEOUT_INFEASIBLE;5.0025;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;5.00133;1
5.9;-1;-1;TIMEOUT_INFEASIBLE;4.99783;1
5.9;-1;-1;TIMEOUT_INFEASIBLE;5.0025;1
3.93333;-1;-1;TIMEOUT_INFEASIBLE;4.99317;1
5.9;-1;-1;TIMEOUT_INFEASIBLE;5.004;1
3.93333;-1;-1;TIMEOUT_INFEASIBLE;4.99867;1
4.21429;-1;-1;TIMEOUT_INFEASIBLE;4.99483;1
4.21429;-1;-1;TIMEOUT_INFEASIBLE;5.01;1
8.42857;-1;-1;TIMEOUT_INFEASIBLE;4.997;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;5.00383;1
11.8;-1;-1;TIMEOUT_INFEASIBLE;4.99767;1
3.93333;-1;-1;TIMEOUT_INFEASIBLE;5.00717;1
4.21429;-1;-1;TIMEOUT_INFEASIBLE;5.00483;1
3.93333;-1;-1;TIMEOUT_INFEASIBLE;4.996;1
4.53846;-1;-1;TIMEOUT_INFEASIBLE;5.00667;1
5.9;-1;-1;TIMEOUT_INFEASIBLE;4.99583;1
3.93333;-1;-1;TIMEOUT_INFEASIBLE;5.0065;1
6.55556;-1;-1;TIMEOUT_INFEASIBLE;5.0025;1
3.93333;-1;-1;TIMEOUT_INFEASIBLE;4.997;1
7.5;7.5;157;TIMEOUT_FEASIBLE;4.98983;0
3.10526;-1;-1;TIMEOUT_INFEASIBLE;5.00433;1
4.21429;-1;-1;TIMEOUT_INFEASIBLE;5.00617;1
3.10526;-1;-1;TIMEOUT_INFEASIBLE;5.00517;1
3.10526;-1;-1;TIMEOUT_INFEASIBLE;5.0065;1
3.93333;-1;-1;TIMEOUT_INFEASIBLE;5.00367;1
19.6667;-1;-1;TIMEOUT_INFEASIBLE;4.99283;1
4.21429;-1;-1;TIMEOUT_INFEASIBLE;5.00633;1
3.93333;-1;-1;TIMEOUT_INFEASIBLE;5.0055;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;5.0025;1
6.55556;-1;-1;TIMEOUT_INFEASIBLE;4.997;1
9.83333;-1;-1;TIMEOUT_INFEASIBLE;4.99483;1
7.375;-1;-1;TIMEOUT_INFEASIBLE;4.99117;1
5.9;-1;-1;TIMEOUT_INFEASIBLE;4.99633;1
19.6667;-1;-1;TIMEOUT_INFEASIBLE;4.99867;1
14.75;-1;-1;TIMEOUT_INFEASIBLE;4.99333;1
