minII;II;Lat;Status;Min;Timeouts
9.83333;9.83333;157;OPTIMAL;0.259;0
29.5;29.5;157;OPTIMAL;0.1885;0
9.83333;9.83333;157;OPTIMAL;0.523833;0
8.42857;8.42857;157;OPTIMAL;0.187167;0
8.42857;8.42857;157;OPTIMAL;0.228333;0
9.83333;9.83333;157;OPTIMAL;0.255667;0
8.42857;8.42857;157;OPTIMAL;0.244833;0
7.375;7.375;157;OPTIMAL;0.5005;0
7.375;7.375;157;OPTIMAL;0.327167;0
9.83333;9.83333;157;OPTIMAL;0.278667;0
7.375;7.375;157;OPTIMAL;0.2825;0
29.5;29.5;157;OPTIMAL;0.277167;0
6.55556;6.55556;157;OPTIMAL;0.270167;0
29.5;29.5;157;OPTIMAL;0.0676667;0
8.42857;8.42857;157;OPTIMAL;0.2545;0
6.55556;6.55556;157;OPTIMAL;0.287;0
29.5;29.5;157;OPTIMAL;0.4315;0
5.9;5.9;157;OPTIMAL;0.466;0
5.9;5.9;157;OPTIMAL;0.2805;0
5.36364;5.36364;157;OPTIMAL;0.2935;0
4.91667;4.91667;157;OPTIMAL;0.3035;0
4.91667;4.91667;157;OPTIMAL;0.313167;0
5.36364;5.36364;157;OPTIMAL;0.493;0
7.375;7.375;157;OPTIMAL;0.3005;0
5.9;5.9;157;OPTIMAL;0.2705;0
5.36364;5.36364;157;OPTIMAL;0.275167;0
4.91667;4.91667;157;OPTIMAL;0.573833;0
5.36364;5.36364;157;OPTIMAL;0.317167;0
7.5;7.5;156;OPTIMAL;0.0035;0
5.36364;5.36364;157;OPTIMAL;0.299333;0
4.53846;4.53846;157;OPTIMAL;0.1985;0
5.36364;5.36364;157;OPTIMAL;0.3735;0
4.21429;4.21429;157;OPTIMAL;0.330833;0
4.21429;4.21429;157;OPTIMAL;0.354667;0
3.93333;3.93333;157;OPTIMAL;0.708833;0
3.93333;3.93333;157;OPTIMAL;0.277667;0
3.93333;3.93333;157;OPTIMAL;0.274833;0
7.5;7.5;156;OPTIMAL;0.0035;0
19.6667;19.6667;157;OPTIMAL;0.400333;0
3.6875;3.6875;157;OPTIMAL;0.378167;0
11.8;11.8;157;OPTIMAL;0.253167;0
3.6875;3.6875;157;OPTIMAL;0.587;0
4.28571;4.28571;156;OPTIMAL;0.0153333;0
3.93333;3.93333;157;OPTIMAL;0.5585;0
7.5;7.5;158;OPTIMAL;0.0491667;0
9.83333;9.83333;157;OPTIMAL;0.314333;0
3.47059;3.47059;157;OPTIMAL;0.326333;0
11.8;11.8;157;OPTIMAL;0.243167;0
