# II 1.5
# samples 2
# modulo 3
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//fir_SAM.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//fir_SAM/RM51.xml
# vertex;sample;cycle;fu
Sum10;0;0;0
Constant10;0;1;0
Constant11;0;1;0
X;0;0;0
Constant;0;1;0
Constant1;0;1;0
Constant12;0;1;0
Constant13;0;1;0
Constant14;0;1;0
Constant15;0;1;0
Constant16;0;1;0
Constant17;0;1;0
Constant18;0;1;0
Constant19;0;1;0
Constant2;0;1;0
Constant20;0;1;0
Constant21;0;1;0
Constant22;0;1;0
Constant23;0;1;0
Constant24;0;1;0
Constant25;0;1;0
Constant29;0;1;0
Constant3;0;1;0
Constant32;0;1;0
Constant33;0;1;0
Constant34;0;1;0
Constant4;0;1;0
Constant5;0;1;0
Constant6;0;1;0
Constant7;0;1;0
Constant8;0;1;0
Constant9;0;1;0
Product;0;6;0
Product1;0;5;0
Product10;0;8;1
Product11;0;5;2
Product12;0;7;0
Product13;0;9;1
Product14;0;5;3
Product15;0;9;2
Product16;0;6;3
Product17;0;8;4
Product18;0;8;5
Product19;0;7;1
Product2;0;5;6
Product20;0;58;2
Product21;0;9;4
Product22;0;7;3
Product23;0;6;5
Product24;0;8;7
Product25;0;7;4
Product29;0;19;5
Product3;0;7;6
Product32;0;6;6
Product33;0;6;7
Product34;0;7;7
Product4;0;5;8
Product5;0;5;9
Product6;0;7;8
Product7;0;36;8
Product8;0;7;9
Product9;0;9;9
Sum25;0;0;1
Sum11;0;0;2
Sum12;0;0;3
Sum13;0;2;0
Sum14;0;1;0
Sum15;0;2;1
Sum16;0;2;2
Sum17;0;0;4
Sum18;0;53;3
Sum19;0;0;5
Sum2;0;2;4
Sum20;0;2;5
Sum21;0;1;1
Sum22;0;1;2
Sum23;0;2;6
Sum24;0;1;3
Sum1Tree4;0;30;6
Sum26;0;1;4
Sum27;0;1;5
Sum28;0;1;6
Sum29;0;2;7
Sum3;0;2;8
Sum30;0;1;7
Sum31;0;14;9
Sum4;0;0;7
Sum5;0;0;8
Sum6;0;1;8
Sum7;0;1;9
Sum8;0;0;9
Sum9;0;0;10
Y;0;155;0
Sum1Tree0;0;10;10
Sum1Tree1;0;15;11
Sum1Tree2;0;20;10
Sum1Tree3;0;25;11
Sum1Tree28;0;150;12
Sum1Tree5;0;35;11
