minII;II;Lat;Status;Min;Timeouts
3.5;3.5;42;OPTIMAL;0.000666667;0
6.5;6.5;42;OPTIMAL;0.00266667;0
2.6;2.6;45;OPTIMAL;0.0388333;0
2.16667;2.16667;46;OPTIMAL;0.0486667;0
1.85714;1.85714;47;OPTIMAL;0.156833;0
3.5;3.5;42;OPTIMAL;0.0005;0
3.25;3.25;44;OPTIMAL;0.0135;0
3.25;3.25;44;OPTIMAL;0.021;0
1.16667;1.16667;46;OPTIMAL;0.0393333;0
4.33333;4.33333;43;OPTIMAL;0.00683333;0
3.25;3.25;44;OPTIMAL;0.0116667;0
4.33333;4.33333;43;OPTIMAL;0.006;0
2.6;2.6;45;OPTIMAL;0.0366667;0
1.75;1.75;44;OPTIMAL;0.00683333;0
2.33333;2.33333;43;OPTIMAL;0.0035;0
3.5;3.5;42;OPTIMAL;0.00116667;0
1.4;1.4;45;OPTIMAL;0.0385;0
1.4;1.4;45;OPTIMAL;0.0196667;0
3.5;3.5;42;OPTIMAL;0.0005;0
1.4;1.4;45;OPTIMAL;0.00783333;0
1.18182;1.18182;49;OPTIMAL;1.68183;0
1.75;1.75;44;OPTIMAL;0.00616667;0
1.85714;1.85714;47;OPTIMAL;0.309;0
3.5;3.5;42;OPTIMAL;0.000666667;0
1.44444;1.44444;49;OPTIMAL;0.435;0
1.625;1.625;47;OPTIMAL;0.194;0
4.33333;4.33333;43;OPTIMAL;0.00716667;0
2.33333;2.33333;43;OPTIMAL;0.00233333;0
6.5;6.5;42;OPTIMAL;0.00266667;0
1.625;1.625;48;OPTIMAL;0.303833;0
2.33333;2.33333;43;OPTIMAL;0.003;0
1.44444;1.44444;49;OPTIMAL;0.488833;0
2.33333;2.33333;43;OPTIMAL;0.00233333;0
1.85714;1.85714;47;OPTIMAL;0.110167;0
3.25;3.25;44;OPTIMAL;0.0085;0
2.33333;2.33333;43;OPTIMAL;0.00316667;0
2.16667;2.16667;46;OPTIMAL;0.091;0
1.75;1.75;44;OPTIMAL;0.00466667;0
6.5;6.5;42;OPTIMAL;0.001;0
1.3;1.3;50;OPTIMAL;1.09383;0
1.18182;1.18182;50;OPTIMAL;0.679333;0
3.25;3.25;44;OPTIMAL;0.0181667;0
1.08333;1.08333;51;OPTIMAL;0.817;0
4.33333;4.33333;43;OPTIMAL;0.006;0
3.5;3.5;42;OPTIMAL;0.0005;0
1.4;1.4;45;OPTIMAL;0.007;0
3.5;3.5;42;OPTIMAL;0.001;0
2.16667;2.16667;46;OPTIMAL;0.101833;0
2.16667;2.16667;46;OPTIMAL;0.0881667;0
1.3;1.3;50;OPTIMAL;0.849667;0
2.6;2.6;45;OPTIMAL;0.1325;0
1.85714;1.85714;47;OPTIMAL;0.164667;0
1.75;1.75;44;OPTIMAL;0.00416667;0
4.33333;4.33333;43;OPTIMAL;0.00566667;0
3.5;3.5;42;OPTIMAL;0.001;0
2.6;2.6;45;OPTIMAL;0.0505;0
4.33333;4.33333;43;OPTIMAL;0.00633333;0
3.5;3.5;42;OPTIMAL;0.000833333;0
2.33333;2.33333;43;OPTIMAL;0.00216667;0
1.75;1.75;44;OPTIMAL;0.00366667;0
2.33333;2.33333;43;OPTIMAL;0.00333333;0
3.5;3.5;42;OPTIMAL;0.000666667;0
6.5;6.5;42;OPTIMAL;0.00133333;0
1.75;1.75;44;OPTIMAL;0.00616667;0
1.16667;1.16667;46;OPTIMAL;0.0191667;0
6.5;6.5;42;OPTIMAL;0.0025;0
1.625;1.625;48;OPTIMAL;0.302667;0
1.44444;1.44444;48;OPTIMAL;0.401333;0
6.5;6.5;42;OPTIMAL;0.00133333;0
2.6;2.6;45;OPTIMAL;0.043;0
2.33333;2.33333;43;OPTIMAL;0.00266667;0
