minII;II;Lat;Status;Min;Timeouts
3.25;3.25;82;UNKNOWN;0.0005;0
1.44444;1.44444;82;UNKNOWN;0.000333333;0
2.6;2.6;82;UNKNOWN;0.000333333;0
2.6;2.6;82;UNKNOWN;0.0005;0
2.33333;2.33333;50;UNKNOWN;0.0005;0
1.18182;1.18182;82;UNKNOWN;0.000333333;0
1.08333;1.08333;82;UNKNOWN;0.0005;0
4.33333;4.33333;82;UNKNOWN;0.000333333;0
3.5;3.5;61;UNKNOWN;0.0005;0
1.625;1.625;82;UNKNOWN;0.000333333;0
1.44444;1.44444;82;UNKNOWN;0.0005;0
3.5;3.5;47;UNKNOWN;0.0005;0
1.75;1.75;59;UNKNOWN;0.000333333;0
6.5;6.5;82;UNKNOWN;0.000333333;0
2.33333;2.33333;47;UNKNOWN;0.0005;0
2.16667;2.16667;82;UNKNOWN;0.0005;0
2.16667;2.16667;82;UNKNOWN;0.000333333;0
1.625;1.625;82;UNKNOWN;0.000333333;0
2.6;2.6;82;UNKNOWN;0.000333333;0
1.3;1.3;82;UNKNOWN;0.0005;0
2.33333;2.33333;50;UNKNOWN;0.0005;0
1.4;1.4;59;UNKNOWN;0.000333333;0
2.33333;2.33333;61;UNKNOWN;0.000333333;0
3.25;3.25;82;UNKNOWN;0.000333333;0
1.3;1.3;82;UNKNOWN;0.000333333;0
3.25;3.25;82;UNKNOWN;0.000333333;0
6.5;6.5;82;UNKNOWN;0.000333333;0
3.25;3.25;82;UNKNOWN;0.0005;0
3.5;3.5;46;UNKNOWN;0.000333333;0
1.4;1.4;60;UNKNOWN;0.000333333;0
2.6;2.6;82;UNKNOWN;0.000333333;0
2.16667;2.16667;82;UNKNOWN;0.000333333;0
1.85714;1.85714;82;UNKNOWN;0.000333333;0
1.75;1.75;61;UNKNOWN;0.000333333;0
6.5;6.5;82;UNKNOWN;0.000333333;0
3.5;3.5;46;UNKNOWN;0.000333333;0
3.5;3.5;50;UNKNOWN;0.000333333;0
3.5;3.5;59;UNKNOWN;0.000333333;0
1.85714;1.85714;82;UNKNOWN;0.000333333;0
6.5;6.5;82;UNKNOWN;0.000333333;0
1.44444;1.44444;82;UNKNOWN;0.0005;0
1.4;1.4;61;UNKNOWN;0.0005;0
1.75;1.75;58;UNKNOWN;0.0005;0
6.5;6.5;82;UNKNOWN;0.000333333;0
3.5;3.5;50;UNKNOWN;0.000166667;0
1.85714;1.85714;82;UNKNOWN;0.000166667;0
3.5;3.5;46;UNKNOWN;0.000333333;0
4.33333;4.33333;82;UNKNOWN;0.0005;0
1.16667;1.16667;60;UNKNOWN;0.0005;0
2.33333;2.33333;60;UNKNOWN;0.0005;0
3.5;3.5;59;UNKNOWN;0.000333333;0
1.75;1.75;60;UNKNOWN;0.000333333;0
3.25;3.25;82;UNKNOWN;0.000333333;0
2.6;2.6;82;UNKNOWN;0.000333333;0
1.75;1.75;59;UNKNOWN;0.0005;0
1.16667;1.16667;61;UNKNOWN;0.0005;0
4.33333;4.33333;82;UNKNOWN;0.000333333;0
2.33333;2.33333;59;UNKNOWN;0.000333333;0
2.33333;2.33333;50;UNKNOWN;0.0005;0
1.18182;1.18182;82;UNKNOWN;0.000333333;0
1.75;1.75;59;UNKNOWN;0.0005;0
1.4;1.4;60;UNKNOWN;0.000333333;0
4.33333;4.33333;82;UNKNOWN;0.000333333;0
2.33333;2.33333;59;UNKNOWN;0.000333333;0
4.33333;4.33333;82;UNKNOWN;0.000333333;0
3.5;3.5;47;UNKNOWN;0.0005;0
2.16667;2.16667;82;UNKNOWN;0.0005;0
1.625;1.625;82;UNKNOWN;0.000333333;0
4.33333;4.33333;82;UNKNOWN;0.000666667;0
6.5;6.5;82;UNKNOWN;0.0005;0
1.85714;1.85714;82;UNKNOWN;0.000333333;0
