# II 2.33333
# samples 3
# modulo 7
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//fir_SHI.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//fir_SHI/RM38.xml
# vertex;sample;cycle;fu
Sum10;0;2;0
Constant2;0;0;0
Constant3;0;0;0
X;0;0;0
Constant;0;0;0
Constant1;0;0;0
Constant4;0;0;0
Constant5;0;0;0
Constant6;0;0;0
Product;0;11;0
Product1;0;9;0
Product2;0;6;0
Product3;0;7;0
Product4;0;5;0
Product5;0;10;0
Product6;0;8;0
Sum11;0;0;0
Sum12;0;0;1
Sum13;0;0;2
Sum7;0;1;0
Sum8;0;1;1
Sum9;0;1;2
Y;0;58;0
Sum1Tree0;0;16;1
Sum1Tree1;0;23;2
Sum1Tree2;0;31;0
Sum1Tree3;0;38;1
Sum1Tree4;0;45;2
Sum1Tree5;0;53;0
Sum10;1;4;1
Constant2;1;2;0
Constant3;1;2;0
X;1;2;0
Constant;1;2;0
Constant1;1;2;0
Constant4;1;2;0
Constant5;1;2;0
Constant6;1;2;0
Product;1;13;1
Product1;1;11;1
Product2;1;8;1
Product3;1;9;1
Product4;1;7;1
Product5;1;12;1
Product6;1;10;1
Sum11;1;2;3
Sum12;1;2;4
Sum13;1;2;5
Sum7;1;3;3
Sum8;1;3;4
Sum9;1;3;5
Y;1;60;0
Sum1Tree0;1;18;2
Sum1Tree1;1;25;3
Sum1Tree2;1;33;0
Sum1Tree3;1;40;1
Sum1Tree4;1;47;2
Sum1Tree5;1;55;0
Sum10;2;7;3
Constant2;2;5;0
Constant3;2;5;0
X;2;5;0
Constant;2;5;0
Constant1;2;5;0
Constant4;2;5;0
Constant5;2;5;0
Constant6;2;5;0
Product;2;16;2
Product1;2;14;2
Product2;2;11;2
Product3;2;12;2
Product4;2;10;2
Product5;2;15;2
Product6;2;13;2
Sum11;2;5;3
Sum12;2;5;4
Sum13;2;5;5
Sum7;2;6;1
Sum8;2;6;2
Sum9;2;6;3
Y;2;63;0
Sum1Tree0;2;21;4
Sum1Tree1;2;28;5
Sum1Tree2;2;36;3
Sum1Tree3;2;43;4
Sum1Tree4;2;50;5
Sum1Tree5;2;58;6
