minII;II;Lat;Status;Min;Timeouts
3.5;3.5;41;OPTIMAL;0.00183333;0
4.33333;4.33333;41;OPTIMAL;0.0316667;0
2.6;2.6;41;OPTIMAL;0.303667;0
2.16667;2.16667;41;OPTIMAL;0.6875;0
1.4;1.4;41;OPTIMAL;0.0375;0
1.75;1.75;41;OPTIMAL;0.0245;0
3.5;3.5;41;OPTIMAL;0.00483333;0
1.85714;-1;-1;TIMEOUT_INFEASIBLE;4.99483;1
1.625;-1;-1;TIMEOUT_INFEASIBLE;4.99833;1
3.5;3.5;41;OPTIMAL;0.00266667;0
3.25;3.25;41;OPTIMAL;0.0468333;0
3.25;3.25;41;OPTIMAL;0.32;0
2.33333;2.33333;41;OPTIMAL;0.0316667;0
1.08333;-1;-1;TIMEOUT_INFEASIBLE;4.98783;1
2.6;2.6;41;OPTIMAL;1.0535;0
1.75;1.75;41;OPTIMAL;0.0416667;0
3.5;3.5;41;OPTIMAL;0.0103333;0
1.625;1.625;41;OPTIMAL;0.1585;0
6.5;6.5;41;OPTIMAL;0.005;0
6.5;6.5;41;OPTIMAL;0.0176667;0
6.5;6.5;41;OPTIMAL;0.00116667;0
6.5;6.5;41;OPTIMAL;0.00466667;0
1.4;1.4;41;OPTIMAL;0.0428333;0
1.85714;1.85714;41;OPTIMAL;0.0705;0
1.44444;1.44444;41;OPTIMAL;0.204833;0
3.5;3.5;41;OPTIMAL;0.0125;0
1.75;1.75;41;OPTIMAL;0.0281667;0
1.16667;1.16667;41;OPTIMAL;0.149833;0
1.3;-1;-1;TIMEOUT_INFEASIBLE;4.99433;1
1.3;-1;-1;TIMEOUT_INFEASIBLE;4.99067;1
1.85714;-1;-1;TIMEOUT_INFEASIBLE;4.98667;1
1.4;1.4;41;OPTIMAL;0.044;0
2.33333;2.33333;41;OPTIMAL;0.0218333;0
3.5;3.5;41;OPTIMAL;0.00133333;0
2.33333;2.33333;41;OPTIMAL;0.00483333;0
2.6;2.6;41;OPTIMAL;0.8305;0
2.16667;2.16667;41;OPTIMAL;2.0085;0
4.33333;4.33333;41;OPTIMAL;0.0466667;0
2.33333;2.33333;41;OPTIMAL;0.0573333;0
4.33333;4.33333;41;OPTIMAL;0.0165;0
2.33333;2.33333;41;OPTIMAL;4.07317;0
6.5;6.5;41;OPTIMAL;0.0125;0
3.5;3.5;41;OPTIMAL;0.730833;0
4.33333;4.33333;41;OPTIMAL;0.056;0
1.16667;1.16667;41;OPTIMAL;0.0551667;0
2.16667;2.16667;41;OPTIMAL;1.87083;0
1.18182;1.18182;41;OPTIMAL;1.14033;0
1.85714;-1;-1;TIMEOUT_INFEASIBLE;4.98817;1
1.625;-1;-1;TIMEOUT_INFEASIBLE;4.9965;1
3.25;3.25;41;OPTIMAL;0.0943333;0
3.5;3.5;41;OPTIMAL;0.003;0
1.75;1.75;41;OPTIMAL;0.0345;0
3.5;3.5;41;OPTIMAL;0.000833333;0
3.25;3.25;41;OPTIMAL;0.733667;0
3.5;3.5;41;OPTIMAL;0.00233333;0
2.33333;2.33333;41;OPTIMAL;0.0273333;0
1.44444;-1;-1;TIMEOUT_INFEASIBLE;4.99833;1
1.44444;1.44444;41;OPTIMAL;3.3005;0
1.18182;-1;-1;TIMEOUT_INFEASIBLE;4.99733;1
4.33333;4.33333;41;OPTIMAL;0.0533333;0
6.5;6.5;41;OPTIMAL;0.0243333;0
2.33333;2.33333;41;OPTIMAL;0.00716667;0
1.4;1.4;41;OPTIMAL;0.062;0
2.33333;2.33333;41;OPTIMAL;0.0035;0
2.6;2.6;41;OPTIMAL;0.0911667;0
1.75;1.75;41;OPTIMAL;0.0228333;0
2.6;2.6;41;OPTIMAL;0.8105;0
1.75;1.75;41;OPTIMAL;0.039;0
2.16667;2.16667;41;OPTIMAL;2.361;0
4.33333;4.33333;41;OPTIMAL;0.517;0
3.25;3.25;41;OPTIMAL;0.170167;0
