minII;II;Lat;Status;Min;Timeouts
4.33333;4.33333;41;OPTIMAL;0.0005;0
3.5;3.5;41;OPTIMAL;0.000333333;0
3.25;3.25;41;OPTIMAL;0.000666667;0
3.25;3.25;41;OPTIMAL;0.0005;0
3.5;3.5;41;OPTIMAL;0.000166667;0
2.6;2.6;41;OPTIMAL;0.000666667;0
2.16667;2.16667;41;OPTIMAL;0.000833333;0
6.5;6.5;41;OPTIMAL;0.0005;0
1.625;1.625;41;OPTIMAL;0.00116667;0
3.25;3.25;41;OPTIMAL;0.0005;0
1.44444;1.44444;41;OPTIMAL;0.000833333;0
1.18182;1.18182;41;OPTIMAL;0.000833333;0
3.5;3.5;41;OPTIMAL;0.000166667;0
1.75;1.75;41;OPTIMAL;0.000333333;0
4.33333;4.33333;41;OPTIMAL;0.0005;0
3.5;3.5;41;OPTIMAL;0.000333333;0
3.5;3.5;41;OPTIMAL;0.0005;0
1.44444;1.44444;41;OPTIMAL;0.00116667;0
1.4;1.4;41;OPTIMAL;0.000166667;0
1.3;1.3;41;OPTIMAL;0.000666667;0
2.33333;2.33333;41;OPTIMAL;0.000333333;0
2.6;2.6;41;OPTIMAL;0.000666667;0
1.16667;1.16667;41;OPTIMAL;0.000333333;0
3.25;3.25;41;OPTIMAL;0.000666667;0
4.33333;4.33333;41;OPTIMAL;0.00183333;0
4.33333;4.33333;41;OPTIMAL;0.000666667;0
3.5;3.5;41;OPTIMAL;0.000333333;0
6.5;6.5;41;OPTIMAL;0.000333333;0
1.4;1.4;41;OPTIMAL;0;0
1.75;1.75;41;OPTIMAL;0.000333333;0
1.625;1.625;41;OPTIMAL;0.000666667;0
1.75;1.75;41;OPTIMAL;0.000333333;0
3.5;3.5;41;OPTIMAL;0.000333333;0
1.4;1.4;41;OPTIMAL;0.000333333;0
2.6;2.6;41;OPTIMAL;0.0005;0
2.16667;2.16667;41;OPTIMAL;0.000666667;0
1.3;1.3;41;OPTIMAL;0.00133333;0
2.16667;2.16667;41;OPTIMAL;0.000666667;0
1.75;1.75;41;OPTIMAL;0.000333333;0
2.16667;2.16667;41;OPTIMAL;0.000833333;0
2.33333;2.33333;41;OPTIMAL;0;0
3.5;3.5;41;OPTIMAL;0;0
1.85714;1.85714;41;OPTIMAL;0.000666667;0
2.33333;2.33333;41;OPTIMAL;0.0005;0
1.85714;1.85714;41;OPTIMAL;0.000833333;0
1.75;1.75;41;OPTIMAL;0.000666667;0
1.08333;1.08333;41;OPTIMAL;0.000833333;0
3.25;3.25;41;OPTIMAL;0.0005;0
2.33333;2.33333;41;OPTIMAL;0.000166667;0
6.5;6.5;41;OPTIMAL;0.0005;0
4.33333;4.33333;41;OPTIMAL;0.000666667;0
3.5;3.5;41;OPTIMAL;0.000166667;0
2.6;2.6;41;OPTIMAL;0.000666667;0
6.5;6.5;41;OPTIMAL;0.0005;0
1.18182;1.18182;41;OPTIMAL;0.000833333;0
1.85714;1.85714;41;OPTIMAL;0.000666667;0
1.4;1.4;41;OPTIMAL;0.000333333;0
6.5;6.5;41;OPTIMAL;0.0005;0
1.85714;1.85714;41;OPTIMAL;0.001;0
4.33333;4.33333;41;OPTIMAL;0.000666667;0
1.44444;1.44444;41;OPTIMAL;0.000666667;0
1.625;1.625;41;OPTIMAL;0.000666667;0
2.33333;2.33333;41;OPTIMAL;0.000333333;0
2.6;2.6;41;OPTIMAL;0.000833333;0
2.33333;2.33333;41;OPTIMAL;0.0005;0
1.16667;1.16667;41;OPTIMAL;0.000333333;0
6.5;6.5;41;OPTIMAL;0.0005;0
1.75;1.75;41;OPTIMAL;0.000333333;0
3.5;3.5;41;OPTIMAL;0.000166667;0
2.33333;2.33333;41;OPTIMAL;0.0005;0
2.33333;2.33333;41;OPTIMAL;0.000166667;0
