# II 1.08333
# samples 12
# modulo 13
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//fir_SHI.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//fir_SHI/RM66.xml
# vertex;sample;cycle;fu
Sum10;0;8;0
Constant2;0;0;0
Constant3;0;0;0
X;0;0;0
Constant;0;0;0
Constant1;0;0;0
Constant4;0;0;0
Constant5;0;0;0
Constant6;0;0;0
Product;0;6;0
Product1;0;5;0
Product2;0;11;0
Product3;0;13;0
Product4;0;16;0
Product5;0;19;1
Product6;0;12;0
Sum11;0;11;0
Sum12;0;3;0
Sum13;0;6;0
Sum7;0;1;0
Sum8;0;0;0
Sum9;0;5;0
Y;0;40;0
Sum1Tree0;0;10;0
Sum1Tree1;0;15;0
Sum1Tree2;0;20;0
Sum1Tree3;0;25;0
Sum1Tree4;0;30;0
Sum1Tree5;0;35;0
Sum10;1;9;1
Constant2;1;1;0
Constant3;1;1;0
X;1;1;0
Constant;1;1;0
Constant1;1;1;0
Constant4;1;1;0
Constant5;1;1;0
Constant6;1;1;0
Product;1;7;0
Product1;1;6;2
Product2;1;12;1
Product3;1;14;0
Product4;1;17;0
Product5;1;20;1
Product6;1;13;1
Sum11;1;12;1
Sum12;1;4;1
Sum13;1;7;1
Sum7;1;2;1
Sum8;1;1;1
Sum9;1;6;1
Y;1;41;0
Sum1Tree0;1;11;1
Sum1Tree1;1;16;1
Sum1Tree2;1;21;1
Sum1Tree3;1;26;1
Sum1Tree4;1;31;1
Sum1Tree5;1;36;1
Sum10;2;10;2
Constant2;2;2;0
Constant3;2;2;0
X;2;2;0
Constant;2;2;0
Constant1;2;2;0
Constant4;2;2;0
Constant5;2;2;0
Constant6;2;2;0
Product;2;8;0
Product1;2;7;2
Product2;2;13;2
Product3;2;15;0
Product4;2;18;1
Product5;2;21;1
Product6;2;14;1
Sum11;2;13;2
Sum12;2;5;2
Sum13;2;8;2
Sum7;2;3;2
Sum8;2;2;2
Sum9;2;7;2
Y;2;42;0
Sum1Tree0;2;12;2
Sum1Tree1;2;17;2
Sum1Tree2;2;22;2
Sum1Tree3;2;27;2
Sum1Tree4;2;32;2
Sum1Tree5;2;37;2
Sum10;3;11;3
Constant2;3;3;0
Constant3;3;3;0
X;3;3;0
Constant;3;3;0
Constant1;3;3;0
Constant4;3;3;0
Constant5;3;3;0
Constant6;3;3;0
Product;3;9;0
Product1;3;8;2
Product2;3;14;2
Product3;3;16;1
Product4;3;19;3
Product5;3;22;1
Product6;3;15;1
Sum11;3;14;3
Sum12;3;6;3
Sum13;3;9;3
Sum7;3;4;3
Sum8;3;3;3
Sum9;3;8;3
Y;3;43;0
Sum1Tree0;3;13;3
Sum1Tree1;3;18;3
Sum1Tree2;3;23;3
Sum1Tree3;3;28;3
Sum1Tree4;3;33;3
Sum1Tree5;3;38;3
Sum10;4;12;4
Constant2;4;4;0
Constant3;4;4;0
X;4;4;0
Constant;4;4;0
Constant1;4;4;0
Constant4;4;4;0
Constant5;4;4;0
Constant6;4;4;0
Product;4;10;0
Product1;4;9;2
Product2;4;15;2
Product3;4;17;1
Product4;4;20;3
Product5;4;23;1
Product6;4;16;2
Sum11;4;15;4
Sum12;4;7;4
Sum13;4;10;4
Sum7;4;5;4
Sum8;4;4;4
Sum9;4;9;4
Y;4;44;0
Sum1Tree0;4;14;4
Sum1Tree1;4;19;4
Sum1Tree2;4;24;4
Sum1Tree3;4;29;4
Sum1Tree4;4;34;4
Sum1Tree5;4;39;4
Sum10;5;13;5
Constant2;5;5;0
Constant3;5;5;0
X;5;5;0
Constant;5;5;0
Constant1;5;5;0
Constant4;5;5;0
Constant5;5;5;0
Constant6;5;5;0
Product;5;11;1
Product1;5;10;2
Product2;5;16;3
Product3;5;18;2
Product4;5;21;3
Product5;5;24;2
Product6;5;17;2
Sum11;5;16;5
Sum12;5;8;5
Sum13;5;11;5
Sum7;5;6;5
Sum8;5;5;5
Sum9;5;10;5
Y;5;45;0
Sum1Tree0;5;15;5
Sum1Tree1;5;20;5
Sum1Tree2;5;25;5
Sum1Tree3;5;30;5
Sum1Tree4;5;35;5
Sum1Tree5;5;40;5
Sum10;6;14;6
Constant2;6;6;0
Constant3;6;6;0
X;6;6;0
Constant;6;6;0
Constant1;6;6;0
Constant4;6;6;0
Constant5;6;6;0
Constant6;6;6;0
Product;6;12;2
Product1;6;11;3
Product2;6;17;3
Product3;6;19;4
Product4;6;22;3
Product5;6;25;3
Product6;6;18;3
Sum11;6;17;6
Sum12;6;9;6
Sum13;6;12;6
Sum7;6;7;6
Sum8;6;6;6
Sum9;6;11;6
Y;6;46;0
Sum1Tree0;6;16;6
Sum1Tree1;6;21;6
Sum1Tree2;6;26;6
Sum1Tree3;6;31;6
Sum1Tree4;6;36;6
Sum1Tree5;6;41;6
Sum10;7;15;7
Constant2;7;7;0
Constant3;7;7;0
X;7;7;0
Constant;7;7;0
Constant1;7;7;0
Constant4;7;7;0
Constant5;7;7;0
Constant6;7;7;0
Product;7;13;3
Product1;7;12;4
Product2;7;18;4
Product3;7;20;4
Product4;7;23;3
Product5;7;26;4
Product6;7;19;5
Sum11;7;18;7
Sum12;7;10;7
Sum13;7;13;7
Sum7;7;8;7
Sum8;7;7;7
Sum9;7;12;7
Y;7;47;0
Sum1Tree0;7;17;7
Sum1Tree1;7;22;7
Sum1Tree2;7;27;7
Sum1Tree3;7;32;7
Sum1Tree4;7;37;7
Sum1Tree5;7;42;7
Sum10;8;16;8
Constant2;8;8;0
Constant3;8;8;0
X;8;8;0
Constant;8;8;0
Constant1;8;8;0
Constant4;8;8;0
Constant5;8;8;0
Constant6;8;8;0
Product;8;14;3
Product1;8;13;5
Product2;8;19;6
Product3;8;21;4
Product4;8;24;4
Product5;8;27;4
Product6;8;20;5
Sum11;8;19;8
Sum12;8;11;8
Sum13;8;14;8
Sum7;8;9;8
Sum8;8;8;8
Sum9;8;13;8
Y;8;48;0
Sum1Tree0;8;18;8
Sum1Tree1;8;23;8
Sum1Tree2;8;28;8
Sum1Tree3;8;33;8
Sum1Tree4;8;38;8
Sum1Tree5;8;43;8
Sum10;9;17;9
Constant2;9;9;0
Constant3;9;9;0
X;9;9;0
Constant;9;9;0
Constant1;9;9;0
Constant4;9;9;0
Constant5;9;9;0
Constant6;9;9;0
Product;9;15;3
Product1;9;14;5
Product2;9;20;6
Product3;9;22;4
Product4;9;25;5
Product5;9;28;4
Product6;9;21;5
Sum11;9;20;9
Sum12;9;12;9
Sum13;9;15;9
Sum7;9;10;9
Sum8;9;9;9
Sum9;9;14;9
Y;9;49;0
Sum1Tree0;9;19;9
Sum1Tree1;9;24;9
Sum1Tree2;9;29;9
Sum1Tree3;9;34;9
Sum1Tree4;9;39;9
Sum1Tree5;9;44;9
Sum10;10;18;10
Constant2;10;10;0
Constant3;10;10;0
X;10;10;0
Constant;10;10;0
Constant1;10;10;0
Constant4;10;10;0
Constant5;10;10;0
Constant6;10;10;0
Product;10;16;4
Product1;10;15;5
Product2;10;21;6
Product3;10;23;4
Product4;10;26;6
Product5;10;29;5
Product6;10;22;5
Sum11;10;21;10
Sum12;10;13;10
Sum13;10;16;10
Sum7;10;11;10
Sum8;10;10;10
Sum9;10;15;10
Y;10;50;0
Sum1Tree0;10;20;10
Sum1Tree1;10;25;10
Sum1Tree2;10;30;10
Sum1Tree3;10;35;10
Sum1Tree4;10;40;10
Sum1Tree5;10;45;10
Sum10;11;20;11
Constant2;11;12;0
Constant3;11;12;0
X;11;12;0
Constant;11;12;0
Constant1;11;12;0
Constant4;11;12;0
Constant5;11;12;0
Constant6;11;12;0
Product;11;18;5
Product1;11;17;4
Product2;11;23;5
Product3;11;25;6
Product4;11;28;6
Product5;11;31;6
Product6;11;24;5
Sum11;11;23;11
Sum12;11;15;11
Sum13;11;18;11
Sum7;11;13;11
Sum8;11;12;11
Sum9;11;17;11
Y;11;52;0
Sum1Tree0;11;22;11
Sum1Tree1;11;27;11
Sum1Tree2;11;32;11
Sum1Tree3;11;37;11
Sum1Tree4;11;42;11
Sum1Tree5;11;47;11
