# II 1.4
# samples 5
# modulo 7
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//fir_SHI.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//fir_SHI/RM52.xml
# vertex;sample;cycle;fu
Sum10;0;2;0
Constant2;0;1;0
Constant3;0;2;0
X;0;0;0
Constant;0;5;0
Constant1;0;0;0
Constant4;0;8;0
Constant5;0;0;0
Constant6;0;5;0
Product;0;6;0
Product1;0;5;0
Product2;0;11;0
Product3;0;15;0
Product4;0;9;0
Product5;0;17;0
Product6;0;7;0
Sum11;0;1;0
Sum12;0;2;1
Sum13;0;1;1
Sum7;0;1;2
Sum8;0;0;0
Sum9;0;6;0
Y;0;40;0
Sum1Tree0;0;10;0
Sum1Tree1;0;15;3
Sum1Tree2;0;20;1
Sum1Tree3;0;25;0
Sum1Tree4;0;30;2
Sum1Tree5;0;35;1
Sum10;1;3;1
Constant2;1;2;0
Constant3;1;3;0
X;1;1;0
Constant;1;6;0
Constant1;1;1;0
Constant4;1;9;0
Constant5;1;1;0
Constant6;1;6;0
Product;1;7;1
Product1;1;6;1
Product2;1;12;1
Product3;1;16;1
Product4;1;10;1
Product5;1;18;1
Product6;1;8;1
Sum11;1;2;3
Sum12;1;3;2
Sum13;1;2;4
Sum7;1;2;5
Sum8;1;1;4
Sum9;1;7;2
Y;1;41;0
Sum1Tree0;1;11;1
Sum1Tree1;1;16;6
Sum1Tree2;1;21;3
Sum1Tree3;1;26;0
Sum1Tree4;1;31;3
Sum1Tree5;1;36;5
Sum10;2;5;1
Constant2;2;4;0
Constant3;2;5;0
X;2;3;0
Constant;2;8;0
Constant1;2;3;0
Constant4;2;11;0
Constant5;2;3;0
Constant6;2;8;0
Product;2;9;2
Product1;2;8;2
Product2;2;14;2
Product3;2;18;2
Product4;2;12;2
Product5;2;20;2
Product6;2;10;2
Sum11;2;4;2
Sum12;2;5;2
Sum13;2;4;3
Sum7;2;4;4
Sum8;2;3;4
Sum9;2;9;7
Y;2;43;0
Sum1Tree0;2;13;2
Sum1Tree1;2;18;5
Sum1Tree2;2;23;8
Sum1Tree3;2;28;4
Sum1Tree4;2;33;3
Sum1Tree5;2;38;5
Sum10;3;6;3
Constant2;3;5;0
Constant3;3;6;0
X;3;4;0
Constant;3;9;0
Constant1;3;4;0
Constant4;3;12;0
Constant5;3;4;0
Constant6;3;9;0
Product;3;10;3
Product1;3;9;3
Product2;3;15;3
Product3;3;19;3
Product4;3;13;3
Product5;3;21;3
Product6;3;11;3
Sum11;3;5;4
Sum12;3;6;4
Sum13;3;5;5
Sum7;3;5;6
Sum8;3;4;6
Sum9;3;10;6
Y;3;44;0
Sum1Tree0;3;14;5
Sum1Tree1;3;19;7
Sum1Tree2;3;24;7
Sum1Tree3;3;29;6
Sum1Tree4;3;34;5
Sum1Tree5;3;39;7
Sum10;4;8;7
Constant2;4;7;0
Constant3;4;8;0
X;4;6;0
Constant;4;11;0
Constant1;4;6;0
Constant4;4;14;0
Constant5;4;6;0
Constant6;4;11;0
Product;4;12;4
Product1;4;11;4
Product2;4;17;4
Product3;4;21;4
Product4;4;15;4
Product5;4;23;4
Product6;4;13;4
Sum11;4;7;6
Sum12;4;8;8
Sum13;4;7;7
Sum7;4;7;8
Sum8;4;6;6
Sum9;4;12;8
Y;4;46;0
Sum1Tree0;4;16;9
Sum1Tree1;4;21;9
Sum1Tree2;4;26;9
Sum1Tree3;4;31;8
Sum1Tree4;4;36;9
Sum1Tree5;4;41;7
