# II 1.5
# samples 2
# modulo 3
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//fir_hilb.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//fir_hilb/RM3.xml
# vertex;sample;cycle;fu
Subtract;0;3;0
Constant2;0;2;0
Product;0;10;0
Product1;0;5;0
In_x;0;1;0
Constant;0;2;0
Constant1;0;2;0
Product2;0;5;1
Subtract1;0;0;1
Subtract2;0;0;2
Out_x;0;20;0
Out_y;0;19;0
Add2Tree0;0;9;0
Add2Tree1;0;14;0
Subtract;1;2;0
Constant2;1;1;0
Product;1;10;1
Product1;1;6;0
In_x;1;0;0
Constant;1;1;0
Constant1;1;1;0
Product2;1;6;1
Subtract1;1;1;0
Subtract2;1;1;1
Out_x;1;18;0
Out_y;1;20;0
Add2Tree0;1;10;0
Add2Tree1;1;15;1
