minII;II;Lat;Status;Min;Timeouts
21.3333;21.3333;200;OPTIMAL;0.374;0
21.3333;21.3333;200;OPTIMAL;0.4035;0
21.3333;21.3333;200;OPTIMAL;1.63567;0
21.3333;21.3333;200;OPTIMAL;0.431667;0
21.3333;21.3333;201;OPTIMAL;1.81783;0
21.3333;21.3333;200;OPTIMAL;0.359667;0
21.3333;21.3333;201;OPTIMAL;3.32067;0
21.3333;21.3333;200;OPTIMAL;0.649833;0
21.3333;21.3333;200;OPTIMAL;1.5845;0
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99233;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;5.00083;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.998;1
21.3333;21.3333;201;OPTIMAL;4.57417;0
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99917;1
21.3333;21.3333;200;OPTIMAL;0.472;0
21.3333;21.3333;200;OPTIMAL;0.498833;0
21.3333;21.3333;201;OPTIMAL;3.566;0
21.3333;-1;-1;TIMEOUT_INFEASIBLE;5.001;1
21.3333;21.3333;200;OPTIMAL;0.464;0
21.3333;21.3333;200;OPTIMAL;0.552833;0
21.3333;21.3333;200;OPTIMAL;0.4015;0
21.3333;21.3333;200;OPTIMAL;0.477333;0
21.3333;21.3333;201;OPTIMAL;4.92833;0
21.3333;21.3333;200;OPTIMAL;0.4255;0
21.3333;21.3333;200;OPTIMAL;0.506667;0
21.3333;21.3333;200;OPTIMAL;0.5915;0
21.3333;21.3333;200;OPTIMAL;0.497;0
21.3333;21.3333;200;OPTIMAL;0.4715;0
21.3333;21.3333;200;OPTIMAL;0.305;0
21.3333;21.3333;201;OPTIMAL;2.596;0
21.3333;21.3333;200;OPTIMAL;0.477333;0
21.3333;21.3333;200;OPTIMAL;2.26917;0
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99717;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.992;1
21.3333;21.3333;200;OPTIMAL;2.06117;0
21.3333;21.3333;200;OPTIMAL;0.421167;0
21.3333;21.3333;201;OPTIMAL;4.08267;0
21.3333;21.3333;200;OPTIMAL;0.565667;0
21.3333;21.3333;201;OPTIMAL;3.93517;0
21.3333;-1;-1;TIMEOUT_INFEASIBLE;5.001;1
