minII;II;Lat;Status;Min;Timeouts
21.3333;21.3333;1076;UNKNOWN;0.0278333;0
21.3333;21.3333;1068;UNKNOWN;0.0226667;0
21.3333;21.3333;1057;UNKNOWN;0.023;0
21.3333;21.3333;1066;UNKNOWN;0.0215;0
21.3333;21.3333;1070;UNKNOWN;0.0245;0
21.3333;21.3333;1005;UNKNOWN;0.0596667;0
21.3333;21.3333;1071;UNKNOWN;0.0235;0
21.3333;21.3333;1076;UNKNOWN;0.0275;0
21.3333;21.3333;1071;UNKNOWN;0.0226667;0
21.3333;21.3333;1000;UNKNOWN;0.0303333;0
21.3333;21.3333;1203;UNKNOWN;0.022;0
21.3333;21.3333;1080;UNKNOWN;0.0235;0
21.3333;21.3333;1070;UNKNOWN;0.0246667;0
21.3333;21.3333;1199;UNKNOWN;0.0248333;0
21.3333;21.3333;1001;UNKNOWN;0.023;0
21.3333;21.3333;1003;UNKNOWN;0.753167;0
21.3333;21.3333;1064;UNKNOWN;0.025;0
21.3333;21.3333;1061;UNKNOWN;0.0666667;0
21.3333;21.3333;1064;UNKNOWN;0.0223333;0
21.3333;21.3333;1079;UNKNOWN;0.065;0
21.3333;21.3333;1070;UNKNOWN;0.918;0
21.3333;21.3333;1082;UNKNOWN;1.05583;0
21.3333;21.3333;1080;UNKNOWN;0.0233333;0
21.3333;21.3333;1075;UNKNOWN;0.0248333;0
21.3333;21.3333;1070;UNKNOWN;0.905667;0
21.3333;21.3333;1131;UNKNOWN;0.0215;0
21.3333;21.3333;948;UNKNOWN;0.0231667;0
21.3333;21.3333;1070;UNKNOWN;0.916167;0
21.3333;21.3333;1143;UNKNOWN;0.0235;0
21.3333;21.3333;1075;UNKNOWN;0.0246667;0
21.3333;21.3333;1138;UNKNOWN;0.0735;0
21.3333;21.3333;829;UNKNOWN;0.0706667;0
21.3333;-1;-1;UNKNOWN;4.973;1
21.3333;21.3333;1134;UNKNOWN;0.026;0
21.3333;21.3333;1073;UNKNOWN;0.024;0
21.3333;21.3333;1011;UNKNOWN;0.0243333;0
21.3333;21.3333;1083;UNKNOWN;0.0235;0
21.3333;21.3333;1079;UNKNOWN;0.0228333;0
21.3333;21.3333;1004;UNKNOWN;0.0238333;0
21.3333;21.3333;1013;UNKNOWN;0.923833;0
21.3333;21.3333;1065;UNKNOWN;0.0246667;0
21.3333;21.3333;1070;UNKNOWN;0.0235;0
21.3333;21.3333;1019;UNKNOWN;0.0243333;0
21.3333;21.3333;1062;UNKNOWN;0.0248333;0
21.3333;21.3333;1068;UNKNOWN;0.022;0
21.3333;21.3333;997;UNKNOWN;0.0693333;0
21.3333;21.3333;1065;UNKNOWN;0.0216667;0
21.3333;21.3333;1079;UNKNOWN;0.959167;0
21.3333;21.3333;1011;UNKNOWN;0.0276667;0
21.3333;21.3333;1199;UNKNOWN;0.0246667;0
21.3333;21.3333;1078;UNKNOWN;0.024;0
21.3333;21.3333;1063;UNKNOWN;0.024;0
21.3333;21.3333;1130;UNKNOWN;0.0228333;0
21.3333;21.3333;1130;UNKNOWN;0.023;0
21.3333;21.3333;1060;UNKNOWN;0.025;0
21.3333;21.3333;1063;UNKNOWN;0.0241667;0
21.3333;21.3333;1070;UNKNOWN;0.908833;0
21.3333;21.3333;1130;UNKNOWN;0.919667;0
21.3333;21.3333;1062;UNKNOWN;0.0243333;0
21.3333;21.3333;1076;UNKNOWN;0.0278333;0
21.3333;21.3333;1123;UNKNOWN;0.0221667;0
21.3333;21.3333;1011;UNKNOWN;0.0245;0
21.3333;21.3333;940;UNKNOWN;0.0268333;0
21.3333;21.3333;1009;UNKNOWN;0.0225;0
21.3333;21.3333;943;UNKNOWN;0.0695;0
21.3333;21.3333;1063;UNKNOWN;0.0243333;0
21.3333;21.3333;1073;UNKNOWN;0.0238333;0
21.3333;21.3333;1068;UNKNOWN;0.022;0
21.3333;21.3333;1069;UNKNOWN;0.0233333;0
21.3333;21.3333;958;UNKNOWN;0.0705;0
21.3333;21.3333;1134;UNKNOWN;0.025;0
21.3333;21.3333;1189;UNKNOWN;0.0218333;0
21.3333;21.3333;1143;UNKNOWN;0.0235;0
21.3333;21.3333;1070;UNKNOWN;0.0256667;0
21.3333;21.3333;1130;UNKNOWN;0.0228333;0
21.3333;21.3333;1133;UNKNOWN;0.0256667;0
21.3333;21.3333;1070;UNKNOWN;0.896833;0
21.3333;21.3333;1007;UNKNOWN;0.0238333;0
21.3333;21.3333;1203;UNKNOWN;0.0231667;0
21.3333;21.3333;1000;UNKNOWN;0.0211667;0
21.3333;21.3333;1065;UNKNOWN;0.9195;0
21.3333;21.3333;1083;UNKNOWN;0.0235;0
21.3333;21.3333;1064;UNKNOWN;0.023;0
21.3333;21.3333;1080;UNKNOWN;0.0231667;0
21.3333;21.3333;1143;UNKNOWN;0.0233333;0
21.3333;21.3333;1017;UNKNOWN;1.02767;0
21.3333;21.3333;1139;UNKNOWN;0.022;0
21.3333;21.3333;1134;UNKNOWN;0.0226667;0
21.3333;21.3333;958;UNKNOWN;0.0715;0
21.3333;21.3333;948;UNKNOWN;1.12033;0
21.3333;21.3333;1017;UNKNOWN;0.993167;0
21.3333;21.3333;1073;UNKNOWN;0.024;0
21.3333;21.3333;1070;UNKNOWN;0.0228333;0
21.3333;21.3333;1066;UNKNOWN;0.0215;0
21.3333;21.3333;1002;UNKNOWN;0.0223333;0
21.3333;21.3333;1075;UNKNOWN;0.0246667;0
21.3333;21.3333;1067;UNKNOWN;0.946833;0
21.3333;21.3333;953;UNKNOWN;0.0655;0
21.3333;21.3333;946;UNKNOWN;0.0633333;0
21.3333;21.3333;948;UNKNOWN;1.12567;0
21.3333;21.3333;1133;UNKNOWN;0.0256667;0
21.3333;21.3333;1081;UNKNOWN;0.071;0
21.3333;21.3333;1071;UNKNOWN;0.0225;0
21.3333;21.3333;1062;UNKNOWN;0.0243333;0
21.3333;21.3333;1003;UNKNOWN;0.0228333;0
21.3333;21.3333;1008;UNKNOWN;0.893;0
21.3333;21.3333;1007;UNKNOWN;0.0238333;0
21.3333;21.3333;1066;UNKNOWN;0.0216667;0
21.3333;21.3333;1199;UNKNOWN;0.0246667;0
21.3333;21.3333;1264;UNKNOWN;0.0725;0
21.3333;21.3333;1071;UNKNOWN;0.938833;0
21.3333;21.3333;1075;UNKNOWN;0.0265;0
21.3333;21.3333;1097;UNKNOWN;0.953333;0
21.3333;21.3333;948;UNKNOWN;1.12083;0
21.3333;21.3333;1203;UNKNOWN;0.0223333;0
21.3333;21.3333;1008;UNKNOWN;0.0216667;0
21.3333;21.3333;1194;UNKNOWN;0.066;0
21.3333;21.3333;1133;UNKNOWN;0.0255;0
21.3333;21.3333;1010;UNKNOWN;0.9835;0
21.3333;21.3333;1128;UNKNOWN;0.965667;0
21.3333;21.3333;1066;UNKNOWN;0.0215;0
21.3333;21.3333;1128;UNKNOWN;0.0626667;0
21.3333;21.3333;958;UNKNOWN;0.0701667;0
