# II 21.3333
# samples 3
# modulo 64
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//iir_sos16.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//iir_sos16/RM79.xml
# vertex;sample;cycle;fu
Product11;0;196;0
Product12;0;231;0
Product13;0;229;0
In2;0;0;0
Product;0;46;0
Product1;0;29;0
Product10;0;199;0
Product14;0;264;0
Product15;0;265;0
Product16;0;318;0
Product17;0;325;0
Product18;0;468;0
Product19;0;460;0
Product2;0;67;0
Product20;0;505;0
Product21;0;503;0
Product22;0;525;0
Product23;0;526;0
Product24;0;339;0
Product25;0;330;0
Product26;0;379;0
Product27;0;362;0
Product28;0;400;0
Product29;0;395;0
Product3;0;65;0
Product30;0;447;0
Product31;0;445;0
Product32;0;568;0
Product33;0;557;0
Product34;0;726;0
Product35;0;727;0
Product36;0;762;0
Product37;0;742;0
Product38;0;792;0
Product39;0;793;0
Product4;0;112;0
Product40;0;822;0
Product41;0;802;0
Product42;0;991;0
Product43;0;992;0
Product44;0;591;0
Product45;0;1020;0
Product46;0;1024;0
Product47;0;1059;0
Product48;0;1060;0
Product49;0;858;0
Product5;0;114;0
Product50;0;859;0
Product51;0;881;0
Product52;0;875;0
Product7;0;130;0
Product53;0;924;0
Product54;0;926;0
Product55;0;593;0
Product56;0;947;0
Product57;0;937;0
Product58;0;629;0
Product59;0;620;0
Product6;0;134;0
Product60;0;661;0
Product61;0;658;0
Product62;0;692;0
Product63;0;680;0
Sum20;0;477;0
Product8;0;175;0
Product9;0;161;0
Sum1;0;128;0
Sum10;0;191;0
Sum11;0;186;0
Sum12;0;208;0
Sum13;0;203;0
Sum14;0;238;0
Sum15;0;274;0
Sum16;0;269;0
Sum17;0;395;1
Sum18;0;463;0
Sum19;0;458;0
Sum2;0;62;0
Sum38;0;766;1
Sum21;0;472;0
Sum22;0;511;1
Sum23;0;535;0
Sum24;0;530;1
Sum25;0;334;0
Sum26;0;329;0
Sum27;0;348;0
Sum28;0;343;1
Sum29;0;383;2
Sum3;0;56;0
Sum30;0;409;0
Sum31;0;404;0
Sum32;0;517;0
Sum33;0;645;1
Sum34;0;708;0
Sum35;0;703;3
Sum36;0;736;0
Sum37;0;731;0
Sum6;0;119;0
Sum39;0;802;0
Sum4;0;76;0
Sum40;0;797;1
Sum41;0;896;1
Sum42;0;963;0
Sum43;0;958;2
Sum44;0;584;0
Sum45;0;1001;0
Sum46;0;996;0
Sum47;0;1031;0
Sum48;0;1069;0
Sum49;0;1064;0
Sum5;0;71;1
Sum50;0;838;0
Sum51;0;831;4
Sum52;0;868;1
Sum53;0;863;0
Sum54;0;890;1
Sum55;0;575;5
Sum56;0;935;0
Sum57;0;930;1
Sum58;0;1036;1
Sum59;0;602;0
b13;0;0;0
b14;0;0;0
Sum60;0;597;0
Sum61;0;638;3
Sum62;0;670;0
Sum63;0;665;1
Sum64;0;775;2
Sum7;0;143;1
Sum8;0;138;1
Sum9;0;247;1
a;0;0;0
a1;0;0;0
a10;0;0;0
a11;0;0;0
a12;0;0;0
a13;0;0;0
a14;0;0;0
a15;0;0;0
a2;0;0;0
a3;0;0;0
a4;0;0;0
a5;0;0;0
a6;0;0;0
a7;0;0;0
a8;0;0;0
a9;0;0;0
b;0;0;0
b1;0;0;0
b10;0;0;0
b11;0;0;0
b12;0;0;0
d4;0;0;0
d5;0;0;0
b15;0;0;0
b2;0;0;0
b3;0;0;0
b4;0;0;0
b5;0;0;0
b6;0;0;0
b7;0;0;0
b8;0;0;0
b9;0;0;0
c;0;0;0
c1;0;0;0
c10;0;0;0
c11;0;0;0
c12;0;0;0
c13;0;0;0
c14;0;0;0
c15;0;0;0
c2;0;0;0
c3;0;0;0
c4;0;0;0
c5;0;0;0
c6;0;0;0
c7;0;0;0
c8;0;0;0
c9;0;0;0
d;0;0;0
d1;0;0;0
d10;0;0;0
d11;0;0;0
d12;0;0;0
d13;0;0;0
d14;0;0;0
d15;0;0;0
d2;0;0;0
d3;0;0;0
d6;0;0;0
d7;0;0;0
d8;0;0;0
d9;0;0;0
Out2;0;1074;0
Product11;1;217;1
Product12;1;252;1
Product13;1;250;1
In2;1;21;0
Product;1;67;1
Product1;1;50;1
Product10;1;220;1
Product14;1;285;1
Product15;1;286;1
Product16;1;339;1
Product17;1;346;1
Product18;1;489;1
Product19;1;481;1
Product2;1;88;1
Product20;1;526;1
Product21;1;524;1
Product22;1;546;1
Product23;1;547;1
Product24;1;360;1
Product25;1;351;1
Product26;1;400;1
Product27;1;383;1
Product28;1;421;1
Product29;1;416;1
Product3;1;86;1
Product30;1;468;1
Product31;1;466;1
Product32;1;589;1
Product33;1;578;1
Product34;1;747;1
Product35;1;748;1
Product36;1;783;1
Product37;1;763;1
Product38;1;813;1
Product39;1;814;1
Product4;1;133;1
Product40;1;843;1
Product41;1;823;1
Product42;1;1012;1
Product43;1;1013;1
Product44;1;612;1
Product45;1;1041;1
Product46;1;1045;1
Product47;1;1080;1
Product48;1;1081;1
Product49;1;879;1
Product5;1;135;1
Product50;1;880;1
Product51;1;902;1
Product52;1;896;1
Product7;1;151;1
Product53;1;945;1
Product54;1;947;1
Product55;1;614;1
Product56;1;968;1
Product57;1;958;1
Product58;1;650;1
Product59;1;641;1
Product6;1;155;1
Product60;1;682;1
Product61;1;679;1
Product62;1;713;1
Product63;1;701;1
Sum20;1;498;0
Product8;1;196;1
Product9;1;182;1
Sum1;1;149;1
Sum10;1;212;1
Sum11;1;207;2
Sum12;1;229;0
Sum13;1;224;1
Sum14;1;259;1
Sum15;1;295;1
Sum16;1;290;2
Sum17;1;416;2
Sum18;1;484;2
Sum19;1;479;1
Sum2;1;83;0
Sum38;1;787;1
Sum21;1;493;1
Sum22;1;532;2
Sum23;1;556;0
Sum24;1;551;2
Sum25;1;355;0
Sum26;1;350;1
Sum27;1;369;0
Sum28;1;364;1
Sum29;1;404;3
Sum3;1;77;1
Sum30;1;430;1
Sum31;1;425;1
Sum32;1;538;1
Sum33;1;666;2
Sum34;1;729;2
Sum35;1;724;4
Sum36;1;757;0
Sum37;1;752;0
Sum6;1;140;2
Sum39;1;823;2
Sum4;1;97;0
Sum40;1;818;1
Sum41;1;917;2
Sum42;1;984;1
Sum43;1;979;2
Sum44;1;605;2
Sum45;1;1022;4
Sum46;1;1017;0
Sum47;1;1052;1
Sum48;1;1090;0
Sum49;1;1085;0
Sum5;1;92;2
Sum50;1;859;1
Sum51;1;852;5
Sum52;1;889;1
Sum53;1;884;0
Sum54;1;911;3
Sum55;1;596;6
Sum56;1;956;0
Sum57;1;951;3
Sum58;1;1057;1
Sum59;1;623;0
b13;1;21;0
b14;1;21;0
Sum60;1;618;0
Sum61;1;659;3
Sum62;1;691;0
Sum63;1;686;2
Sum64;1;796;3
Sum7;1;164;3
Sum8;1;159;2
Sum9;1;268;3
a;1;21;0
