minII;II;Lat;Status;Min;Timeouts
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.98933;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.974;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;5.00133;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.975;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99767;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.995;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;5.00133;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99283;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;5.0015;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99533;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.9905;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99183;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;5.00017;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.96533;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99867;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;5.00167;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.9925;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99467;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99883;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.9905;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;5.00133;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99917;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99133;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.998;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;5.0015;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;5.00017;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99133;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.99983;1
21.3333;-1;-1;TIMEOUT_INFEASIBLE;5.00117;1
