minII;II;Lat;Status;Min;Timeouts
21.3333;21.3333;172;OPTIMAL;0.776667;0
21.3333;21.3333;172;OPTIMAL;1.492;0
21.3333;21.3333;172;OPTIMAL;1.07933;0
21.3333;21.3333;172;OPTIMAL;0.6065;0
21.3333;21.3333;172;OPTIMAL;0.643167;0
21.3333;21.3333;172;OPTIMAL;1.03133;0
21.3333;21.3333;172;OPTIMAL;0.629667;0
21.3333;21.3333;172;OPTIMAL;0.994;0
21.3333;21.3333;172;OPTIMAL;1.19617;0
21.3333;21.3333;172;OPTIMAL;1.72933;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.99833;0
21.3333;21.3333;172;OPTIMAL;2.25833;0
21.3333;21.3333;172;OPTIMAL;1.94317;0
21.3333;21.3333;189;TIMEOUT_FEASIBLE;4.9915;0
21.3333;21.3333;172;OPTIMAL;0.9875;0
21.3333;21.3333;172;OPTIMAL;1.16717;0
21.3333;21.3333;172;OPTIMAL;1.42433;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;5.00167;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;5.00017;0
21.3333;21.3333;186;TIMEOUT_FEASIBLE;5.00017;0
21.3333;21.3333;172;OPTIMAL;2.75517;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;4.9905;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;4.98733;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.99967;0
21.3333;21.3333;172;OPTIMAL;1.2055;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.9995;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;4.9755;0
21.3333;21.3333;172;OPTIMAL;1.09317;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;4.99717;0
21.3333;21.3333;172;OPTIMAL;1.211;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;4.9935;0
21.3333;21.3333;172;OPTIMAL;1.07583;0
21.3333;-1;-1;TIMEOUT_INFEASIBLE;4.9995;1
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.99183;0
21.3333;21.3333;186;TIMEOUT_FEASIBLE;4.99083;0
21.3333;21.3333;172;OPTIMAL;0.756833;0
21.3333;21.3333;172;OPTIMAL;1.8015;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;4.9965;0
21.3333;21.3333;172;OPTIMAL;0.931667;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.993;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.99667;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;4.991;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.99583;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.99567;0
21.3333;21.3333;172;OPTIMAL;3.76;0
21.3333;21.3333;172;OPTIMAL;1.27083;0
21.3333;21.3333;172;OPTIMAL;1.022;0
21.3333;21.3333;172;OPTIMAL;1.54517;0
21.3333;21.3333;172;OPTIMAL;1.07317;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.99467;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.9995;0
21.3333;21.3333;172;OPTIMAL;1.85033;0
21.3333;21.3333;172;OPTIMAL;1.05233;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.98083;0
21.3333;21.3333;184;TIMEOUT_FEASIBLE;4.98217;0
21.3333;21.3333;172;OPTIMAL;1.12317;0
21.3333;21.3333;172;OPTIMAL;3.412;0
21.3333;21.3333;172;OPTIMAL;2.7205;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.99733;0
21.3333;21.3333;172;OPTIMAL;0.318833;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.99617;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.9965;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.99717;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.9985;0
21.3333;21.3333;172;OPTIMAL;0.841667;0
21.3333;21.3333;182;OPTIMAL;2.29583;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.99833;0
21.3333;21.3333;187;TIMEOUT_FEASIBLE;4.99867;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.9965;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.99783;0
21.3333;21.3333;172;OPTIMAL;3.1585;0
21.3333;21.3333;172;OPTIMAL;1.33117;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.99967;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.99917;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.994;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.99933;0
21.3333;21.3333;172;OPTIMAL;1.07267;0
21.3333;21.3333;172;OPTIMAL;1.31967;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.99583;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.9965;0
21.3333;21.3333;172;OPTIMAL;1.88917;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.999;0
21.3333;21.3333;185;TIMEOUT_FEASIBLE;4.995;0
21.3333;21.3333;172;OPTIMAL;0.794;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;4.99367;0
21.3333;21.3333;186;TIMEOUT_FEASIBLE;4.99783;0
21.3333;21.3333;172;OPTIMAL;2.899;0
21.3333;21.3333;172;OPTIMAL;0.873167;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;5.00117;0
21.3333;21.3333;172;OPTIMAL;1.437;0
21.3333;21.3333;182;OPTIMAL;3.4805;0
21.3333;21.3333;172;OPTIMAL;0.752;0
21.3333;21.3333;172;OPTIMAL;0.9195;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;4.98917;0
21.3333;21.3333;172;OPTIMAL;1.49817;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;4.99867;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.99667;0
21.3333;21.3333;172;OPTIMAL;1.80117;0
21.3333;21.3333;172;OPTIMAL;1.86333;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.9995;0
21.3333;21.3333;172;OPTIMAL;1.314;0
21.3333;21.3333;172;OPTIMAL;0.991333;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.998;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;5.00083;0
21.3333;21.3333;172;OPTIMAL;1.00783;0
21.3333;21.3333;172;OPTIMAL;2.16;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;4.99767;0
21.3333;21.3333;182;TIMEOUT_FEASIBLE;4.99583;0
21.3333;21.3333;172;OPTIMAL;1.55283;0
21.3333;21.3333;183;TIMEOUT_FEASIBLE;4.998;0
