# II 21.3333
# samples 3
# modulo 64
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//iir_sos16.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//iir_sos16/RM44.xml
# vertex;sample;cycle;fu
Product11;0;1;0
Product12;0;29;0
Product13;0;8;0
In2;0;0;0
Product;0;1;1
Product1;0;1;2
Product10;0;31;0
Product14;0;40;0
Product15;0;36;0
Product16;0;39;0
Product17;0;41;0
Product18;0;59;0
Product19;0;55;0
Product2;0;1;3
Product20;0;72;1
Product21;0;62;0
Product22;0;69;0
Product23;0;61;0
Product24;0;39;1
Product25;0;21;0
Product26;0;49;0
Product27;0;51;0
Product28;0;49;1
Product29;0;57;0
Product3;0;1;4
Product30;0;59;1
Product31;0;53;0
Product32;0;79;0
Product33;0;63;0
Product34;0;105;1
Product35;0;107;0
Product36;0;115;1
Product37;0;94;0
Product38;0;115;2
Product39;0;117;1
Product4;0;5;1
Product40;0;125;1
Product41;0;126;1
Product42;0;154;0
Product43;0;127;1
Product44;0;79;1
Product45;0;155;0
Product46;0;134;0
Product47;0;156;0
Product48;0;134;1
Product49;0;127;2
Product5;0;1;5
Product50;0;107;1
Product51;0;135;0
Product52;0;114;0
Product7;0;18;0
Product53;0;135;1
Product54;0;131;0
Product55;0;87;0
Product56;0;145;0
Product57;0;127;3
Product58;0;94;1
Product59;0;74;0
Product6;0;4;0
Product60;0;94;2
Product61;0;96;0
Product62;0;111;0
Product63;0;87;1
Sum20;0;80;0
Product8;0;18;1
Product9;0;1;6
Sum1;0;20;0
Sum10;0;34;0
Sum11;0;29;0
Sum12;0;40;0
Sum13;0;35;0
Sum14;0;39;0
Sum15;0;50;0
Sum16;0;44;0
Sum17;0;65;0
Sum18;0;75;0
Sum19;0;64;0
Sum2;0;10;0
Sum38;0;123;0
Sum21;0;63;0
Sum22;0;78;0
Sum23;0;90;0
Sum24;0;83;0
Sum25;0;55;0
Sum26;0;49;0
Sum27;0;60;0
Sum28;0;53;0
Sum29;0;56;0
Sum3;0;5;0
Sum30;0;70;0
Sum31;0;61;0
Sum32;0;85;0
Sum33;0;110;0
Sum34;0;121;0
Sum35;0;115;0
Sum36;0;126;0
Sum37;0;118;0
Sum6;0;9;0
Sum39;0;136;0
Sum4;0;15;0
Sum40;0;122;0
Sum41;0;151;0
Sum42;0;161;0
Sum43;0;153;0
Sum44;0;95;0
Sum45;0;166;0
Sum46;0;160;0
Sum47;0;165;0
Sum48;0;176;0
Sum49;0;170;0
Sum5;0;7;0
Sum50;0;141;0
Sum51;0;130;0
Sum52;0;146;0
Sum53;0;132;0
Sum54;0;140;0
Sum55;0;88;0
Sum56;0;156;0
Sum57;0;145;0
Sum58;0;171;0
Sum59;0;100;0
b13;0;0;0
b14;0;0;0
Sum60;0;94;0
Sum61;0;105;0
Sum62;0;116;0
Sum63;0;111;0
Sum64;0;131;0
Sum7;0;27;0
Sum8;0;22;0
Sum9;0;45;0
a;0;0;0
a1;0;0;0
a10;0;0;0
a11;0;0;0
a12;0;0;0
a13;0;0;0
a14;0;0;0
a15;0;0;0
a2;0;0;0
a3;0;0;0
a4;0;0;0
a5;0;0;0
a6;0;0;0
a7;0;63;0
a8;0;0;0
a9;0;0;0
b;0;0;0
b1;0;0;0
b10;0;0;0
b11;0;16;0
b12;0;0;0
d4;0;0;0
d5;0;0;0
b15;0;0;0
b2;0;0;0
b3;0;0;0
b4;0;0;0
b5;0;0;0
b6;0;0;0
b7;0;0;0
b8;0;0;0
b9;0;0;0
c;0;0;0
c1;0;0;0
c10;0;0;0
c11;0;83;0
c12;0;121;0
c13;0;0;0
c14;0;0;0
c15;0;0;0
c2;0;0;0
c3;0;0;0
c4;0;0;0
c5;0;0;0
c6;0;0;0
c7;0;0;0
c8;0;53;0
c9;0;0;0
d;0;0;0
d1;0;15;0
d10;0;39;0
d11;0;116;0
d12;0;0;0
d13;0;0;0
d14;0;0;0
d15;0;0;0
d2;0;0;0
d3;0;0;0
d6;0;0;0
d7;0;0;0
d8;0;0;0
d9;0;0;0
Out2;0;181;0
Product11;1;22;0
Product12;1;50;1
Product13;1;29;1
In2;1;21;0
Product;1;22;1
Product1;1;22;2
Product10;1;52;0
Product14;1;61;2
Product15;1;57;1
Product16;1;60;0
Product17;1;62;2
Product18;1;80;0
Product19;1;76;0
