# II 21.3333
# samples 3
# modulo 64
# graph /home/nfiege/Repositories/hatschet/benchmarks/origami//iir_sos16.graphml
# resourceModel /home/nfiege/Repositories/experiments/trunk/rm/origami//iir_sos16/RM46.xml
# vertex;sample;cycle;fu
Product11;0;2;0
Product12;0;29;0
Product13;0;8;0
In2;0;0;0
Product;0;1;0
Product1;0;1;1
Product10;0;19;0
Product14;0;32;0
Product15;0;10;0
Product16;0;39;0
Product17;0;18;0
Product18;0;60;0
Product19;0;39;1
Product2;0;1;2
Product20;0;69;0
Product21;0;51;0
Product22;0;72;1
Product23;0;64;0
Product24;0;41;0
Product25;0;49;0
Product26;0;52;0
Product27;0;29;1
Product28;0;50;0
Product29;0;30;0
Product3;0;1;3
Product30;0;59;0
Product31;0;40;0
Product32;0;82;1
Product33;0;64;1
Product34;0;105;1
Product35;0;109;0
Product36;0;116;1
Product37;0;94;1
Product38;0;121;0
Product39;0;117;0
Product4;0;11;0
Product40;0;126;0
Product41;0;121;1
Product42;0;145;0
Product43;0;128;2
Product44;0;82;2
Product45;0;155;0
Product46;0;136;2
Product47;0;155;1
Product48;0;134;0
Product49;0;128;3
Product5;0;1;4
Product50;0;128;4
Product51;0;135;0
Product52;0;141;0
Product53;0;137;0
Product54;0;127;0
Product55;0;74;1
Product56;0;145;1
Product57;0;128;5
Product58;0;95;0
Product59;0;74;2
Product6;0;8;3
Product60;0;99;0
Product61;0;89;0
Product62;0;106;0
Product63;0;85;0
Sum20;0;80;0
Product7;0;1;5
Product8;0;19;1
Product9;0;1;6
Sum1;0;24;0
Sum10;0;35;0
Sum11;0;30;0
Sum12;0;40;0
Sum13;0;32;0
Sum14;0;36;0
Sum15;0;50;0
Sum16;0;44;0
Sum17;0;65;0
Sum18;0;75;0
Sum19;0;63;0
Sum2;0;10;0
Sum38;0;122;0
Sum21;0;64;0
Sum22;0;73;0
Sum23;0;91;0
Sum24;0;84;0
Sum25;0;55;0
Sum26;0;49;0
Sum27;0;60;0
Sum28;0;53;0
Sum29;0;59;0
Sum3;0;5;0
Sum30;0;70;0
Sum31;0;54;0
Sum32;0;85;0
Sum33;0;111;0
Sum34;0;121;0
Sum35;0;115;0
Sum36;0;126;0
Sum37;0;120;0
Sum6;0;15;0
Sum39;0;136;0
Sum4;0;19;0
Sum40;0;125;0
Sum41;0;151;0
Sum42;0;161;0
Sum43;0;153;0
Sum44;0;98;0
Sum45;0;166;0
Sum46;0;159;0
Sum47;0;165;0
Sum48;0;176;0
Sum49;0;169;0
Sum5;0;7;0
Sum50;0;141;0
Sum51;0;130;0
Sum52;0;146;0
Sum53;0;132;0
Sum54;0;145;0
Sum55;0;86;0
Sum56;0;156;0
Sum57;0;142;0
Sum58;0;171;0
Sum59;0;103;0
b13;0;0;0
b14;0;0;0
Sum60;0;90;0
Sum61;0;106;0
Sum62;0;116;0
Sum63;0;110;0
Sum64;0;131;0
Sum7;0;29;0
Sum8;0;12;0
Sum9;0;45;0
a;0;0;0
a1;0;0;0
a10;0;0;0
a11;0;0;0
a12;0;0;0
a13;0;0;0
a14;0;0;0
a15;0;0;0
a2;0;0;0
a3;0;0;0
a4;0;0;0
a5;0;0;0
a6;0;0;0
a7;0;0;0
a8;0;0;0
a9;0;0;0
b;0;0;0
b1;0;0;0
b10;0;0;0
b11;0;0;0
b12;0;0;0
d4;0;0;0
