minII;II;Lat;Status;Min;Timeouts
1.70192;2;126;OPTIMAL;0.0005;0
1.68966;2;126;OPTIMAL;0.000666667;0
1.68571;2;126;OPTIMAL;0.000833333;0
1.66981;2;126;OPTIMAL;0.0005;0
1.65421;2;126;OPTIMAL;0.000833333;0
1.63889;2;126;OPTIMAL;0.0005;0
1.63333;2;126;OPTIMAL;0.000666667;0
1.625;2;126;OPTIMAL;0.0005;0
1.62385;2;126;OPTIMAL;0.0005;0
1.60909;2;126;OPTIMAL;0.000833333;0
7.08;8;126;OPTIMAL;0.0035;0
1.59459;2;126;OPTIMAL;0.000666667;0
1.58065;2;126;OPTIMAL;0.0005;0
1.58036;2;126;OPTIMAL;0.0005;0
1.56637;2;126;OPTIMAL;0.000833333;0
1.55263;2;126;OPTIMAL;0.0005;0
1.53913;2;126;OPTIMAL;0.0005;0
1.53125;2;126;OPTIMAL;0.000666667;0
1.52586;2;126;OPTIMAL;0.000666667;0
1.51282;2;126;OPTIMAL;0.0005;0
1.5;2;126;OPTIMAL;0.0005;0
6.55556;7;126;OPTIMAL;0.00333333;0
1.48739;2;126;OPTIMAL;0.0005;0
1.48485;2;126;OPTIMAL;0.0005;0
1.475;2;126;OPTIMAL;0.000666667;0
1.46281;2;126;OPTIMAL;0.000666667;0
1.45082;2;126;OPTIMAL;0.0005;0
1.44444;2;126;OPTIMAL;0.0005;0
1.44118;2;126;OPTIMAL;0.0005;0
1.43902;2;126;OPTIMAL;0.0005;0
1.42742;2;126;OPTIMAL;0.000666667;0
1.416;2;126;OPTIMAL;0.000666667;0
6.5;7;126;OPTIMAL;0.00283333;0
1.40476;2;126;OPTIMAL;0.000666667;0
1.4;2;126;OPTIMAL;0.000666667;0
1.3937;2;126;OPTIMAL;0.000666667;0
1.38281;2;126;OPTIMAL;0.0005;0
1.37209;2;126;OPTIMAL;0.0005;0
1.36154;2;126;OPTIMAL;0.0005;0
1.36111;2;126;OPTIMAL;0.000666667;0
1.35115;2;126;OPTIMAL;0.000833333;0
1.34091;2;126;OPTIMAL;0.0005;0
1.33083;2;126;OPTIMAL;0.000666667;0
6.32143;7;126;OPTIMAL;0.003;0
1.32432;2;126;OPTIMAL;0.000666667;0
1.3209;2;126;OPTIMAL;0.000666667;0
1.31111;2;126;OPTIMAL;0.0005;0
1.30147;2;126;OPTIMAL;0.000666667;0
1.3;2;126;OPTIMAL;0.0005;0
1.29197;2;126;OPTIMAL;0.000833333;0
1.28947;2;126;OPTIMAL;0.000666667;0
1.28261;2;126;OPTIMAL;0.0005;0
1.27338;2;126;OPTIMAL;0.0005;0
1.26429;2;126;OPTIMAL;0.0005;0
6.125;7;126;OPTIMAL;0.00266667;0
1.25641;2;126;OPTIMAL;0.0005;0
1.25532;2;126;OPTIMAL;0.000666667;0
1.24648;2;126;OPTIMAL;0.000333333;0
1.23776;2;126;OPTIMAL;0.000333333;0
1.22917;2;126;OPTIMAL;0.0005;0
1.225;2;126;OPTIMAL;0.000666667;0
1.22069;2;126;OPTIMAL;0.0005;0
1.21233;2;126;OPTIMAL;0.0005;0
1.20408;2;126;OPTIMAL;0.000333333;0
1.19595;2;126;OPTIMAL;0.0005;0
6.10345;7;126;OPTIMAL;0.0025;0
1.19512;2;126;OPTIMAL;0.000666667;0
1.18792;2;126;OPTIMAL;0.0005;0
1.18182;2;126;OPTIMAL;0.0005;0
1.18;2;126;OPTIMAL;0.0005;0
1.17219;2;126;OPTIMAL;0.0005;0
1.16667;2;126;OPTIMAL;0.0005;0
1.16447;2;126;OPTIMAL;0.0005;0
1.15686;2;126;OPTIMAL;0.0005;0
1.14935;2;126;OPTIMAL;0.0005;0
1.14194;2;126;OPTIMAL;0.0005;0
5.70968;6;126;OPTIMAL;0.00283333;0
1.13953;2;126;OPTIMAL;0.0005;0
1.13462;2;126;OPTIMAL;0.000333333;0
1.12739;2;126;OPTIMAL;0.000333333;0
1.12025;2;126;OPTIMAL;0.000666667;0
1.11364;2;126;OPTIMAL;0.0005;0
1.11321;2;126;OPTIMAL;0.0005;0
1.10625;2;126;OPTIMAL;0.0005;0
1.09938;2;126;OPTIMAL;0.0005;0
1.09259;2;126;OPTIMAL;0.000666667;0
1.08889;2;126;OPTIMAL;0.0005;0
5.53125;6;126;OPTIMAL;0.00283333;0
1.08589;2;126;OPTIMAL;0.0005;0
1.08333;2;126;OPTIMAL;0.0005;0
1.07927;2;126;OPTIMAL;0.000666667;0
1.07273;2;126;OPTIMAL;0.0005;0
1.06627;2;126;OPTIMAL;0.0005;0
1.06522;2;126;OPTIMAL;0.0005;0
1.05988;2;126;OPTIMAL;0.0005;0
1.05357;2;126;OPTIMAL;0.000666667;0
1.04734;2;126;OPTIMAL;0.000666667;0
1.04255;2;126;OPTIMAL;0.000666667;0
5.44444;6;126;OPTIMAL;0.003;0
1.04118;2;126;OPTIMAL;0.0005;0
1.03509;2;126;OPTIMAL;0.000666667;0
1.02907;2;126;OPTIMAL;0.000333333;0
1.02312;2;126;OPTIMAL;0.0005;0
1.02083;2;126;OPTIMAL;0.0005;0
1.01724;2;126;OPTIMAL;0.0005;0
1.01143;2;126;OPTIMAL;0.000333333;0
1.00568;2;126;OPTIMAL;0.0005;0
5.36364;6;126;OPTIMAL;0.004;0
16.0909;17;127;OPTIMAL;0.0318333;0
5.20588;6;126;OPTIMAL;0.00233333;0
5.05714;6;126;OPTIMAL;0.00216667;0
4.65789;5;127;OPTIMAL;0.0055;0
4.53846;5;127;OPTIMAL;0.009;0
4.45455;5;127;OPTIMAL;0.004;0
4.425;5;127;OPTIMAL;0.00416667;0
4.33333;5;127;OPTIMAL;0.00483333;0
4.31707;5;127;OPTIMAL;0.007;0
4.21429;5;127;OPTIMAL;0.006;0
4.11628;5;127;OPTIMAL;0.00483333;0
