minII;II;Lat;Status;Min;Timeouts
1.5;1.5;127;OPTIMAL;0.00683333;0
6.5;6.5;127;OPTIMAL;0.101833;0
16.0909;-1;-1;TIMEOUT_INFEASIBLE;5.01633;1
1.68966;-1;-1;TIMEOUT_INFEASIBLE;5.02483;1
1.68571;-1;-1;TIMEOUT_INFEASIBLE;5.044;1
7.08;-1;-1;TIMEOUT_INFEASIBLE;5.09467;1
1.625;-1;-1;TIMEOUT_INFEASIBLE;4.99833;1
1.63889;-1;-1;TIMEOUT_INFEASIBLE;5.02783;1
1.63333;-1;-1;TIMEOUT_INFEASIBLE;5.02683;1
1.58065;-1;-1;TIMEOUT_INFEASIBLE;5.03567;1
1.59459;-1;-1;TIMEOUT_INFEASIBLE;5.04983;1
6.55556;6.55556;894;TIMEOUT_FEASIBLE;5.00767;0
1.55263;-1;-1;TIMEOUT_INFEASIBLE;5.05167;1
1.53125;-1;-1;TIMEOUT_INFEASIBLE;5.0325;1
1.51282;-1;-1;TIMEOUT_INFEASIBLE;5.0525;1
1.475;-1;-1;TIMEOUT_INFEASIBLE;5.05817;1
1.70192;-1;-1;TIMEOUT_INFEASIBLE;5.614;1
1.65421;-1;-1;TIMEOUT_INFEASIBLE;5.55517;1
1.66981;-1;-1;TIMEOUT_INFEASIBLE;5.62417;1
1.62385;-1;-1;TIMEOUT_INFEASIBLE;5.59283;1
1.60909;-1;-1;TIMEOUT_INFEASIBLE;5.59067;1
1.58036;-1;-1;TIMEOUT_INFEASIBLE;5.64533;1
1.56637;-1;-1;TIMEOUT_INFEASIBLE;5.65567;1
1.53913;-1;-1;TIMEOUT_INFEASIBLE;5.63517;1
1.52586;-1;-1;TIMEOUT_INFEASIBLE;5.65783;1
1.48739;-1;-1;TIMEOUT_INFEASIBLE;5.67933;1
1.48485;-1;-1;TIMEOUT_INFEASIBLE;5.02467;1
2.57895;-1;-1;TIMEOUT_INFEASIBLE;5.02067;1
3.47059;-1;-1;TIMEOUT_INFEASIBLE;5.01967;1
1.44118;-1;-1;TIMEOUT_INFEASIBLE;5.03933;1
1.40476;-1;-1;TIMEOUT_INFEASIBLE;5.06433;1
1.32432;-1;-1;TIMEOUT_INFEASIBLE;5.04917;1
1.18182;-1;-1;TIMEOUT_INFEASIBLE;5.0015;1
3.16071;-1;-1;TIMEOUT_INFEASIBLE;5.31917;1
1.09259;-1;-1;TIMEOUT_INFEASIBLE;5.1;1
2.76562;-1;-1;TIMEOUT_INFEASIBLE;5.381;1
5.53125;-1;-1;TIMEOUT_INFEASIBLE;5.188;1
1.81481;-1;-1;TIMEOUT_INFEASIBLE;5.027;1
2.36;-1;-1;TIMEOUT_INFEASIBLE;5.01417;1
1.28261;-1;-1;TIMEOUT_INFEASIBLE;5.07183;1
2.08235;-1;-1;TIMEOUT_INFEASIBLE;5.4985;1
1.06522;-1;-1;TIMEOUT_INFEASIBLE;5.05983;1
1.07273;-1;-1;TIMEOUT_INFEASIBLE;5.08167;1
2.03448;-1;-1;TIMEOUT_INFEASIBLE;5.04767;1
1.26429;-1;-1;TIMEOUT_INFEASIBLE;5.77033;1
7.375;7.375;898;TIMEOUT_FEASIBLE;5.014;0
1.22069;-1;-1;TIMEOUT_INFEASIBLE;5.795;1
2.2125;-1;-1;TIMEOUT_INFEASIBLE;5.436;1
1.71845;-1;-1;TIMEOUT_INFEASIBLE;5.59833;1
1.01143;-1;-1;TIMEOUT_INFEASIBLE;6.10817;1
4.425;-1;-1;TIMEOUT_INFEASIBLE;5.20017;1
3.27778;-1;-1;TIMEOUT_INFEASIBLE;5.00083;1
3.61224;-1;-1;TIMEOUT_INFEASIBLE;5.276;1
2.60294;-1;-1;TIMEOUT_INFEASIBLE;5.39817;1
2.85484;-1;-1;TIMEOUT_INFEASIBLE;5.34817;1
3.76596;-1;-1;TIMEOUT_INFEASIBLE;5.23883;1
1.78788;-1;-1;TIMEOUT_INFEASIBLE;5.04717;1
1.22917;-1;-1;TIMEOUT_INFEASIBLE;5.07167;1
1.46281;-1;-1;TIMEOUT_INFEASIBLE;5.631;1
1.3937;-1;-1;TIMEOUT_INFEASIBLE;5.71867;1
1.18;-1;-1;TIMEOUT_INFEASIBLE;5.076;1
1.33083;-1;-1;TIMEOUT_INFEASIBLE;5.74333;1
1.80612;-1;-1;TIMEOUT_INFEASIBLE;5.51983;1
3.25;3.25;129;OPTIMAL;1.74717;0
1.19595;-1;-1;TIMEOUT_INFEASIBLE;5.87333;1
2.80952;-1;-1;TIMEOUT_INFEASIBLE;5.0055;1
2.52857;-1;-1;TIMEOUT_INFEASIBLE;5.3385;1
8.42857;8.42857;889;TIMEOUT_FEASIBLE;4.99933;0
3.26667;-1;-1;TIMEOUT_INFEASIBLE;5.01917;1
4.31707;-1;-1;TIMEOUT_INFEASIBLE;5.18317;1
4.21429;-1;-1;TIMEOUT_INFEASIBLE;5.00233;1
1.20408;-1;-1;TIMEOUT_INFEASIBLE;5.07383;1
4.33333;4.33333;128;OPTIMAL;0.597667;0
4.08333;-1;-1;TIMEOUT_INFEASIBLE;5.0145;1
3.33962;-1;-1;TIMEOUT_INFEASIBLE;5.27717;1
1.34091;-1;-1;TIMEOUT_INFEASIBLE;5.064;1
2.42466;-1;-1;TIMEOUT_INFEASIBLE;5.38583;1
1.28947;-1;-1;TIMEOUT_INFEASIBLE;5.04333;1
1.31111;-1;-1;TIMEOUT_INFEASIBLE;5.04117;1
1.75;1.75;129;OPTIMAL;0.591167;0
1.19512;-1;-1;TIMEOUT_INFEASIBLE;5.05433;1
1.75248;-1;-1;TIMEOUT_INFEASIBLE;5.517;1
2.22727;-1;-1;TIMEOUT_INFEASIBLE;5.023;1
2.32895;-1;-1;TIMEOUT_INFEASIBLE;5.38717;1
1.08889;-1;-1;TIMEOUT_INFEASIBLE;5.05517;1
1.13953;-1;-1;TIMEOUT_INFEASIBLE;5.045;1
1.11364;-1;-1;TIMEOUT_INFEASIBLE;5.0545;1
12.25;12.25;276;TIMEOUT_FEASIBLE;5.00417;0
2.18519;-1;-1;TIMEOUT_INFEASIBLE;5.03783;1
1.04255;-1;-1;TIMEOUT_INFEASIBLE;5.06183;1
1.03509;-1;-1;TIMEOUT_INFEASIBLE;5.089;1
1.88298;-1;-1;TIMEOUT_INFEASIBLE;5.55533;1
1.30147;-1;-1;TIMEOUT_INFEASIBLE;5.73483;1
2.33333;2.33333;128;OPTIMAL;0.457667;0
3.05172;-1;-1;TIMEOUT_INFEASIBLE;5.29217;1
2.72308;-1;-1;TIMEOUT_INFEASIBLE;5.31983;1
9.31579;-1;-1;TIMEOUT_INFEASIBLE;5.0935;1
3.21818;-1;-1;TIMEOUT_INFEASIBLE;5.30367;1
2.49296;-1;-1;TIMEOUT_INFEASIBLE;5.395;1
2.64179;-1;-1;TIMEOUT_INFEASIBLE;5.37433;1
6.32143;-1;-1;TIMEOUT_INFEASIBLE;5.1245;1
1.73529;-1;-1;TIMEOUT_INFEASIBLE;5.04433;1
1.36111;-1;-1;TIMEOUT_INFEASIBLE;5.042;1
1.37209;-1;-1;TIMEOUT_INFEASIBLE;5.05833;1
