# II 6.5
# samples 2
# modulo 13
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//mat_inv.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//mat_inv/RM12.xml
# vertex;sample;cycle;fu
Ldiff_UU_del_1;0;1;0
Ldiff_UV_del_1;0;0;0
Ldiff_UW_del_1;0;1;0
Ldiff_VU_del_1;0;1;0
Ldiff_VV_del_1;0;1;0
Ldiff_VW_del_1;0;1;0
Ldiff_WU_del_1;0;1;0
Ldiff_WV_del_1;0;1;0
Ldiff_WW_del_1;0;1;0
R_U;0;1;0
R_V;0;1;0
R_W;0;1;0
Product108;0;122;0
Product110;0;122;1
Product109;0;122;2
Product111;0;122;3
Product210;0;122;4
Product310;0;122;5
Product410;0;122;6
Product510;0;122;7
Product610;0;122;8
Product710;0;122;9
Product810;0;122;10
Product910;0;122;11
Inv_11;0;126;0
Inv_12;0;126;0
Inv_13;0;126;0
Inv_21;0;126;0
Inv_22;0;126;0
Inv_23;0;126;0
Inv_31;0;126;0
Inv_32;0;126;0
Inv_33;0;126;0
Inv_41;0;126;0
Inv_42;0;126;0
Inv_43;0;126;0
Add30;0;25;0
Add110;0;117;0
Add101;0;22;0
Add111;0;42;0
Add121;0;21;0
Add131;0;116;1
Add141;0;90;2
Add151;0;115;0
Add16;0;23;0
Add17;0;36;1
Add18;0;80;0
Add19;0;86;1
Add210;0;20;0
Add20;0;107;1
Add21;0;112;2
Add22;0;27;0
Add23;0;89;1
Add24;0;102;2
Add25;0;114;2
Add26;0;29;2
Add27;0;37;3
Add28;0;99;3
Add29;0;112;4
Add31;0;37;4
Add41;0;16;3
Add51;0;38;3
Product114;0;16;0
Add61;0;105;1
Add71;0;117;1
Add81;0;19;0
Add91;0;117;2
Product112;0;5;12
Product113;0;9;0
Product1010;0;10;0
Product100;0;5;13
Product101;0;19;0
Product102;0;103;0
Product103;0;91;0
Product104;0;19;1
Product105;0;32;2
Product106;0;16;1
Product107;0;23;1
Product291;0;100;1
Product121;0;3;2
Product131;0;8;0
Product141;0;2;0
Product151;0;7;0
Product161;0;4;0
Product171;0;2;1
Product181;0;3;3
Product191;0;9;2
Product211;0;10;2
Product201;0;12;1
Product212;0;8;1
Product221;0;12;2
Product231;0;32;3
Product241;0;9;3
Product251;0;9;4
Product261;0;8;2
Product271;0;2;2
Product281;0;13;1
Product501;0;2;3
Product311;0;22;5
Product301;0;21;3
Product312;0;10;3
Product321;0;13;2
Product331;0;9;6
Product341;0;7;1
Product351;0;3;4
Product361;0;111;2
Product371;0;13;3
Product381;0;13;4
Product391;0;13;5
Product411;0;6;4
Product401;0;8;4
Product412;0;2;4
Product421;0;2;5
Product431;0;4;1
Product441;0;13;6
Product451;0;29;5
Product461;0;16;6
Product471;0;14;0
Product481;0;7;3
Product491;0;2;6
Product511;0;16;7
Product78;0;21;5
Product79;0;22;7
Product512;0;8;6
Product521;0;108;2
Product531;0;7;4
Product54;0;14;1
Product55;0;13;7
Product56;0;6;5
Product57;0;13;8
Product58;0;2;7
Product59;0;10;4
Product611;0;5;14
Product60;0;13;9
Product61;0;17;3
Product62;0;6;6
Product63;0;22;8
Product64;0;10;5
Product65;0;2;8
Product66;0;8;7
Product67;0;2;9
Product68;0;18;15
Product69;0;15;10
Product711;0;13;10
Product70;0;13;11
Product71;0;17;4
Product72;0;11;0
Product73;0;14;2
Product74;0;9;9
Product75;0;6;7
Product76;0;60;8
Product77;0;9;10
Add112;0;28;1
Add10;0;78;3
Product811;0;2;11
Product80;0;14;3
Product81;0;82;5
Product82;0;65;12
Product83;0;13;13
Product84;0;12;3
Product85;0;11;1
Product86;0;4;6
Product87;0;77;4
Product88;0;12;5
Product89;0;2;12
Product911;0;32;8
Product90;0;16;8
Product91;0;21;9
Product92;0;8;10
Product93;0;84;9
Product94;0;20;5
Product95;0;11;2
Product96;0;17;7
Product97;0;78;14
Product98;0;12;6
Product99;0;21;11
Subtract12;0;30;0
Subtract1;0;25;0
Subtract10;0;96;0
Subtract11;0;46;0
Subtract2;0;32;0
Subtract3;0;110;1
Subtract4;0;35;0
Subtract5;0;36;0
Subtract6;0;92;0
Subtract7;0;99;0
Subtract8;0;28;0
Subtract9;0;95;1
Add32;0;23;3
Product35;0;41;13
Product36;0;3;9
Product37;0;13;15
Add11;0;83;0
Add12;0;88;4
Add13;0;93;2
Add14;0;98;1
Add15;0;103;4
Add211;0;33;2
Add3;0;38;5
Add4;0;43;0
Add5;0;48;1
Add6;0;53;2
Add7;0;58;1
Add8;0;68;4
Add9;0;73;5
Constant1;0;1;0
Divide;0;108;0
Product115;0;12;7
Product116;0;16;10
Product10;0;68;11
Product11;0;81;12
Product12;0;11;3
Product13;0;68;13
Product14;0;73;12
Product15;0;12;8
Product16;0;22;11
Product17;0;27;4
Product18;0;13;16
Product19;0;19;10
Product213;0;24;4
Product20;0;27;5
Product21;0;12;9
Product22;0;25;10
Product23;0;64;11
Product24;0;11;5
Product25;0;46;6
Product26;0;50;6
Product27;0;12;12
