minII;II;Lat;Status;Min;Timeouts
16.0909;16.0909;713;UNKNOWN;0.0566667;0
1.625;1.625;200;UNKNOWN;0.0545;0
6.55556;6.55556;359;UNKNOWN;0.0543333;0
1.5;1.5;134;UNKNOWN;0.055;0
6.5;6.5;170;UNKNOWN;0.0543333;0
7.08;7.08;1244;UNKNOWN;0.0578333;0
1.68966;1.68966;348;UNKNOWN;0.0546667;0
1.44444;1.44444;200;UNKNOWN;0.0533333;0
1.63333;1.63333;348;UNKNOWN;0.0545;0
1.58065;1.58065;348;UNKNOWN;0.0543333;0
1.68571;1.68571;417;UNKNOWN;0.0548333;0
1.63889;1.63889;477;UNKNOWN;0.0546667;0
1.53125;1.53125;348;UNKNOWN;0.0548333;0
1.48485;1.48485;348;UNKNOWN;0.0551667;0
1.59459;1.59459;477;UNKNOWN;0.0548333;0
1.55263;1.55263;477;UNKNOWN;0.0556667;0
1.51282;1.51282;477;UNKNOWN;0.0543333;0
1.44118;1.44118;348;UNKNOWN;0.055;0
1.3;1.3;200;UNKNOWN;0.054;0
1.18182;1.18182;200;UNKNOWN;0.0538333;0
1.475;1.475;417;UNKNOWN;0.0546667;0
1.32432;1.32432;348;UNKNOWN;0.0538333;0
1.40476;1.40476;477;UNKNOWN;0.054;0
5.36364;5.36364;300;UNKNOWN;0.0536667;0
12.25;12.25;347;UNKNOWN;0.0538333;0
4.33333;4.33333;173;UNKNOWN;0.054;0
5.53125;5.53125;1244;UNKNOWN;0.0571667;0
1.31111;1.31111;477;UNKNOWN;0.054;0
1.225;1.225;348;UNKNOWN;0.0541667;0
1.43902;1.43902;417;UNKNOWN;0.0538333;0
1.25532;1.25532;417;UNKNOWN;0.0543333;0
3.6875;3.6875;416;UNKNOWN;0.0541667;0
8.42857;8.42857;417;UNKNOWN;0.0538333;0
6.10345;6.10345;1067;UNKNOWN;0.0556667;0
2.22727;2.22727;348;UNKNOWN;0.054;0
1.37209;1.37209;477;UNKNOWN;0.0545;0
3.76596;3.76596;1067;UNKNOWN;0.057;0
1.73529;1.73529;417;UNKNOWN;0.054;0
3.47059;3.47059;359;UNKNOWN;0.0536667;0
2.16667;2.16667;200;UNKNOWN;0.0536667;0
3.0625;3.0625;348;UNKNOWN;0.054;0
3.27778;3.27778;477;UNKNOWN;0.0538333;0
5.20588;5.20588;1067;UNKNOWN;0.056;0
2.76562;2.76562;1244;UNKNOWN;0.0561667;0
11.0625;11.0625;890;UNKNOWN;0.0555;0
1.08889;1.08889;348;UNKNOWN;0.0541667;0
2.6;2.6;200;UNKNOWN;0.0533333;0
4.08333;4.08333;348;UNKNOWN;0.0541667;0
1.05357;1.05357;477;UNKNOWN;0.054;0
4.31707;4.31707;1067;UNKNOWN;0.056;0
9.31579;9.31579;890;UNKNOWN;0.0556667;0
3.5;3.5;165;UNKNOWN;0.0533333;0
2.39189;2.39189;1067;UNKNOWN;0.0558333;0
2.10714;2.10714;417;UNKNOWN;0.054;0
3.40385;3.40385;1067;UNKNOWN;0.0561667;0
3.33962;3.33962;1067;UNKNOWN;0.056;0
8.04545;8.04545;890;UNKNOWN;0.0553333;0
3.05172;3.05172;1067;UNKNOWN;0.0556667;0
2.45;2.45;348;UNKNOWN;0.055;0
2.80952;2.80952;417;UNKNOWN;0.0538333;0
3.54;3.54;1244;UNKNOWN;0.056;0
3.16071;3.16071;1067;UNKNOWN;0.0556667;0
1.81481;1.81481;348;UNKNOWN;0.0543333;0
1.75;1.75;165;UNKNOWN;0.0535;0
2.26923;2.26923;477;UNKNOWN;0.0538333;0
1.08333;1.08333;200;UNKNOWN;0.0538333;0
6.32143;6.32143;1067;UNKNOWN;0.056;0
1.19512;1.19512;348;UNKNOWN;0.0543333;0
1.36111;1.36111;348;UNKNOWN;0.054;0
1.88462;1.88462;348;UNKNOWN;0.0538333;0
2.64179;2.64179;1067;UNKNOWN;0.0568333;0
1.84375;1.84375;477;UNKNOWN;0.0553333;0
4.45455;4.45455;348;UNKNOWN;0.0543333;0
3.76923;3.76923;348;UNKNOWN;0.054;0
1.78788;1.78788;417;UNKNOWN;0.0538333;0
2.36;2.36;477;UNKNOWN;0.054;0
3.10526;3.10526;477;UNKNOWN;0.0538333;0
2.72308;2.72308;1244;UNKNOWN;0.0563333;0
3.26667;3.26667;348;UNKNOWN;0.054;0
2.32895;2.32895;1067;UNKNOWN;0.0558333;0
2.85484;2.85484;1067;UNKNOWN;0.0558333;0
1.06522;1.06522;348;UNKNOWN;0.0541667;0
2.72222;2.72222;348;UNKNOWN;0.054;0
4.53846;4.53846;477;UNKNOWN;0.0538333;0
2.60294;2.60294;1244;UNKNOWN;0.0561667;0
2.56522;2.56522;416;UNKNOWN;0.0538333;0
5.70968;5.70968;1067;UNKNOWN;0.0558333;0
1.28947;1.28947;348;UNKNOWN;0.0546667;0
4.425;4.425;1067;UNKNOWN;0.0561667;0
1.22917;1.22917;477;UNKNOWN;0.0538333;0
1.90323;1.90323;477;UNKNOWN;0.0543333;0
1.20408;1.20408;477;UNKNOWN;0.0543333;0
1.16667;1.16667;165;UNKNOWN;0.0538333;0
2.68182;2.68182;417;UNKNOWN;0.054;0
10.4118;10.4118;1067;UNKNOWN;0.0556667;0
1.15686;1.15686;477;UNKNOWN;0.0541667;0
1.13462;1.13462;477;UNKNOWN;0.0538333;0
4.02273;4.02273;1067;UNKNOWN;0.056;0
2.04167;2.04167;348;UNKNOWN;0.0536667;0
5.05714;5.05714;1067;UNKNOWN;0.0558333;0
1.85714;1.85714;200;UNKNOWN;0.0538333;0
1.11364;1.11364;348;UNKNOWN;0.054;0
3.61224;3.61224;1067;UNKNOWN;0.0558333;0
2.42466;2.42466;1067;UNKNOWN;0.0558333;0
1.4;1.4;165;UNKNOWN;0.054;0
1.13953;1.13953;348;UNKNOWN;0.0548333;0
1.11321;1.11321;417;UNKNOWN;0.054;0
3.21818;3.21818;1067;UNKNOWN;0.0558333;0
1.18;1.18;477;UNKNOWN;0.0543333;0
1.09259;1.09259;477;UNKNOWN;0.0545;0
2.18519;2.18519;417;UNKNOWN;0.0536667;0
2.13043;2.13043;348;UNKNOWN;0.0538333;0
2.49296;2.49296;1244;UNKNOWN;0.0561667;0
1.02083;1.02083;348;UNKNOWN;0.054;0
1.25641;1.25641;348;UNKNOWN;0.0538333;0
1.28261;1.28261;417;UNKNOWN;0.054;0
4.21429;4.21429;417;UNKNOWN;0.0538333;0
2.52857;2.52857;1067;UNKNOWN;0.0556667;0
1.01724;1.01724;477;UNKNOWN;0.054;0
1.07273;1.07273;477;UNKNOWN;0.0548333;0
5.44444;5.44444;348;UNKNOWN;0.0546667;0
1.34091;1.34091;477;UNKNOWN;0.054;0
4.11628;4.11628;1244;UNKNOWN;0.056;0
2.03448;2.03448;417;UNKNOWN;0.0541667;0
2.33333;2.33333;165;UNKNOWN;0.0536667;0
8.16667;8.16667;348;UNKNOWN;0.054;0
1.04255;1.04255;348;UNKNOWN;0.0545;0
2.2987;2.2987;1067;UNKNOWN;0.056;0
2.57895;2.57895;348;UNKNOWN;0.0536667;0
7.375;7.375;416;UNKNOWN;0.0541667;0
2.45833;2.45833;477;UNKNOWN;0.0538333;0
4.65789;4.65789;1067;UNKNOWN;0.0558333;0
