minII;II;Lat;Status;Min;Timeouts
1.5;1.5;126;OPTIMAL;0.0376667;0
6.5;6.5;126;OPTIMAL;0.9645;0
16.0909;-1;-1;TIMEOUT_INFEASIBLE;5.035;1
1.68966;-1;-1;TIMEOUT_INFEASIBLE;5.0215;1
1.68571;-1;-1;TIMEOUT_INFEASIBLE;5.0435;1
7.08;-1;-1;TIMEOUT_INFEASIBLE;5.08983;1
1.625;-1;-1;TIMEOUT_INFEASIBLE;4.999;1
1.63333;-1;-1;TIMEOUT_INFEASIBLE;5.02067;1
1.63889;-1;-1;TIMEOUT_INFEASIBLE;5.023;1
6.55556;-1;-1;TIMEOUT_INFEASIBLE;5.0035;1
1.59459;-1;-1;TIMEOUT_INFEASIBLE;5.04817;1
1.58065;-1;-1;TIMEOUT_INFEASIBLE;5.0405;1
1.55263;-1;-1;TIMEOUT_INFEASIBLE;5.04933;1
1.53125;-1;-1;TIMEOUT_INFEASIBLE;5.02967;1
1.51282;-1;-1;TIMEOUT_INFEASIBLE;5.093;1
1.70192;-1;-1;TIMEOUT_INFEASIBLE;5.5635;1
1.66981;-1;-1;TIMEOUT_INFEASIBLE;5.5905;1
1.65421;-1;-1;TIMEOUT_INFEASIBLE;5.59733;1
1.62385;-1;-1;TIMEOUT_INFEASIBLE;5.60317;1
1.60909;-1;-1;TIMEOUT_INFEASIBLE;5.60433;1
1.475;-1;-1;TIMEOUT_INFEASIBLE;5.06083;1
1.58036;-1;-1;TIMEOUT_INFEASIBLE;5.64233;1
1.53913;-1;-1;TIMEOUT_INFEASIBLE;5.60467;1
1.56637;-1;-1;TIMEOUT_INFEASIBLE;5.64767;1
1.52586;-1;-1;TIMEOUT_INFEASIBLE;5.6285;1
1.48739;-1;-1;TIMEOUT_INFEASIBLE;5.6525;1
4.08333;-1;-1;TIMEOUT_INFEASIBLE;5.01133;1
3.47059;-1;-1;TIMEOUT_INFEASIBLE;5.02067;1
1.32432;-1;-1;TIMEOUT_INFEASIBLE;5.02367;1
1.225;-1;-1;TIMEOUT_INFEASIBLE;5.05317;1
1.13953;-1;-1;TIMEOUT_INFEASIBLE;5.0635;1
1.18;-1;-1;TIMEOUT_INFEASIBLE;5.075;1
3.16071;-1;-1;TIMEOUT_INFEASIBLE;5.31717;1
2.76562;-1;-1;TIMEOUT_INFEASIBLE;5.35133;1
1.416;-1;-1;TIMEOUT_INFEASIBLE;5.73433;1
1.25532;-1;-1;TIMEOUT_INFEASIBLE;5.06583;1
2.16667;-1;-1;TIMEOUT_INFEASIBLE;4.98983;1
2.26923;-1;-1;TIMEOUT_INFEASIBLE;5.03683;1
1.46281;-1;-1;TIMEOUT_INFEASIBLE;5.71517;1
1.38281;-1;-1;TIMEOUT_INFEASIBLE;5.71967;1
2.04167;-1;-1;TIMEOUT_INFEASIBLE;5.02517;1
1.06522;-1;-1;TIMEOUT_INFEASIBLE;5.05583;1
1.26429;-1;-1;TIMEOUT_INFEASIBLE;5.8235;1
4.21429;-1;-1;TIMEOUT_INFEASIBLE;5.01967;1
5.05714;-1;-1;TIMEOUT_INFEASIBLE;5.1755;1
