minII;II;Lat;Status;Min;Timeouts
1.625;1.625;126;OPTIMAL;0.0825;0
1.5;1.5;126;OPTIMAL;0.00283333;0
1.70192;-1;-1;TIMEOUT_INFEASIBLE;5.08017;1
1.66981;-1;-1;TIMEOUT_INFEASIBLE;5.09283;1
1.65421;-1;-1;TIMEOUT_INFEASIBLE;5.10067;1
7.08;-1;-1;TIMEOUT_INFEASIBLE;5.01767;1
1.62385;-1;-1;TIMEOUT_INFEASIBLE;5.09033;1
1.60909;-1;-1;TIMEOUT_INFEASIBLE;5.098;1
1.56637;-1;-1;TIMEOUT_INFEASIBLE;5.09483;1
1.58036;-1;-1;TIMEOUT_INFEASIBLE;5.10733;1
1.63333;1.63333;129;OPTIMAL;3.80433;0
1.53913;-1;-1;TIMEOUT_INFEASIBLE;5.10733;1
1.52586;-1;-1;TIMEOUT_INFEASIBLE;5.10933;1
6.55556;6.55556;303;TIMEOUT_FEASIBLE;5.003;0
1.16667;1.16667;126;OPTIMAL;0.0515;0
1.48739;-1;-1;TIMEOUT_INFEASIBLE;5.10117;1
1.46281;-1;-1;TIMEOUT_INFEASIBLE;5.107;1
1.68966;1.68966;372;TIMEOUT_FEASIBLE;4.981;0
1.58065;1.58065;372;TIMEOUT_FEASIBLE;5.00133;0
1.68571;1.68571;363;TIMEOUT_FEASIBLE;4.99933;0
1.53125;1.53125;158;TIMEOUT_FEASIBLE;5.007;0
1.63889;1.63889;304;TIMEOUT_FEASIBLE;5.003;0
1.48485;1.48485;130;TIMEOUT_FEASIBLE;5.00683;0
1.59459;1.59459;200;TIMEOUT_FEASIBLE;5.00417;0
1.51282;1.51282;363;TIMEOUT_FEASIBLE;5.00617;0
1.55263;1.55263;247;TIMEOUT_FEASIBLE;5.00983;0
4.33333;4.33333;126;OPTIMAL;0.0803333;0
1.475;1.475;244;TIMEOUT_FEASIBLE;5.0085;0
3.76596;-1;-1;TIMEOUT_INFEASIBLE;5.03233;1
1.45082;-1;-1;TIMEOUT_INFEASIBLE;5.06783;1
2.85484;-1;-1;TIMEOUT_INFEASIBLE;5.05467;1
2.60294;-1;-1;TIMEOUT_INFEASIBLE;5.06117;1
1.416;-1;-1;TIMEOUT_INFEASIBLE;5.10817;1
6.125;6.125;145;TIMEOUT_FEASIBLE;4.99183;0
1.36154;-1;-1;TIMEOUT_INFEASIBLE;5.0985;1
3.27778;3.27778;424;TIMEOUT_FEASIBLE;4.999;0
1.30147;-1;-1;TIMEOUT_INFEASIBLE;5.10267;1
1.21233;-1;-1;TIMEOUT_INFEASIBLE;5.12283;1
1.02312;-1;-1;TIMEOUT_INFEASIBLE;5.12967;1
5.05714;-1;-1;TIMEOUT_INFEASIBLE;5.02233;1
8.42857;8.42857;363;TIMEOUT_FEASIBLE;4.99483;0
4.425;-1;-1;TIMEOUT_INFEASIBLE;5.04017;1
7.375;7.375;361;TIMEOUT_FEASIBLE;4.99733;0
9.31579;9.31579;1699;TIMEOUT_FEASIBLE;5.027;0
5.36364;5.36364;189;TIMEOUT_FEASIBLE;5.001;0
4.02273;-1;-1;TIMEOUT_INFEASIBLE;5.05617;1
1.81481;1.81481;177;TIMEOUT_FEASIBLE;5.00583;0
2.52857;-1;-1;TIMEOUT_INFEASIBLE;5.07767;1
1.90323;1.90323;422;TIMEOUT_FEASIBLE;5.002;0
