# II 7.375
# samples 8
# modulo 59
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//mat_inv.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//mat_inv/RM9.xml
# vertex;sample;cycle;fu
Ldiff_UU_del_1;0;0;0
Ldiff_UV_del_1;0;0;0
Ldiff_UW_del_1;0;0;0
Ldiff_VU_del_1;0;0;0
Ldiff_VV_del_1;0;0;0
Ldiff_VW_del_1;0;0;0
Ldiff_WU_del_1;0;0;0
Ldiff_WV_del_1;0;0;0
Ldiff_WW_del_1;0;0;0
R_U;0;0;0
R_V;0;0;0
R_W;0;0;0
Product108;0;299;0
Product110;0;299;1
Product109;0;306;0
Product111;0;298;0
Product210;0;318;0
Product310;0;312;0
Product410;0;303;0
Product510;0;303;1
Product610;0;342;0
Product710;0;298;1
Product810;0;303;2
Product910;0;319;0
Inv_11;0;306;0
Inv_12;0;357;0
Inv_13;0;347;0
Inv_21;0;331;0
Inv_22;0;308;0
Inv_23;0;318;0
Inv_31;0;360;0
Inv_32;0;302;0
Inv_33;0;324;0
Inv_41;0;354;0
Inv_42;0;312;0
Inv_43;0;312;0
Add30;0;39;0
Add110;0;255;0
Add101;0;111;0
Add111;0;292;0
Add121;0;95;0
Add131;0;130;0
Add141;0;110;0
Add151;0;158;0
Add16;0;122;0
Add17;0;289;0
Add18;0;102;0
Add19;0;139;0
Add210;0;162;0
Add20;0;216;1
Add21;0;239;0
Add22;0;61;0
Add23;0;107;0
Add24;0;212;0
Add25;0;245;0
Add26;0;66;0
Add27;0;100;0
Add28;0;173;0
Add29;0;244;0
Add31;0;193;0
Add41;0;253;0
Add51;0;293;0
Product114;0;27;0
Add61;0;67;1
Add71;0;138;0
Add81;0;93;0
Add91;0;243;1
Product112;0;7;0
Product113;0;89;0
Product1010;0;23;1
Product100;0;22;0
Product101;0;7;1
Product102;0;113;0
Product103;0;76;1
Product104;0;68;0
Product105;0;84;0
Product106;0;62;2
Product107;0;11;1
Product291;0;30;1
Product121;0;49;0
Product131;0;106;1
Product141;0;27;1
Product151;0;32;0
Product161;0;38;0
Product171;0;13;0
Product181;0;6;0
Product191;0;33;0
Product211;0;80;0
Product201;0;233;0
Product212;0;53;0
Product221;0;65;1
Product231;0;69;0
Product241;0;26;0
Product251;0;15;0
Product261;0;15;1
Product271;0;42;0
Product281;0;81;1
Product501;0;39;0
Product311;0;91;1
Product301;0;57;0
Product312;0;59;0
Product321;0;30;2
Product331;0;52;0
Product341;0;36;0
Product351;0;13;1
Product361;0;61;0
Product371;0;87;0
Product381;0;44;0
Product391;0;54;1
Product411;0;21;1
Product401;0;43;0
Product412;0;55;0
Product421;0;44;1
Product431;0;12;0
Product441;0;83;1
Product451;0;106;2
Product461;0;93;0
Product471;0;37;0
Product481;0;58;0
Product491;0;10;1
Product511;0;34;1
Product78;0;199;2
Product79;0;79;0
Product512;0;19;0
Product521;0;115;1
Product531;0;60;0
Product54;0;85;1
Product55;0;33;1
Product56;0;4;2
Product57;0;35;0
Product58;0;25;1
Product59;0;31;0
Product611;0;12;1
Product60;0;19;1
Product61;0;51;0
Product62;0;29;0
Product63;0;93;2
Product64;0;18;0
Product65;0;57;1
Product66;0;29;1
Product67;0;40;0
Product68;0;92;2
Product69;0;109;0
Product711;0;35;1
Product70;0;43;1
Product71;0;52;1
Product72;0;144;2
Product73;0;51;1
Product74;0;16;0
Product75;0;7;2
Product76;0;38;1
