minII;II;Lat;Status;Min;Timeouts
1.86408;2;50;OPTIMAL;0.0165;0
1.84615;2;50;OPTIMAL;0.031;0
1.83607;2;50;OPTIMAL;0.0185;0
1.82857;2;50;OPTIMAL;0.0128333;0
1.81132;2;50;OPTIMAL;0.0203333;0
1.80645;2;50;OPTIMAL;0.0201667;0
1.79439;2;50;OPTIMAL;0.0153333;0
1.77778;2;50;OPTIMAL;0.015;0
1.76147;2;50;OPTIMAL;0.0143333;0
1.75;2;50;OPTIMAL;0.0175;0
1.74545;2;50;OPTIMAL;0.016;0
1.72973;2;50;OPTIMAL;0.0216667;0
1.72308;2;50;OPTIMAL;0.0225;0
1.71429;2;50;OPTIMAL;0.0245;0
1.69912;2;50;OPTIMAL;0.0221667;0
1.69697;2;50;OPTIMAL;0.0121667;0
1.68421;2;50;OPTIMAL;0.0221667;0
1.67164;2;50;OPTIMAL;0.0156667;0
1.66957;2;50;OPTIMAL;0.0135;0
1.65517;2;50;OPTIMAL;0.0211667;0
1.64706;2;50;OPTIMAL;0.0246667;0
1.64103;2;50;OPTIMAL;0.00966667;0
1.62712;2;50;OPTIMAL;0.021;0
1.62319;2;50;OPTIMAL;0.0138333;0
1.61345;2;50;OPTIMAL;0.00983333;0
1.6;2;50;OPTIMAL;0.0236667;0
1.58678;2;50;OPTIMAL;0.0226667;0
1.57746;2;50;OPTIMAL;0.0121667;0
1.57377;2;50;OPTIMAL;0.0155;0
1.56098;2;50;OPTIMAL;0.0293333;0
1.55556;2;50;OPTIMAL;0.0243333;0
1.54839;2;50;OPTIMAL;0.0156667;0
1.536;2;50;OPTIMAL;0.0195;0
1.53425;2;50;OPTIMAL;0.0283333;0
1.52381;2;50;OPTIMAL;0.026;0
1.51351;2;50;OPTIMAL;0.0245;0
1.51181;2;50;OPTIMAL;0.0303333;0
1.5;2;50;OPTIMAL;0.0245;0
1.49333;2;50;OPTIMAL;0.0223333;0
1.48837;2;50;OPTIMAL;0.0218333;0
1.47692;2;50;OPTIMAL;0.0236667;0
1.47368;2;50;OPTIMAL;0.0265;0
1.46565;2;50;OPTIMAL;0.0275;0
1.45455;2;50;OPTIMAL;0.0238333;0
1.44361;2;50;OPTIMAL;0.015;0
1.4359;2;50;OPTIMAL;0.0233333;0
1.43284;2;50;OPTIMAL;0.0171667;0
1.42222;2;50;OPTIMAL;0.0275;0
1.41772;2;50;OPTIMAL;0.0235;0
1.41176;2;50;OPTIMAL;0.015;0
1.40146;2;50;OPTIMAL;0.0278333;0
1.4;2;50;OPTIMAL;0.0283333;0
1.3913;2;50;OPTIMAL;0.0288333;0
1.38272;2;50;OPTIMAL;0.0266667;0
1.38129;2;50;OPTIMAL;0.0166667;0
1.37143;2;50;OPTIMAL;0.025;0
1.36585;2;50;OPTIMAL;0.016;0
1.3617;2;50;OPTIMAL;0.018;0
1.35211;2;50;OPTIMAL;0.026;0
1.3494;2;50;OPTIMAL;0.0143333;0
1.34266;2;50;OPTIMAL;0.027;0
1.33333;2;50;OPTIMAL;0.024;0
1.32414;2;50;OPTIMAL;0.0226667;0
1.31765;2;50;OPTIMAL;0.0241667;0
1.31507;2;50;OPTIMAL;0.0245;0
1.30612;2;50;OPTIMAL;0.0233333;0
1.30233;2;50;OPTIMAL;0.015;0
1.2973;2;50;OPTIMAL;0.0145;0
1.28859;2;50;OPTIMAL;0.0221667;0
1.28736;2;50;OPTIMAL;0.0233333;0
1.28;2;50;OPTIMAL;0.026;0
1.27273;2;50;OPTIMAL;0.0123333;0
1.27152;2;50;OPTIMAL;0.026;0
1.26316;2;50;OPTIMAL;0.0228333;0
1.25843;2;50;OPTIMAL;0.0248333;0
1.2549;2;50;OPTIMAL;0.0226667;0
1.24675;2;50;OPTIMAL;0.0245;0
1.24444;2;50;OPTIMAL;0.0225;0
1.23871;2;50;OPTIMAL;0.0143333;0
5.64706;6;51;OPTIMAL;0.320333;0
1.23077;2;50;OPTIMAL;0.0206667;0
1.22293;2;50;OPTIMAL;0.0156667;0
1.21739;2;50;OPTIMAL;0.0221667;0
1.21519;2;50;OPTIMAL;0.0155;0
1.20755;2;50;OPTIMAL;0.024;0
1.2043;2;50;OPTIMAL;0.0261667;0
1.2;2;50;OPTIMAL;0.0221667;0
1.19255;2;50;OPTIMAL;0.0193333;0
1.19149;2;50;OPTIMAL;0.0258333;0
1.18519;2;50;OPTIMAL;0.0251667;0
5.6;6;51;OPTIMAL;0.346167;0
1.17895;2;50;OPTIMAL;0.014;0
1.17791;2;50;OPTIMAL;0.021;0
1.17073;2;50;OPTIMAL;0.0215;0
1.16667;2;50;OPTIMAL;0.01;0
1.16364;2;50;OPTIMAL;0.0101667;0
1.15663;2;50;OPTIMAL;0.0163333;0
1.15464;2;50;OPTIMAL;0.0181667;0
1.1497;2;50;OPTIMAL;0.021;0
1.14286;2;50;OPTIMAL;0.0156667;0
1.13609;2;50;OPTIMAL;0.016;0
1.13131;2;50;OPTIMAL;0.0095;0
1.12941;2;50;OPTIMAL;0.0106667;0
5.48571;6;51;OPTIMAL;0.462833;0
1.12281;2;50;OPTIMAL;0.0205;0
1.12;2;50;OPTIMAL;0.0131667;0
1.11628;2;50;OPTIMAL;0.013;0
1.10983;2;50;OPTIMAL;0.0128333;0
1.10891;2;50;OPTIMAL;0.00933333;0
1.10345;2;50;OPTIMAL;0.00916667;0
1.09804;2;50;OPTIMAL;0.0156667;0
1.09714;2;50;OPTIMAL;0.0156667;0
