minII;II;Lat;Status;Min;Timeouts
1.4;-1;-1;TIMEOUT_INFEASIBLE;5.00033;1
1.74545;-1;-1;TIMEOUT_INFEASIBLE;5.29567;1
5.64706;-1;-1;TIMEOUT_INFEASIBLE;5.079;1
1.28;-1;-1;TIMEOUT_INFEASIBLE;5.0425;1
5.6;-1;-1;TIMEOUT_INFEASIBLE;5.0055;1
3.73333;-1;-1;TIMEOUT_INFEASIBLE;5.04433;1
3.2;-1;-1;TIMEOUT_INFEASIBLE;5.00233;1
2.78261;-1;-1;TIMEOUT_INFEASIBLE;5.06817;1
1.11628;-1;-1;TIMEOUT_INFEASIBLE;5.11467;1
1.12281;-1;-1;TIMEOUT_INFEASIBLE;5.20383;1
1.09804;-1;-1;TIMEOUT_INFEASIBLE;5.15633;1
1.0566;-1;-1;TIMEOUT_INFEASIBLE;5.16067;1
7.38462;-1;-1;TIMEOUT_INFEASIBLE;5.05833;1
2.43478;-1;-1;TIMEOUT_INFEASIBLE;5.06817;1
2.59459;-1;-1;TIMEOUT_INFEASIBLE;5.19983;1
2.54545;-1;-1;TIMEOUT_INFEASIBLE;5.0105;1
2.08696;-1;-1;TIMEOUT_INFEASIBLE;5.063;1
1.5;1.5;51;OPTIMAL;2.365;0
2.43038;-1;-1;TIMEOUT_INFEASIBLE;6.00217;1
10.1053;-1;-1;TIMEOUT_INFEASIBLE;5.2115;1
2.38298;-1;-1;TIMEOUT_INFEASIBLE;5.32183;1
3.42857;-1;-1;TIMEOUT_INFEASIBLE;5.00517;1
8.34783;-1;-1;TIMEOUT_INFEASIBLE;5.26483;1
1.2043;-1;-1;TIMEOUT_INFEASIBLE;5.61467;1
1.30612;-1;-1;TIMEOUT_INFEASIBLE;5.16983;1
1.43284;-1;-1;TIMEOUT_INFEASIBLE;5.36717;1
1.64706;-1;-1;TIMEOUT_INFEASIBLE;5.01767;1
1.6;-1;-1;TIMEOUT_INFEASIBLE;4.99017;1
1.62712;-1;-1;TIMEOUT_INFEASIBLE;5.3165;1
2.28571;-1;-1;TIMEOUT_INFEASIBLE;4.99833;1
1.38272;-1;-1;TIMEOUT_INFEASIBLE;5.50017;1
1.52381;-1;-1;TIMEOUT_INFEASIBLE;5.0345;1
1.62319;-1;-1;TIMEOUT_INFEASIBLE;5.4585;1
1.3617;-1;-1;TIMEOUT_INFEASIBLE;5.178;1
11.2941;-1;-1;TIMEOUT_INFEASIBLE;5.1905;1
1.54839;-1;-1;TIMEOUT_INFEASIBLE;5.0805;1
2.24;-1;-1;TIMEOUT_INFEASIBLE;5.0825;1
1.35211;-1;-1;TIMEOUT_INFEASIBLE;5.404;1
