# II 11.2
# samples 5
# modulo 56
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//r2_FFT.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//r2_FFT/RM2.xml
# vertex;sample;cycle;fu
x0_re;0;0;0
x0_im;0;3;0
x1_re;0;1;0
x1_im;0;0;0
x2_re;0;3;0
x2_im;0;0;0
x3_re;0;4;0
x3_im;0;0;0
x4_re;0;0;0
x4_im;0;2;0
x5_re;0;0;0
x5_im;0;0;0
x6_re;0;4;0
x6_im;0;0;0
x7_re;0;4;0
x7_im;0;4;0
x8_re;0;0;0
x8_im;0;4;0
x9_re;0;0;0
x9_im;0;0;0
x10_re;0;2;0
x10_im;0;0;0
x11_re;0;4;0
x11_im;0;0;0
x12_re;0;0;0
x12_im;0;2;0
x13_re;0;0;0
x13_im;0;0;0
x14_re;0;4;0
x14_im;0;0;0
x15_re;0;0;0
x15_im;0;4;0
y0_re;0;514;0
y0_im;0;518;0
y1_re;0;489;0
y1_im;0;514;0
y2_re;0;514;0
y2_im;0;514;0
y3_re;0;514;0
y3_im;0;514;0
y4_re;0;514;0
y4_im;0;508;0
y5_re;0;500;0
y5_im;0;514;0
y6_re;0;514;0
y6_im;0;493;0
y7_re;0;514;0
y7_im;0;514;0
y8_re;0;514;0
y8_im;0;514;0
y15_re;0;514;0
y9_re;0;501;0
y9_im;0;523;0
y10_re;0;514;0
y10_im;0;514;0
y11_re;0;514;0
y11_im;0;493;0
y12_re;0;514;0
y12_im;0;514;0
y13_re;0;514;0
y13_im;0;514;0
y14_re;0;487;0
y14_im;0;514;0
Add17;0;180;0
y15_im;0;498;0
Add2;0;1;0
Add11;0;6;0
Add3;0;2;0
Add12;0;7;0
Add4;0;133;0
Add13;0;127;0
Add5;0;129;0
Add14;0;130;0
Add6;0;235;0
Add15;0;241;1
Add7;0;135;0
Add16;0;188;0
Add8;0;130;1
Add27;0;278;0
Add9;0;128;0
Add18;0;191;1
Add10;0;370;0
Add19;0;367;0
Add20;0;308;0
Add110;0;314;1
Add21;0;427;0
Add111;0;387;0
Add22;0;319;0
Add112;0;364;1
Add23;0;6;1
Add113;0;56;0
Add24;0;258;2
Add114;0;360;0
Add25;0;310;0
Add115;0;367;1
Add26;0;363;0
Add116;0;365;0
Add39;0;6;2
Add117;0;306;0
Add28;0;485;0
