minII;II;Lat;Status;Min;Timeouts
1.4;1.4;68;UNKNOWN;0.362167;0
1.14286;1.14286;70;UNKNOWN;0.358333;0
6.58824;6.58824;333;UNKNOWN;0.367167;0
11.2;11.2;141;UNKNOWN;0.3625;0
1.2;1.2;60;UNKNOWN;0.3595;0
3.5;3.5;68;UNKNOWN;0.3655;0
9.14286;9.14286;161;UNKNOWN;0.362333;0
1.80645;1.80645;197;UNKNOWN;0.365;0
2.82353;2.82353;212;UNKNOWN;0.3625;0
4.36364;4.36364;170;UNKNOWN;0.367167;0
5.05263;5.05263;226;UNKNOWN;0.362167;0
2.52632;2.52632;170;UNKNOWN;0.362;0
1.10345;1.10345;152;UNKNOWN;0.365333;0
1.33333;1.33333;58;UNKNOWN;0.359833;0
7.46667;7.46667;450;UNKNOWN;0.368;0
1.18519;1.18519;152;UNKNOWN;0.364;0
2.37037;2.37037;182;UNKNOWN;0.360833;0
1.06667;1.06667;96;UNKNOWN;0.363167;0
2.78261;2.78261;182;UNKNOWN;0.361667;0
2.06452;2.06452;182;UNKNOWN;0.361667;0
2.4;2.4;72;UNKNOWN;0.358333;0
2.33333;2.33333;68;UNKNOWN;0.361167;0
2.56;2.56;225;UNKNOWN;0.363333;0
1.6;1.6;70;UNKNOWN;0.359667;0
4.17391;4.17391;294;UNKNOWN;0.3645;0
1.04348;1.04348;136;UNKNOWN;0.366333;0
2.07407;2.07407;194;UNKNOWN;0.363333;0
1.84615;1.84615;136;UNKNOWN;0.364;0
6.4;6.4;151;UNKNOWN;0.362167;0
2.43478;2.43478;194;UNKNOWN;0.364667;0
4.14815;4.14815;450;UNKNOWN;0.3675;0
5.64706;5.64706;294;UNKNOWN;0.365333;0
7.11111;7.11111;182;UNKNOWN;0.366833;0
8.34783;8.34783;665;UNKNOWN;0.370667;0
1.47368;1.47368;107;UNKNOWN;0.365167;0
1.3913;1.3913;152;UNKNOWN;0.3635;0
1.45455;1.45455;96;UNKNOWN;0.3615;0
1.27273;1.27273;86;UNKNOWN;0.364167;0
1.54839;1.54839;170;UNKNOWN;0.3615;0
1.2973;1.2973;212;UNKNOWN;0.3655;0
1.65517;1.65517;170;UNKNOWN;0.369167;0
4.57143;4.57143;151;UNKNOWN;0.362;0
1.82857;1.82857;182;UNKNOWN;0.363667;0
1.26316;1.26316;136;UNKNOWN;0.364833;0
2.8;2.8;86;UNKNOWN;0.359333;0
2.54545;2.54545;138;UNKNOWN;0.3625;0
3.04762;3.04762;225;UNKNOWN;0.363333;0
2.46154;2.46154;151;UNKNOWN;0.363;0
2.28571;2.28571;96;UNKNOWN;0.3585;0
1.88235;1.88235;152;UNKNOWN;0.363667;0
1.86667;1.86667;107;UNKNOWN;0.362;0
2.2069;2.2069;225;UNKNOWN;0.364667;0
1.5;1.5;51;UNKNOWN;0.359167;0
2.74286;2.74286;308;UNKNOWN;0.3645;0
