# II 1.41176
# samples 17
# modulo 24
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//r2_FFT.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//r2_FFT/RM149.xml
# vertex;sample;cycle;fu
x0_re;0;0;0
x0_im;0;0;0
x1_re;0;0;0
x1_im;0;0;0
x2_re;0;0;0
x2_im;0;0;0
x3_re;0;0;0
x3_im;0;0;0
x4_re;0;0;0
x4_im;0;0;0
x5_re;0;0;0
x5_im;0;0;0
x6_re;0;0;0
x6_im;0;0;0
x7_re;0;0;0
x7_im;0;0;0
x8_re;0;0;0
x8_im;0;0;0
x9_re;0;0;0
x9_im;0;0;0
x10_re;0;0;0
x10_im;0;0;0
x11_re;0;0;0
x11_im;0;0;0
x12_re;0;0;0
x12_im;0;0;0
x13_re;0;0;0
x13_im;0;0;0
x14_re;0;0;0
x14_im;0;0;0
x15_re;0;0;0
x15_im;0;0;0
y0_re;0;133;0
y0_im;0;134;0
y1_re;0;87;0
y1_im;0;87;0
y2_re;0;95;0
y2_im;0;93;0
y3_re;0;89;0
y3_im;0;89;0
y4_re;0;134;0
y4_im;0;135;0
y5_re;0;88;0
y5_im;0;87;0
y6_re;0;95;0
y6_im;0;96;0
y7_re;0;90;0
y7_im;0;92;0
y8_re;0;133;0
y8_im;0;133;0
y15_re;0;89;0
y9_re;0;87;0
y9_im;0;87;0
y10_re;0;95;0
y10_im;0;93;0
y11_re;0;89;0
y11_im;0;89;0
y12_re;0;135;0
y12_im;0;135;0
y13_re;0;88;0
y13_im;0;87;0
y14_re;0;95;0
y14_im;0;96;0
Add17;0;28;0
y15_im;0;90;0
Add2;0;1;0
Add11;0;1;1
Add3;0;1;2
Add12;0;1;3
Add4;0;30;0
Add13;0;24;0
Add5;0;21;0
Add14;0;21;1
Add6;0;20;0
Add15;0;19;0
Add7;0;21;2
Add16;0;21;3
Add8;0;28;1
Add27;0;35;0
Add9;0;20;1
Add18;0;20;2
Add10;0;68;3
Add19;0;63;0
Add20;0;38;0
Add110;0;38;1
Add21;0;63;1
Add111;0;63;2
Add22;0;38;2
Add112;0;38;3
Add23;0;2;0
Add113;0;2;1
Add24;0;53;0
Add114;0;52;2
Add25;0;35;1
Add115;0;35;2
Add26;0;54;1
Add116;0;52;3
Add39;0;3;0
Add117;0;37;0
Add28;0;128;0
Add118;0;129;0
Add29;0;129;1
Add119;0;130;0
Add30;0;90;0
Add120;0;88;0
Add31;0;90;1
Add121;0;91;1
Add32;0;82;1
Add122;0;82;2
Add33;0;83;3
Add123;0;82;3
Add34;0;2;2
Add124;0;4;4
Add35;0;84;0
Add125;0;84;1
Add36;0;85;1
Add126;0;87;3
Add37;0;3;1
Add127;0;3;2
Add38;0;2;3
Add128;0;3;3
Product34;0;11;0
Subtract5;0;15;0
Add129;0;2;4
Add40;0;3;4
Add130;0;1;4
Add41;0;22;0
Add131;0;22;1
Add42;0;22;2
Add1;0;22;3
Add43;0;12;2
Product4;0;6;0
Product11;0;8;0
Product21;0;6;1
Product31;0;8;1
Subtract2;0;12;0
Add44;0;12;3
Product5;0;9;0
Product12;0;8;2
Product22;0;8;3
Product32;0;8;4
Subtract3;0;13;0
Add45;0;13;2
Product6;0;8;5
Product13;0;7;0
Product23;0;9;1
Product33;0;9;2
Subtract4;0;13;1
Add46;0;15;4
Product7;0;11;1
Product14;0;11;2
Product24;0;11;3
Subtract11;0;31;0
Add53;0;42;2
Add47;0;14;4
Product8;0;10;0
Product15;0;10;1
