minII;II;Lat;Status;Min;Timeouts
1.5;1.5;50;OPTIMAL;0.0501667;0
1.27273;-1;-1;TIMEOUT_INFEASIBLE;5.00433;1
1.36585;-1;-1;TIMEOUT_INFEASIBLE;5.128;1
6.19355;-1;-1;TIMEOUT_INFEASIBLE;5.32583;1
1.16667;-1;-1;TIMEOUT_INFEASIBLE;5.01033;1
1.31765;-1;-1;TIMEOUT_INFEASIBLE;5.53067;1
1.30612;-1;-1;TIMEOUT_INFEASIBLE;5.16433;1
5.18919;-1;-1;TIMEOUT_INFEASIBLE;5.4165;1
1.15663;-1;-1;TIMEOUT_INFEASIBLE;5.44217;1
1.30233;-1;-1;TIMEOUT_INFEASIBLE;5.1295;1
5.05263;-1;-1;TIMEOUT_INFEASIBLE;5.08483;1
4.57143;-1;-1;TIMEOUT_INFEASIBLE;5.00883;1
2.43478;-1;-1;TIMEOUT_INFEASIBLE;5.05767;1
1.47368;-1;-1;TIMEOUT_INFEASIBLE;5.03483;1
2.04255;-1;-1;TIMEOUT_INFEASIBLE;5.262;1
7.46667;-1;-1;TIMEOUT_INFEASIBLE;5.13333;1
1.45455;-1;-1;TIMEOUT_INFEASIBLE;5.00767;1
1.41176;-1;-1;TIMEOUT_INFEASIBLE;5.018;1
1.24675;-1;-1;TIMEOUT_INFEASIBLE;5.43083;1
1.23077;-1;-1;TIMEOUT_INFEASIBLE;5.00483;1
2.11321;-1;-1;TIMEOUT_INFEASIBLE;5.35633;1
7.38462;-1;-1;TIMEOUT_INFEASIBLE;5.06133;1
2.24;-1;-1;TIMEOUT_INFEASIBLE;5.07783;1
1.37143;-1;-1;TIMEOUT_INFEASIBLE;5.0865;1
1.42222;-1;-1;TIMEOUT_INFEASIBLE;5.157;1
1.19149;-1;-1;TIMEOUT_INFEASIBLE;5.14567;1
1.31507;-1;-1;TIMEOUT_INFEASIBLE;5.3955;1
1.3494;-1;-1;TIMEOUT_INFEASIBLE;5.53433;1
1.3617;-1;-1;TIMEOUT_INFEASIBLE;5.15533;1
1.26316;-1;-1;TIMEOUT_INFEASIBLE;5.0245;1
3.69231;-1;-1;TIMEOUT_INFEASIBLE;5.018;1
3.55556;-1;-1;TIMEOUT_INFEASIBLE;5.0205;1
1.14286;-1;-1;TIMEOUT_INFEASIBLE;5.00233;1
1.2973;-1;-1;TIMEOUT_INFEASIBLE;5.09183;1
1.01818;-1;-1;TIMEOUT_INFEASIBLE;5.158;1
1.09091;-1;-1;TIMEOUT_INFEASIBLE;5.001;1
1.11628;-1;-1;TIMEOUT_INFEASIBLE;5.09867;1
1.13131;-1;-1;TIMEOUT_INFEASIBLE;5.61083;1
