minII;II;Lat;Status;Min;Timeouts
1.77778;-1;-1;TIMEOUT_INFEASIBLE;4.997;1
6.62069;-1;-1;TIMEOUT_INFEASIBLE;5.08433;1
1.57746;-1;-1;TIMEOUT_INFEASIBLE;5.08317;1
6.4;-1;-1;TIMEOUT_INFEASIBLE;4.98117;1
1.45455;-1;-1;TIMEOUT_INFEASIBLE;4.99933;1
1.30233;-1;-1;TIMEOUT_INFEASIBLE;5.03283;1
1.58678;-1;-1;TIMEOUT_INFEASIBLE;5.25517;1
1.25843;-1;-1;TIMEOUT_INFEASIBLE;5.1055;1
1.23077;-1;-1;TIMEOUT_INFEASIBLE;4.98617;1
1.24444;-1;-1;TIMEOUT_INFEASIBLE;5.01617;1
1.21519;-1;-1;TIMEOUT_INFEASIBLE;5.10467;1
1.2;-1;-1;TIMEOUT_INFEASIBLE;4.99617;1
1.22293;-1;-1;TIMEOUT_INFEASIBLE;5.30667;1
1.17791;-1;-1;TIMEOUT_INFEASIBLE;5.378;1
1.03704;-1;-1;TIMEOUT_INFEASIBLE;5.00433;1
1.44361;-1;-1;TIMEOUT_INFEASIBLE;5.31867;1
3.76471;-1;-1;TIMEOUT_INFEASIBLE;5.00783;1
4.48;-1;-1;TIMEOUT_INFEASIBLE;5.04117;1
1.01053;-1;-1;TIMEOUT_INFEASIBLE;5.08033;1
3.2;-1;-1;TIMEOUT_INFEASIBLE;4.99417;1
2.73171;-1;-1;TIMEOUT_INFEASIBLE;5.0545;1
2.54545;-1;-1;TIMEOUT_INFEASIBLE;4.991;1
2.4;-1;-1;TIMEOUT_INFEASIBLE;4.99733;1
2.33333;-1;-1;TIMEOUT_INFEASIBLE;5.0005;1
4.66667;-1;-1;TIMEOUT_INFEASIBLE;4.9995;1
3.14754;-1;-1;TIMEOUT_INFEASIBLE;5.15367;1
2.13333;-1;-1;TIMEOUT_INFEASIBLE;5.00483;1
9.14286;9.14286;351;TIMEOUT_FEASIBLE;5.00667;0
2.02105;-1;-1;TIMEOUT_INFEASIBLE;5.22833;1
1.17073;-1;-1;TIMEOUT_INFEASIBLE;5.01117;1
1.71429;-1;-1;TIMEOUT_INFEASIBLE;4.9925;1
4.68293;-1;-1;TIMEOUT_INFEASIBLE;5.10433;1
1.88235;-1;-1;TIMEOUT_INFEASIBLE;5.00433;1
1.19255;-1;-1;TIMEOUT_INFEASIBLE;5.36267;1
5.18919;-1;-1;TIMEOUT_INFEASIBLE;5.09983;1
1.17895;-1;-1;TIMEOUT_INFEASIBLE;5.11417;1
1.1497;-1;-1;TIMEOUT_INFEASIBLE;5.38067;1
1.76147;-1;-1;TIMEOUT_INFEASIBLE;5.2635;1
1.67164;-1;-1;TIMEOUT_INFEASIBLE;5.0955;1
1.32414;-1;-1;TIMEOUT_INFEASIBLE;5.33017;1
1.06667;-1;-1;TIMEOUT_INFEASIBLE;4.99667;1
1.28736;-1;-1;TIMEOUT_INFEASIBLE;5.102;1
1.07692;-1;-1;TIMEOUT_INFEASIBLE;4.99367;1
5.09091;-1;-1;TIMEOUT_INFEASIBLE;4.9985;1
3.39394;-1;-1;TIMEOUT_INFEASIBLE;5.05117;1
11.2941;-1;-1;TIMEOUT_INFEASIBLE;5.062;1
5.33333;-1;-1;TIMEOUT_INFEASIBLE;5;1
1.68421;-1;-1;TIMEOUT_INFEASIBLE;5.001;1
3.36842;-1;-1;TIMEOUT_INFEASIBLE;5.00983;1
1.03784;-1;-1;TIMEOUT_INFEASIBLE;5.3975;1
2.24;-1;-1;TIMEOUT_INFEASIBLE;5.00433;1
5.64706;5.64706;684;TIMEOUT_FEASIBLE;5.02417;0
1.12941;-1;-1;TIMEOUT_INFEASIBLE;5.07833;1
3.5;-1;-1;TIMEOUT_INFEASIBLE;4.99283;1
1.16364;-1;-1;TIMEOUT_INFEASIBLE;5.032;1
1.00524;-1;-1;TIMEOUT_INFEASIBLE;5.41583;1
3.29412;3.29412;446;TIMEOUT_FEASIBLE;5.00983;0
1.12281;-1;-1;TIMEOUT_INFEASIBLE;5.03533;1
1.15464;-1;-1;TIMEOUT_INFEASIBLE;5.116;1
1.62712;-1;-1;TIMEOUT_INFEASIBLE;5.05517;1
1.62319;-1;-1;TIMEOUT_INFEASIBLE;5.087;1
1.69912;-1;-1;TIMEOUT_INFEASIBLE;5.2525;1
4.36364;-1;-1;TIMEOUT_INFEASIBLE;5.00233;1
1.64103;-1;-1;TIMEOUT_INFEASIBLE;5.02483;1
4.26667;-1;-1;TIMEOUT_INFEASIBLE;5.00933;1
3.6129;-1;-1;TIMEOUT_INFEASIBLE;5.04617;1
2.11321;-1;-1;TIMEOUT_INFEASIBLE;5.05267;1
2.63014;-1;-1;TIMEOUT_INFEASIBLE;5.17283;1
2.43038;-1;-1;TIMEOUT_INFEASIBLE;5.20833;1
1.55556;-1;-1;TIMEOUT_INFEASIBLE;4.99383;1
2.56;-1;-1;TIMEOUT_INFEASIBLE;5.016;1
2.46154;-1;-1;TIMEOUT_INFEASIBLE;4.99917;1
1.79439;-1;-1;TIMEOUT_INFEASIBLE;5.22117;1
1.07263;-1;-1;TIMEOUT_INFEASIBLE;5.37383;1
1.08475;-1;-1;TIMEOUT_INFEASIBLE;5.02767;1
