# II 5.64706
# samples 17
# modulo 96
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//r2_FFT.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//r2_FFT/RM16.xml
# vertex;sample;cycle;fu
x0_re;0;0;0
x0_im;0;0;0
x1_re;0;0;0
x1_im;0;0;0
x2_re;0;0;0
x2_im;0;0;0
x3_re;0;0;0
x3_im;0;13;0
x4_re;0;0;0
x4_im;0;0;0
x5_re;0;0;0
x5_im;0;25;0
x6_re;0;0;0
x6_im;0;0;0
x7_re;0;0;0
x7_im;0;0;0
x8_re;0;0;0
x8_im;0;0;0
x9_re;0;0;0
x9_im;0;0;0
x10_re;0;25;0
x10_im;0;0;0
x11_re;0;0;0
x11_im;0;0;0
x12_re;0;0;0
x12_im;0;0;0
x13_re;0;0;0
x13_im;0;26;0
x14_re;0;0;0
x14_im;0;0;0
x15_re;0;0;0
x15_im;0;0;0
y0_re;0;652;0
y0_im;0;652;0
y1_re;0;645;0
y1_im;0;652;0
y2_re;0;588;0
y2_im;0;683;0
y3_re;0;675;0
y3_im;0;652;0
y4_re;0;652;0
y4_im;0;674;0
y5_re;0;652;0
y5_im;0;652;0
y6_re;0;652;0
y6_im;0;639;0
y7_re;0;652;0
y7_im;0;680;0
y8_re;0;622;0
y8_im;0;683;0
y15_re;0;652;0
y9_re;0;677;0
y9_im;0;652;0
y10_re;0;652;0
y10_im;0;652;0
y11_re;0;652;0
y11_im;0;652;0
y12_re;0;652;0
y12_im;0;652;0
y13_re;0;652;0
y13_im;0;645;0
y14_re;0;652;0
y14_im;0;652;0
Add17;0;146;0
y15_im;0;652;0
Add2;0;11;0
Add11;0;4;0
Add3;0;23;0
Add12;0;1;0
Add4;0;214;0
Add13;0;237;0
Add5;0;156;0
Add14;0;150;0
Add6;0;144;0
Add15;0;139;0
Add7;0;216;0
Add16;0;234;0
Add8;0;233;0
Add27;0;428;0
Add9;0;158;0
Add18;0;242;1
Add10;0;352;0
Add19;0;437;0
Add20;0;441;0
Add110;0;431;0
Add21;0;344;0
Add111;0;440;1
Add22;0;341;1
Add112;0;343;0
Add23;0;101;0
Add113;0;18;0
Add24;0;431;1
Add114;0;430;0
Add25;0;392;0
Add115;0;441;1
Add26;0;345;2
Add116;0;433;0
Add39;0;31;0
Add117;0;396;0
Add28;0;638;1
Add118;0;556;0
Add29;0;604;0
Add119;0;640;1
Add30;0;538;0
Add120;0;555;0
Add31;0;630;1
Add121;0;557;0
Add32;0;540;1
Add122;0;646;0
Add33;0;647;0
Add123;0;631;1
Add34;0;10;0
Add124;0;14;0
Add35;0;625;1
Add125;0;552;0
Add36;0;637;0
Add126;0;631;2
Add37;0;6;0
Add127;0;13;0
Add38;0;11;1
Add128;0;27;0
Product34;0;114;0
Subtract5;0;127;0
Add129;0;29;0
Add40;0;40;0
Add130;0;5;1
Add41;0;139;1
Add131;0;135;0
Add42;0;234;1
Add1;0;288;0
Add43;0;129;0
Product4;0;33;0
Product11;0;9;0
Product21;0;108;0
Product31;0;38;0
Subtract2;0;111;0
Add44;0;198;1
Product5;0;179;0
Product12;0;36;0
Product22;0;38;1
Product32;0;40;0
Subtract3;0;196;0
Add45;0;134;0
Product6;0;115;0
Product13;0;113;0
Product23;0;126;0
Product33;0;100;0
Subtract4;0;131;0
Add46;0;199;0
Product7;0;112;0
Product14;0;104;0
Product24;0;21;0
Subtract11;0;394;0
Add53;0;248;2
Add47;0;130;0
Product8;0;22;0
Product15;0;42;0
