# II 1.5
# samples 2
# modulo 3
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//r2_FFT.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//r2_FFT/RM137.xml
# vertex;sample;cycle;fu
x0_re;0;0;0
x0_im;0;0;0
x1_re;0;0;0
x1_im;0;0;0
x2_re;0;0;0
x2_im;0;0;0
x3_re;0;0;0
x3_im;0;0;0
x4_re;0;0;0
x4_im;0;0;0
x5_re;0;0;0
x5_im;0;0;0
x6_re;0;0;0
x6_im;0;0;0
x7_re;0;0;0
x7_im;0;0;0
x8_re;0;0;0
x8_im;0;0;0
x9_re;0;0;0
x9_im;0;0;0
x10_re;0;0;0
x10_im;0;0;0
x11_re;0;0;0
x11_im;0;0;0
x12_re;0;0;0
x12_im;0;0;0
x13_re;0;0;0
x13_im;0;0;0
x14_re;0;0;0
x14_im;0;0;0
x15_re;0;0;0
x15_im;0;0;0
y0_re;0;49;0
y0_im;0;49;0
y1_re;0;49;0
y1_im;0;49;0
y2_re;0;49;0
y2_im;0;49;0
y3_re;0;49;0
y3_im;0;49;0
y4_re;0;49;0
y4_im;0;49;0
y5_re;0;49;0
y5_im;0;49;0
y6_re;0;49;0
y6_im;0;49;0
y7_re;0;49;0
y7_im;0;49;0
y8_re;0;49;0
y8_im;0;49;0
y15_re;0;49;0
y9_re;0;49;0
y9_im;0;49;0
y10_re;0;49;0
y10_im;0;49;0
y11_re;0;49;0
y11_im;0;49;0
y12_re;0;49;0
y12_im;0;49;0
y13_re;0;49;0
y13_im;0;49;0
y14_re;0;49;0
y14_im;0;49;0
Add17;0;16;0
y15_im;0;49;0
Add2;0;1;1
Add11;0;1;2
Add3;0;1;3
Add12;0;1;4
Add4;0;15;0
Add13;0;15;1
Add5;0;16;5
Add14;0;16;6
Add6;0;16;7
Add15;0;16;8
Add7;0;15;2
Add16;0;15;3
Add8;0;16;9
Add27;0;29;0
Add9;0;15;4
Add18;0;15;5
Add10;0;29;1
Add19;0;29;2
Add20;0;30;6
Add110;0;30;7
Add21;0;29;3
Add111;0;29;4
Add22;0;30;8
Add112;0;30;9
Add23;0;1;10
Add113;0;1;11
Add24;0;30;10
Add114;0;30;11
Add25;0;29;5
Add115;0;29;6
Add26;0;30;12
Add116;0;30;13
Add39;0;1;12
Add117;0;29;7
Add28;0;44;8
Add118;0;44;9
Add29;0;44;10
Add119;0;44;11
Add30;0;44;12
Add120;0;44;13
Add31;0;44;14
Add121;0;44;15
Add32;0;44;16
Add122;0;44;17
Add33;0;44;18
Add123;0;44;19
Add34;0;2;20
Add124;0;1;13
Add35;0;44;21
Add125;0;44;22
Add36;0;44;23
Add126;0;44;24
Add37;0;1;14
Add127;0;1;15
Add38;0;2;25
Add128;0;1;16
Product34;0;6;0
Subtract5;0;10;0
Add129;0;1;17
Add40;0;1;18
Add130;0;2;26
Add41;0;15;14
Add131;0;15;15
Add42;0;16;19
Add1;0;16;20
Add43;0;10;21
Product4;0;6;1
Product11;0;6;2
Product21;0;6;3
Product31;0;6;4
Subtract2;0;10;1
Add44;0;11;27
Product5;0;7;0
Product12;0;7;1
Product22;0;7;2
Product32;0;7;3
Subtract3;0;11;0
Add45;0;11;28
Product6;0;7;4
Product13;0;7;5
Product23;0;7;6
Product33;0;7;7
Subtract4;0;11;1
Add46;0;10;22
Product7;0;6;5
Product14;0;6;6
Product24;0;6;7
Subtract11;0;25;2
Add53;0;25;23
Add47;0;11;29
Product8;0;7;8
Product15;0;7;9
Product25;0;7;10
