# II 1.33333
# samples 3
# modulo 4
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//rgb_tr.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//rgb_tr/RM1.xml
# vertex;sample;cycle;fu
In_R;0;2;0
In_G;0;2;0
In_B;0;0;0
Subtract;0;3;0
Constant;0;3;0
Constant1;0;3;0
Constant2;0;3;0
Constant3;0;3;0
Constant4;0;3;0
Constant5;0;3;0
Product;0;12;0
Product1;0;8;1
Product2;0;27;0
Product3;0;27;1
Subtract1;0;4;0
Subtract2;0;22;0
Sum1;0;22;1
Sum2;0;32;0
Sum3;0;31;0
Out_CR;0;36;0
Out_Y;0;23;0
Out_CB;0;37;0
SumTree0;0;12;1
SumTree1;0;17;0
In_R;1;0;0
In_G;1;0;0
In_B;1;2;0
Subtract;1;1;0
Constant;1;1;0
Constant1;1;1;0
Constant2;1;1;0
Constant3;1;1;0
Constant4;1;1;0
Constant5;1;1;0
Product;1;8;2
Product1;1;6;0
Product2;1;25;0
Product3;1;25;1
Subtract1;1;3;1
Subtract2;1;20;1
Sum1;1;20;2
Sum2;1;29;1
Sum3;1;29;2
Out_CR;1;34;0
Out_Y;1;21;0
Out_CB;1;34;0
SumTree0;1;10;0
SumTree1;1;15;1
In_R;2;1;0
In_G;2;1;0
In_B;2;1;0
Subtract;2;2;2
Constant;2;0;0
Constant1;2;0;0
Constant2;2;0;0
Constant3;2;0;0
Constant4;2;0;0
Constant5;2;0;0
Product;2;9;2
Product1;2;7;2
Product2;2;26;1
Product3;2;26;2
Subtract1;2;3;2
Subtract2;2;21;1
Sum1;2;21;2
Sum2;2;30;1
Sum3;2;30;2
Out_CR;2;37;0
Out_Y;2;22;0
Out_CB;2;36;0
SumTree0;2;11;2
SumTree1;2;16;2
