# II 1.33333
# samples 3
# modulo 4
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//rgb_tr.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//rgb_tr/RM5.xml
# vertex;sample;cycle;fu
In_R;0;0;0
In_G;0;0;0
In_B;0;0;0
Subtract;0;2;0
Constant;0;0;0
Constant1;0;0;0
Constant2;0;0;0
Constant3;0;0;0
Constant4;0;0;0
Constant5;0;0;0
Product;0;6;0
Product1;0;7;0
Product2;0;29;0
Product3;0;28;0
Subtract1;0;1;0
Subtract2;0;23;0
Sum1;0;24;0
Sum2;0;32;0
Sum3;0;33;0
Out_CR;0;38;0
Out_Y;0;21;0
Out_CB;0;37;0
SumTree0;0;11;0
SumTree1;0;16;1
In_R;1;1;0
In_G;1;1;0
In_B;1;1;0
Subtract;1;3;1
Constant;1;1;0
Constant1;1;1;0
Constant2;1;1;0
Constant3;1;1;0
Constant4;1;1;0
Constant5;1;1;0
Product;1;7;1
Product1;1;8;1
Product2;1;30;1
Product3;1;29;1
Subtract1;1;2;1
Subtract2;1;24;1
Sum1;1;25;1
Sum2;1;33;1
Sum3;1;34;0
Out_CR;1;39;0
Out_Y;1;22;0
Out_CB;1;38;0
SumTree0;1;12;2
SumTree1;1;17;2
In_R;2;3;0
In_G;2;3;0
In_B;2;3;0
Subtract;2;5;2
Constant;2;3;0
Constant1;2;3;0
Constant2;2;3;0
Constant3;2;3;0
Constant4;2;3;0
Constant5;2;3;0
Product;2;9;2
Product1;2;10;2
Product2;2;32;2
Product3;2;31;2
Subtract1;2;4;2
Subtract2;2;26;2
Sum1;2;27;2
Sum2;2;35;1
Sum3;2;36;3
Out_CR;2;41;0
Out_Y;2;24;0
Out_CB;2;40;0
SumTree0;2;14;1
SumTree1;2;19;2
