# II 1.33333
# samples 3
# modulo 4
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//rgb_tr.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//rgb_tr/RM7.xml
# vertex;sample;cycle;fu
In_R;0;0;0
In_G;0;0;0
In_B;0;0;0
Subtract;0;1;0
Constant;0;0;0
Constant1;0;0;0
Constant2;0;0;0
Constant3;0;0;0
Constant4;0;0;0
Constant5;0;0;0
Product;0;8;0
Product1;0;6;0
Product2;0;25;0
Product3;0;27;0
Subtract1;0;1;1
Subtract2;0;20;0
Sum1;0;20;1
Sum2;0;31;0
Sum3;0;29;0
Out_CR;0;34;0
Out_Y;0;35;0
Out_CB;0;36;0
SumTree0;0;10;0
SumTree1;0;15;1
In_R;1;1;0
In_G;1;1;0
In_B;1;1;0
Subtract;1;2;0
Constant;1;1;0
Constant1;1;1;0
Constant2;1;1;0
Constant3;1;1;0
Constant4;1;1;0
Constant5;1;1;0
Product;1;9;1
Product1;1;7;1
Product2;1;26;1
Product3;1;28;1
Subtract1;1;2;1
Subtract2;1;21;2
Sum1;1;21;3
Sum2;1;32;0
Sum3;1;30;1
Out_CR;1;35;0
Out_Y;1;36;0
Out_CB;1;37;0
SumTree0;1;11;2
SumTree1;1;16;1
In_R;2;3;0
In_G;2;3;0
In_B;2;3;0
Subtract;2;4;2
Constant;2;3;0
Constant1;2;3;0
Constant2;2;3;0
Constant3;2;3;0
Constant4;2;3;0
Constant5;2;3;0
Product;2;11;2
Product1;2;9;2
Product2;2;28;2
Product3;2;30;2
Subtract1;2;4;3
Subtract2;2;23;0
Sum1;2;23;1
Sum2;2;34;2
Sum3;2;32;2
Out_CR;2;37;0
Out_Y;2;38;0
Out_CB;2;39;0
SumTree0;2;13;1
SumTree1;2;18;3
