minII;II;Lat;Status;Min;Timeouts
1.6;2;46;OPTIMAL;0;0
1.6;2;46;OPTIMAL;0;0
1.6;2;46;OPTIMAL;0;0
2.66667;3;46;OPTIMAL;0;0
1.6;2;46;OPTIMAL;0;0
1.33333;2;46;OPTIMAL;0;0
1.33333;2;46;OPTIMAL;0;0
1.33333;2;46;OPTIMAL;0.000166667;0
2.66667;3;46;OPTIMAL;0;0
1.6;2;46;OPTIMAL;0;0
2.66667;3;46;OPTIMAL;0.000166667;0
1.33333;2;46;OPTIMAL;0;0
1.14286;2;46;OPTIMAL;0;0
1.14286;2;46;OPTIMAL;0;0
2.66667;3;46;OPTIMAL;0.000166667;0
1.6;2;46;OPTIMAL;0.000166667;0
1.33333;2;46;OPTIMAL;0.000166667;0
1.14286;2;46;OPTIMAL;0;0
2.66667;3;46;OPTIMAL;0;0
2.66667;3;46;OPTIMAL;0;0
2.66667;3;46;OPTIMAL;0;0
2.66667;3;46;OPTIMAL;0;0
2.66667;3;46;OPTIMAL;0;0
2.66667;3;46;OPTIMAL;0;0
2.66667;3;46;OPTIMAL;0;0
1.6;2;46;OPTIMAL;0;0
