minII;II;Lat;Status;Min;Timeouts
1.6;1.6;50;OPTIMAL;0.0213333;0
1.33333;1.33333;48;OPTIMAL;0.00133333;0
1.6;1.6;50;OPTIMAL;0.0508333;0
2.66667;2.66667;48;OPTIMAL;0.00366667;0
1.33333;1.33333;48;OPTIMAL;0.0035;0
1.6;1.6;50;OPTIMAL;0.0106667;0
1.6;1.6;50;OPTIMAL;0.0448333;0
1.6;1.6;50;OPTIMAL;0.048;0
2.66667;2.66667;48;OPTIMAL;0.00283333;0
1.14286;1.14286;52;OPTIMAL;0.1985;0
1.33333;1.33333;48;OPTIMAL;0.0015;0
1.6;1.6;50;OPTIMAL;0.0161667;0
1.14286;1.14286;51;OPTIMAL;0.261833;0
2.66667;2.66667;48;OPTIMAL;0.00283333;0
2.66667;2.66667;48;OPTIMAL;0.002;0
1.33333;1.33333;48;OPTIMAL;0.00216667;0
2.66667;2.66667;48;OPTIMAL;0.003;0
1.33333;1.33333;48;OPTIMAL;0.00166667;0
2.66667;2.66667;48;OPTIMAL;0.00166667;0
2.66667;2.66667;48;OPTIMAL;0.00283333;0
2.66667;2.66667;48;OPTIMAL;0.00183333;0
2.66667;2.66667;48;OPTIMAL;0.0025;0
2.66667;2.66667;48;OPTIMAL;0.0025;0
1.14286;1.14286;51;OPTIMAL;0.3325;0
1.6;1.6;50;OPTIMAL;0.0426667;0
2.66667;2.66667;48;OPTIMAL;0.00233333;0
