# II 1.6
# samples 5
# modulo 8
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//splin_pf.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//splin_pf/RM24.xml
# vertex;sample;cycle;fu
Const3;0;2;0
Const4;0;1;0
Const5;0;5;0
In1;0;0;0
Const;0;0;0
Const1;0;0;0
Const2;0;5;0
Const6;0;4;0
Const7;0;0;0
Product;0;1;0
Product1;0;1;1
Product2;0;6;0
Product3;0;7;0
Product4;0;3;0
Product5;0;8;0
Product6;0;8;1
Product7;0;7;1
Out1;0;45;0
SumTree0;0;5;0
SumTree1;0;10;0
SumTree2;0;15;0
SumTree3;0;20;0
SumTree4;0;25;0
SumTree5;0;30;0
SumTree6;0;35;0
SumTree7;0;40;0
Const3;1;4;0
Const4;1;5;0
Const5;1;1;0
In1;1;1;0
Const;1;1;0
Const1;1;1;0
Const2;1;0;0
Const6;1;2;0
Const7;1;2;0
Product;1;2;0
Product1;1;2;1
Product2;1;2;2
Product3;1;7;2
Product4;1;6;1
Product5;1;3;1
Product6;1;3;2
Product7;1;5;0
Out1;1;46;0
SumTree0;1;6;1
SumTree1;1;11;1
SumTree2;1;16;1
SumTree3;1;21;1
SumTree4;1;26;1
SumTree5;1;31;1
SumTree6;1;36;1
SumTree7;1;41;1
Const3;2;0;0
Const4;2;3;0
Const5;2;2;0
In1;2;2;0
Const;2;2;0
Const1;2;2;0
Const2;2;1;0
Const6;2;1;0
Const7;2;1;0
Product;2;3;3
Product1;2;3;4
Product2;2;2;3
Product3;2;2;4
Product4;2;7;3
Product5;2;4;0
Product6;2;6;2
Product7;2;5;1
Out1;2;47;0
SumTree0;2;7;2
SumTree1;2;12;2
SumTree2;2;17;2
SumTree3;2;22;2
SumTree4;2;27;2
SumTree5;2;32;2
SumTree6;2;37;2
SumTree7;2;42;2
Const3;3;6;0
Const4;3;2;0
Const5;3;3;0
In1;3;3;0
Const;3;3;0
Const1;3;3;0
Const2;3;2;0
Const6;3;0;0
Const7;3;7;0
Product;3;4;1
Product1;3;4;2
Product2;3;4;3
Product3;3;8;2
Product4;3;6;3
Product5;3;6;4
Product6;3;1;2
Product7;3;13;2
Out1;3;48;0
SumTree0;3;8;3
SumTree1;3;13;3
SumTree2;3;18;3
SumTree3;3;23;3
SumTree4;3;28;3
SumTree5;3;33;3
SumTree6;3;38;3
SumTree7;3;43;3
Const3;4;3;0
Const4;4;0;0
Const5;4;0;0
In1;4;4;0
Const;4;4;0
Const1;4;4;0
Const2;4;4;0
Const6;4;6;0
Const7;4;3;0
Product;4;5;3
Product1;4;5;4
Product2;4;8;3
Product3;4;8;4
Product4;4;1;3
Product5;4;1;4
Product6;4;7;4
Product7;4;4;4
Out1;4;49;0
SumTree0;4;9;4
SumTree1;4;14;4
SumTree2;4;19;4
SumTree3;4;24;4
SumTree4;4;29;4
SumTree5;4;34;4
SumTree6;4;39;4
SumTree7;4;44;4
