minII;II;Lat;Status;Min;Timeouts
1.6;1.6;47;UNKNOWN;0.000166667;0
1.6;1.6;47;UNKNOWN;0.0005;0
1.14286;1.14286;47;UNKNOWN;0.000333333;0
2.66667;2.66667;46;UNKNOWN;0.000333333;0
1.33333;1.33333;46;UNKNOWN;0.0005;0
2.66667;2.66667;46;UNKNOWN;0.000333333;0
1.6;1.6;47;UNKNOWN;0.0005;0
2.66667;2.66667;47;UNKNOWN;0.000666667;0
1.6;1.6;47;UNKNOWN;0.000666667;0
2.66667;2.66667;47;UNKNOWN;0.000333333;0
1.6;1.6;46;UNKNOWN;0.000166667;0
1.14286;1.14286;47;UNKNOWN;0.000333333;0
2.66667;2.66667;46;UNKNOWN;0.0005;0
2.66667;2.66667;47;UNKNOWN;0.000333333;0
1.33333;1.33333;46;UNKNOWN;0.000333333;0
1.33333;1.33333;46;UNKNOWN;0.000333333;0
2.66667;2.66667;47;UNKNOWN;0.000333333;0
2.66667;2.66667;46;UNKNOWN;0.000333333;0
1.6;1.6;47;UNKNOWN;0.000333333;0
2.66667;2.66667;47;UNKNOWN;0.000333333;0
1.14286;1.14286;47;UNKNOWN;0.000333333;0
1.6;1.6;46;UNKNOWN;0.000166667;0
2.66667;2.66667;47;UNKNOWN;0.0005;0
2.66667;2.66667;46;UNKNOWN;0.000333333;0
1.33333;1.33333;46;UNKNOWN;0.0005;0
1.33333;1.33333;46;UNKNOWN;0.000333333;0
