minII;II;Lat;Status;Min;Timeouts
1.6;1.6;46;OPTIMAL;0.000666667;0
1.33333;1.33333;46;OPTIMAL;0.000666667;0
2.66667;2.66667;47;OPTIMAL;0.0538333;0
2.66667;2.66667;47;OPTIMAL;0.0498333;0
1.6;1.6;47;OPTIMAL;0.156833;0
2.66667;2.66667;46;OPTIMAL;0.000166667;0
2.66667;2.66667;46;OPTIMAL;0.000166667;0
2.66667;2.66667;46;OPTIMAL;0.000166667;0
2.66667;2.66667;47;OPTIMAL;0.0753333;0
1.14286;1.14286;46;OPTIMAL;0.000333333;0
2.66667;2.66667;46;OPTIMAL;0.000166667;0
1.6;1.6;47;OPTIMAL;0.298667;0
2.66667;2.66667;47;OPTIMAL;0.153833;0
1.33333;1.33333;46;OPTIMAL;0.000166667;0
1.33333;1.33333;46;OPTIMAL;0;0
1.33333;1.33333;46;OPTIMAL;0.000666667;0
2.66667;2.66667;46;OPTIMAL;0.000166667;0
1.14286;1.14286;47;TIMEOUT_FEASIBLE;4.99417;0
1.6;1.6;46;OPTIMAL;0.00366667;0
1.33333;1.33333;46;OPTIMAL;0.00166667;0
1.6;1.6;47;OPTIMAL;0.112167;0
1.6;1.6;47;TIMEOUT_FEASIBLE;4.99583;0
1.14286;1.14286;47;OPTIMAL;4.26683;0
2.66667;2.66667;47;OPTIMAL;0.0661667;0
1.6;1.6;46;OPTIMAL;0.000333333;0
2.66667;2.66667;47;OPTIMAL;0.0673333;0
