# II 1.14286
# samples 7
# modulo 8
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//splin_pf.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//splin_pf/RM22.xml
# vertex;sample;cycle;fu
Const3;0;0;0
Const4;0;0;0
Const5;0;0;0
In1;0;0;0
Const;0;0;0
Const1;0;0;0
Const2;0;0;0
Const6;0;0;0
Const7;0;0;0
Product;0;1;0
Product1;0;1;1
Product2;0;6;0
Product3;0;11;0
Product4;0;21;0
Product5;0;26;0
Product6;0;31;0
Product7;0;36;0
Out1;0;45;0
SumTree0;0;5;0
SumTree1;0;10;0
SumTree2;0;15;0
SumTree3;0;20;0
SumTree4;0;25;0
SumTree5;0;30;0
SumTree6;0;35;0
SumTree7;0;40;0
Const3;1;1;0
Const4;1;1;0
Const5;1;1;0
In1;1;1;0
Const;1;1;0
Const1;1;1;0
Const2;1;1;0
Const6;1;1;0
Const7;1;1;0
Product;1;2;1
Product1;1;2;2
Product2;1;7;1
Product3;1;12;1
Product4;1;22;1
Product5;1;27;1
Product6;1;32;0
Product7;1;37;1
Out1;1;46;0
SumTree0;1;6;1
SumTree1;1;11;1
SumTree2;1;16;1
SumTree3;1;21;1
SumTree4;1;26;1
SumTree5;1;31;1
SumTree6;1;36;1
SumTree7;1;41;1
Const3;2;2;0
Const4;2;2;0
Const5;2;2;0
In1;2;2;0
Const;2;2;0
Const1;2;2;0
Const2;2;2;0
Const6;2;2;0
Const7;2;2;0
Product;2;3;2
Product1;2;3;3
Product2;2;8;1
Product3;2;13;2
Product4;2;23;2
Product5;2;28;2
Product6;2;33;2
Product7;2;38;2
Out1;2;47;0
SumTree0;2;7;2
SumTree1;2;12;2
SumTree2;2;17;2
SumTree3;2;22;2
SumTree4;2;27;2
SumTree5;2;32;2
SumTree6;2;37;2
SumTree7;2;42;2
Const3;3;3;0
Const4;3;3;0
Const5;3;3;0
In1;3;3;0
Const;3;3;0
Const1;3;3;0
Const2;3;3;0
Const6;3;3;0
Const7;3;3;0
Product;3;4;3
Product1;3;4;4
Product2;3;9;3
Product3;3;14;3
Product4;3;24;2
Product5;3;29;3
Product6;3;34;3
Product7;3;39;3
Out1;3;48;0
SumTree0;3;8;3
SumTree1;3;13;3
SumTree2;3;18;3
SumTree3;3;23;3
SumTree4;3;28;3
SumTree5;3;33;3
SumTree6;3;38;3
SumTree7;3;43;3
Const3;4;4;0
Const4;4;4;0
Const5;4;4;0
In1;4;4;0
Const;4;4;0
Const1;4;4;0
Const2;4;4;0
Const6;4;4;0
Const7;4;4;0
Product;4;5;4
Product1;4;5;5
Product2;4;10;4
Product3;4;15;4
Product4;4;25;4
Product5;4;30;4
Product6;4;35;4
Product7;4;40;3
Out1;4;49;0
SumTree0;4;9;4
SumTree1;4;14;4
SumTree2;4;19;4
SumTree3;4;24;4
SumTree4;4;29;4
SumTree5;4;34;4
SumTree6;4;39;4
SumTree7;4;44;4
Const3;5;5;0
Const4;5;5;0
Const5;5;5;0
In1;5;5;0
Const;5;5;0
Const1;5;5;0
Const2;5;5;0
Const6;5;5;0
Const7;5;5;0
Product;5;6;5
Product1;5;6;6
Product2;5;11;5
Product3;5;16;4
Product4;5;26;5
Product5;5;31;5
Product6;5;36;5
Product7;5;41;5
Out1;5;50;0
SumTree0;5;10;5
SumTree1;5;15;5
SumTree2;5;20;5
SumTree3;5;25;5
SumTree4;5;30;5
SumTree5;5;35;5
SumTree6;5;40;5
SumTree7;5;45;5
Const3;6;7;0
Const4;6;7;0
Const5;6;7;0
In1;6;7;0
Const;6;7;0
Const1;6;7;0
Const2;6;7;0
Const6;6;7;0
Const7;6;7;0
Product;6;8;5
Product1;6;8;6
Product2;6;13;6
Product3;6;18;6
Product4;6;28;6
Product5;6;33;6
Product6;6;38;7
Product7;6;43;6
Out1;6;52;0
SumTree0;6;12;6
SumTree1;6;17;6
SumTree2;6;22;6
SumTree3;6;27;6
SumTree4;6;32;6
SumTree5;6;37;6
SumTree6;6;42;6
SumTree7;6;47;6
