# II 5.33333
# samples 3
# modulo 16
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//vanDongen.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//vanDongen/RM5.xml
# vertex;sample;cycle;fu
S1;0;0;0
S2;0;2;0
S3;0;4;0
S4;0;6;0
S5;0;0;1
S6;0;0;2
S7;0;2;1
S8;0;4;1
S9;0;8;0
S10;0;10;0
S1;1;6;1
S2;1;8;1
S3;1;10;1
S4;1;12;0
S5;1;8;2
S6;1;2;2
S7;1;4;2
S8;1;6;2
S9;1;14;0
S10;1;16;3
S1;2;8;3
S2;2;10;2
S3;2;12;1
S4;2;14;1
S5;2;14;2
S6;2;10;3
S7;2;12;2
S8;2;14;3
S9;2;18;3
S10;2;20;3
