# II 1.33333
# samples 3
# modulo 4
# graph /home/groups/fb16-digi/opt/hatschet/benchmarks/origami//ycbcr_tr.graphml
# resourceModel /home/groups/fb16-digi/projects/ratII/rm/origami//ycbcr_tr/RM2.xml
# vertex;sample;cycle;fu
In_CR;0;0;0
In_Y;0;0;0
In_CB;0;0;0
Subtract3;0;4;0
Const7;0;0;0
Const8;0;0;0
Const9;0;0;0
Constant6;0;0;0
Constant7;0;0;0
Constant8;0;0;0
Product4;0;8;0
Product5;0;6;0
Product6;0;9;0
Product7;0;9;1
Sum4;0;1;0
Sum5;0;12;0
Sum7;0;13;0
Out_R;0;20;0
Out_G;0;20;0
Out_B;0;18;0
Sum6Tree0;0;10;0
Sum6Tree1;0;15;0
In_CR;1;1;0
In_Y;1;1;0
In_CB;1;1;0
Subtract3;1;5;1
Const7;1;1;0
Const8;1;1;0
Const9;1;1;0
Constant6;1;1;0
Constant7;1;1;0
Constant8;1;1;0
Product4;1;9;2
Product5;1;7;0
Product6;1;10;1
Product7;1;10;2
Sum4;1;2;1
Sum5;1;13;1
Sum7;1;14;0
Out_R;1;21;0
Out_G;1;21;0
Out_B;1;19;0
Sum6Tree0;1;11;1
Sum6Tree1;1;16;1
In_CR;2;3;0
In_Y;2;3;0
In_CB;2;3;0
Subtract3;2;7;2
Const7;2;3;0
Const8;2;3;0
Const9;2;3;0
Constant6;2;3;0
Constant7;2;3;0
Constant8;2;3;0
Product4;2;11;1
Product5;2;9;3
Product6;2;12;1
Product7;2;12;2
Sum4;2;4;2
Sum5;2;15;0
Sum7;2;16;1
Out_R;2;23;0
Out_G;2;23;0
Out_B;2;21;0
Sum6Tree0;2;13;2
Sum6Tree1;2;18;2
